from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,RF,to date,station
07-Dec-2018 - 00:00,0.45,35.08,21.85,130.15,69.95,200.1,12.07,466.11,284.94,30.04,66.74,3.5,8.52,19.68,0.2,0.03,197.73,56.14,944.54,92.33,0.0,08-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Dec-2018 - 00:00,0.49,49.05,13.93,120.07,50.72,170.79,15.63,441.21,279.76,17.86,49.65,2.48,6.49,20.43,0.22,0.03,227.95,56.29,,113.01,0.0,09-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Dec-2018 - 00:00,0.3,10.42,13.61,155.91,150.68,299.5,9.75,477.16,252.37,17.05,21.56,2.03,4.76,17.71,0.23,0.03,208.48,55.64,951.36,68.37,0.0,10-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Dec-2018 - 00:00,0.27,40.0,6.83,103.18,111.86,214.33,19.9,455.7,231.01,29.07,29.88,2.77,6.78,20.45,0.24,0.04,177.05,59.71,999.22,121.29,0.0,11-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Dec-2018 - 00:00,0.34,24.11,10.85,65.95,183.96,235.66,14.03,425.53,250.15,30.07,50.52,3.12,8.17,19.89,0.21,0.04,197.67,59.81,956.78,80.21,0.0,12-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Dec-2018 - 00:00,0.27,38.36,18.29,96.81,47.73,144.54,23.49,368.69,215.62,23.1,26.59,1.7,4.06,21.83,0.19,0.03,220.22,58.9,,111.64,0.0,13-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Dec-2018 - 00:00,0.19,46.79,12.86,71.3,3.82,75.13,28.32,263.7,148.93,13.34,19.67,1.67,4.15,22.44,0.22,0.03,178.54,54.5,,109.31,0.0,14-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Dec-2018 - 00:00,0.17,57.17,13.58,57.15,3.13,60.28,24.22,263.3,151.33,14.82,18.58,1.43,3.55,22.57,0.39,0.03,124.85,50.99,981.25,104.09,0.0,15-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Dec-2018 - 00:00,0.2,47.07,17.68,79.07,10.36,89.43,22.19,276.35,167.93,13.91,19.08,1.41,2.98,21.69,0.32,0.03,199.75,48.59,,86.04,0.0,16-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Dec-2018 - 00:00,0.16,46.79,11.96,68.25,14.96,83.21,23.28,247.09,140.29,9.15,13.04,1.0,2.55,21.56,0.29,0.03,193.98,49.94,,58.7,0.0,17-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Dec-2018 - 00:00,0.15,34.83,8.29,52.87,6.6,59.46,28.53,216.61,142.91,6.13,12.14,0.62,1.68,18.71,0.53,0.02,201.36,79.02,,61.44,0.0,18-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Dec-2018 - 00:00,0.22,28.16,4.76,78.64,194.45,255.86,14.76,114.32,79.41,4.05,7.7,0.64,1.5,16.1,0.71,0.02,158.2,81.82,945.44,64.52,0.0,19-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Dec-2018 - 00:00,0.27,24.14,8.16,77.75,105.19,177.59,12.38,157.09,100.19,6.98,14.23,0.98,2.38,18.22,0.51,0.02,216.78,75.59,,157.3,0.0,20-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Dec-2018 - 00:00,0.3,33.51,8.8,80.21,116.77,196.22,13.09,259.6,165.25,12.14,25.31,1.68,4.66,18.56,0.2,0.03,196.44,72.93,,140.5,0.0,21-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Dec-2018 - 00:00,0.27,40.09,15.34,85.71,138.17,223.85,10.19,405.16,253.28,25.11,49.45,2.87,7.33,18.53,0.3,0.03,245.75,65.23,,139.74,0.0,22-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Dec-2018 - 00:00,0.25,38.8,14.62,100.75,71.19,171.93,14.04,378.08,258.72,19.57,41.59,1.69,5.38,18.39,0.31,0.03,229.24,59.94,,134.02,0.0,23-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Dec-2018 - 00:00,0.25,37.34,18.15,100.55,42.13,142.68,14.5,356.66,249.94,14.22,17.38,1.05,3.69,18.47,0.36,0.04,258.03,61.08,,132.3,0.0,24-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Dec-2018 - 00:00,0.25,34.06,16.65,94.28,72.71,166.99,13.38,328.74,223.81,16.22,21.68,1.08,4.32,18.19,0.31,0.03,245.19,60.9,,138.24,0.0,25-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Dec-2018 - 00:00,0.24,44.24,17.69,98.96,112.51,211.47,10.22,384.43,247.12,17.52,22.54,1.3,4.87,17.18,0.31,0.04,247.79,54.63,,142.18,0.0,26-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Dec-2018 - 00:00,0.26,47.62,15.59,105.76,108.47,210.18,13.5,342.21,206.86,15.73,26.3,5.6,6.52,16.68,0.28,0.01,227.2,50.35,,136.58,0.0,27-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Dec-2018 - 00:00,0.24,34.08,18.51,139.22,155.71,292.91,7.79,490.28,283.82,25.33,55.89,7.36,9.36,16.27,0.31,0.01,238.24,53.3,,125.26,0.0,28-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Dec-2018 - 00:00,0.25,31.74,16.62,120.99,70.85,191.85,9.66,372.8,246.22,18.81,32.91,5.15,5.74,15.92,0.22,0.03,196.69,47.7,,126.28,0.0,29-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Dec-2018 - 00:00,0.24,39.0,18.7,121.08,93.45,214.53,8.29,380.68,266.71,18.7,43.02,3.12,7.15,15.41,0.33,0.03,237.57,51.32,,130.1,0.0,30-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Dec-2018 - 00:00,0.24,46.06,17.79,97.14,24.82,121.95,14.08,312.55,207.93,8.84,17.81,1.45,2.98,16.54,0.44,0.03,273.29,52.82,,136.14,0.0,31-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-Dec-2018 - 00:00,0.24,35.11,10.71,73.64,4.95,78.6,20.18,336.1,217.6,6.92,8.12,1.4,2.14,15.11,0.56,0.03,292.97,59.1,,28.12,0.0,01-Jan-2019 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
