from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
22-Feb-2018 - 00:00,29.53,0.93,35.6,7.59,63.42,38.4,17.01,5.58,54.82,114.12,0.15,3.84,0.03,26.45,46.34,1.76,185.43,160.34,720.58,0.0,0.0,23-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Feb-2018 - 00:00,29.53,0.92,48.38,7.44,54.6,33.61,17.77,6.77,68.3,110.31,0.46,2.94,0.02,26.42,45.78,2.25,191.21,179.68,721.38,0.0,0.0,24-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Feb-2018 - 00:00,30.42,0.89,38.05,7.77,58.5,35.88,17.79,6.35,49.78,104.41,0.28,2.29,0.13,26.08,43.58,2.51,221.1,195.8,724.77,0.0,0.0,25-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Feb-2018 - 00:00,29.64,0.9,30.61,10.16,66.65,41.66,15.11,6.27,51.48,91.77,0.34,2.84,0.15,25.73,44.4,2.21,237.2,202.59,725.74,0.0,0.0,26-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Feb-2018 - 00:00,30.15,0.92,44.11,9.0,66.19,40.73,14.54,6.81,74.95,98.3,0.28,1.88,0.51,26.54,39.96,1.64,207.42,196.58,723.72,0.0,0.0,27-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Feb-2018 - 00:00,29.93,0.96,42.14,8.02,66.12,40.09,15.98,8.73,64.14,99.52,0.33,4.82,0.45,27.67,36.25,2.06,193.04,188.04,722.64,0.0,0.0,28-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Feb-2018 - 00:00,29.49,1.19,38.22,11.13,79.77,49.25,23.42,8.04,59.05,131.25,1.3,11.6,0.95,27.97,38.43,1.59,192.32,178.75,722.18,0.0,0.0,01-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Mar-2018 - 00:00,29.4,1.03,33.82,8.11,70.48,42.47,16.84,5.25,46.9,101.62,0.38,3.18,0.28,27.83,37.64,1.69,201.07,190.86,721.36,0.0,0.0,02-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Mar-2018 - 00:00,30.44,0.98,36.16,7.43,66.43,39.89,17.35,5.39,42.16,90.39,0.11,2.02,0.03,28.17,36.92,1.82,211.93,193.24,720.15,0.0,0.0,03-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Mar-2018 - 00:00,30.98,1.23,41.8,5.91,68.72,37.44,44.46,6.94,58.03,121.3,1.67,14.86,1.07,30.55,33.27,1.36,164.96,103.17,719.1,0.0,0.0,04-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
