from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
10-Nov-2018 - 00:00,33.91,48.91,8.17,16.39,4.31,0.71,47.42,101.99,3.83,2.07,4.07,13.33,24.57,22.14,0.01,192.21,68.79,0.0,226.9,0.33,,11-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Nov-2018 - 00:00,31.62,49.65,9.0,18.46,4.08,0.87,64.03,131.58,7.01,2.01,3.91,13.04,25.06,22.08,0.01,197.11,71.61,0.0,202.74,0.31,,12-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Nov-2018 - 00:00,35.25,57.11,12.69,24.22,5.2,1.06,126.17,265.6,20.58,3.78,5.44,16.82,19.11,21.98,0.01,192.04,72.21,0.0,228.29,0.25,,13-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Nov-2018 - 00:00,37.21,64.77,23.29,27.81,15.44,0.82,69.67,172.73,8.27,2.82,5.46,13.12,23.33,22.07,0.01,184.39,73.44,0.0,203.78,0.24,,14-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Nov-2018 - 00:00,42.26,66.75,24.72,24.28,5.85,0.89,105.23,218.82,10.73,3.64,7.45,16.44,26.52,21.97,0.01,168.88,75.42,0.0,190.47,0.35,,15-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Nov-2018 - 00:00,40.75,58.73,27.71,20.39,9.45,0.9,71.83,136.84,7.84,4.11,6.82,14.93,21.8,21.33,0.01,93.67,82.09,0.0,116.71,0.4,,16-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Nov-2018 - 00:00,38.77,65.96,30.02,27.37,9.97,0.79,104.77,186.85,8.43,3.12,6.01,15.61,17.77,20.33,0.01,98.43,90.63,0.0,152.08,0.36,,17-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Nov-2018 - 00:00,43.04,77.06,31.35,32.96,200.74,0.86,103.5,177.67,8.39,2.8,5.5,14.95,26.89,19.82,0.01,153.65,83.51,0.0,193.25,0.27,,18-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Nov-2018 - 00:00,37.66,48.98,31.02,11.68,46.49,0.74,102.19,163.66,6.22,2.34,4.76,13.47,30.4,20.15,0.01,153.14,80.28,0.0,116.36,0.66,,19-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
19-Nov-2018 - 00:00,47.23,61.82,28.99,15.59,20.6,0.7,76.1,151.32,5.22,2.75,3.88,12.11,33.52,20.48,0.01,157.99,73.55,0.0,220.34,0.32,,20-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
20-Nov-2018 - 00:00,45.54,82.1,30.59,36.56,3.95,0.91,86.77,190.82,7.87,4.46,6.14,18.87,30.04,20.29,0.01,154.55,77.91,0.0,192.88,0.31,,21-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
21-Nov-2018 - 00:00,40.29,69.49,29.58,29.94,4.17,0.78,97.75,187.26,8.26,4.12,6.48,19.04,27.95,20.54,0.01,138.16,80.62,0.0,180.23,0.27,,22-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
