from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
01-Aug-2018 - 00:00,,,,,,,02-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
02-Aug-2018 - 00:00,,,,,,,03-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
03-Aug-2018 - 00:00,,,,,,,04-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Aug-2018 - 00:00,,,,,,,05-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Aug-2018 - 00:00,,,,,,,06-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Aug-2018 - 00:00,,,,,,,07-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Aug-2018 - 00:00,,,,,,,08-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Aug-2018 - 00:00,,,,,,,09-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Aug-2018 - 00:00,,,,,,,10-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Aug-2018 - 00:00,,,,,,,11-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Aug-2018 - 00:00,,,,,,,12-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Aug-2018 - 00:00,,,,,,,13-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Aug-2018 - 00:00,,,,,,,14-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Aug-2018 - 00:00,,,,,,,15-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Aug-2018 - 00:00,,,,,,,16-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Aug-2018 - 00:00,,,,,,,17-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Aug-2018 - 00:00,,,,,,,18-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Aug-2018 - 00:00,,,,,,,19-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Aug-2018 - 00:00,,,,,,,20-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Aug-2018 - 00:00,,,,,,,21-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Aug-2018 - 00:00,,,,,,,22-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Aug-2018 - 00:00,,,,,,,23-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Aug-2018 - 00:00,,,,,,,24-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
