from date,MP-Xylene,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
31-Aug-2018 - 00:00,,0.0,0.0,26.48,98.92,0.0,48.09,0.04,0.29,163.97,0.26,8.13,26.22,20.44,9.49,13.76,3.0,01-Sep-2018 - 00:00,997.62,"Central School, Lucknow - CPCB"
01-Sep-2018 - 00:00,,0.0,0.0,27.85,95.71,0.0,56.4,0.02,0.3,138.98,0.33,7.51,24.41,19.0,9.7,20.49,3.01,02-Sep-2018 - 00:00,998.03,"Central School, Lucknow - CPCB"
02-Sep-2018 - 00:00,,0.0,0.0,27.47,97.87,0.0,54.3,0.02,0.3,131.17,0.33,7.65,22.83,18.26,11.17,13.49,3.0,03-Sep-2018 - 00:00,998.56,"Central School, Lucknow - CPCB"
03-Sep-2018 - 00:00,,0.0,0.0,26.02,99.12,0.0,33.81,0.02,0.31,144.98,0.26,9.84,28.56,23.07,10.98,28.92,3.01,04-Sep-2018 - 00:00,999.29,"Central School, Lucknow - CPCB"
04-Sep-2018 - 00:00,,0.0,0.0,26.09,99.14,0.0,20.03,0.02,0.31,225.74,0.37,10.34,28.53,23.45,12.9,15.92,3.0,05-Sep-2018 - 00:00,999.41,"Central School, Lucknow - CPCB"
05-Sep-2018 - 00:00,,0.0,0.0,26.21,99.12,0.0,42.76,-0.0,0.32,271.47,0.34,9.13,25.0,20.6,13.95,11.97,3.01,06-Sep-2018 - 00:00,997.92,"Central School, Lucknow - CPCB"
06-Sep-2018 - 00:00,,0.0,0.0,27.42,99.09,0.0,31.83,-0.02,0.35,203.13,0.33,13.46,27.05,25.16,22.66,23.55,2.23,07-Sep-2018 - 00:00,997.78,"Central School, Lucknow - CPCB"
07-Sep-2018 - 00:00,,0.0,0.0,28.69,89.16,0.0,67.09,-0.05,0.4,105.47,0.34,8.33,21.64,18.18,27.58,15.67,1.59,08-Sep-2018 - 00:00,999.1,"Central School, Lucknow - CPCB"
08-Sep-2018 - 00:00,,0.0,0.0,28.62,91.78,0.0,50.9,-0.08,0.36,152.25,1.13,7.53,22.61,18.06,23.43,24.7,1.6,09-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Sep-2018 - 00:00,,0.0,0.0,29.01,83.05,0.0,82.54,-0.09,0.33,224.29,2.1,7.61,23.96,18.84,22.06,17.9,1.59,10-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Sep-2018 - 00:00,,0.0,0.0,28.94,88.86,0.0,67.72,-0.1,0.36,263.83,2.48,7.66,22.7,18.2,15.35,23.46,1.61,11-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Sep-2018 - 00:00,,0.0,0.0,29.08,89.53,0.0,63.85,-0.11,0.35,266.93,3.37,7.85,21.97,17.97,12.79,24.32,1.59,12-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Sep-2018 - 00:00,,0.0,0.0,28.66,94.41,0.0,44.92,-0.12,0.34,250.51,2.29,7.97,23.71,18.99,13.44,23.69,1.6,13-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Sep-2018 - 00:00,,0.0,0.0,28.89,88.67,0.0,56.37,-0.13,0.33,269.85,0.56,7.84,24.24,19.17,17.41,25.57,1.6,14-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Sep-2018 - 00:00,,0.0,0.0,29.71,81.27,0.0,74.38,-0.11,0.36,270.87,0.57,7.59,23.01,18.31,19.85,33.29,1.58,15-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Sep-2018 - 00:00,,0.0,0.0,30.12,78.94,0.0,76.09,-0.09,0.36,275.67,0.57,7.66,24.31,19.06,19.88,35.53,1.6,16-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Sep-2018 - 00:00,,0.0,0.0,30.66,73.89,0.0,75.52,-0.08,0.37,273.71,0.36,7.52,24.35,18.97,22.94,36.72,1.6,17-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Sep-2018 - 00:00,,0.0,0.0,31.2,72.86,0.0,79.12,-0.09,0.34,283.42,0.79,7.81,19.87,16.82,16.83,47.86,1.58,18-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Sep-2018 - 00:00,,0.0,0.0,31.19,70.06,0.0,80.71,-0.08,0.31,283.04,0.67,8.19,20.87,17.61,20.24,47.74,1.6,19-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Sep-2018 - 00:00,,0.0,0.0,29.73,62.94,0.0,83.79,-0.08,0.32,282.02,0.89,15.81,27.42,27.23,18.54,67.34,1.61,20-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Sep-2018 - 00:00,,0.0,0.0,29.7,75.12,0.0,70.99,-0.09,0.36,88.96,0.72,8.27,23.78,19.27,21.55,54.59,1.61,21-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Sep-2018 - 00:00,,0.0,0.0,27.35,93.55,0.0,33.54,-0.07,0.34,110.0,0.61,7.71,17.94,15.71,11.32,13.18,1.62,22-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Sep-2018 - 00:00,,0.0,0.0,26.38,98.75,0.0,31.09,-0.05,0.33,122.29,0.45,7.89,20.38,17.15,11.68,23.8,1.59,23-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Sep-2018 - 00:00,,0.0,0.0,29.18,88.71,0.0,61.4,-0.08,0.34,132.87,0.59,8.64,22.73,19.01,19.24,38.0,1.61,24-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Sep-2018 - 00:00,,0.0,0.0,30.59,81.87,0.0,95.24,-0.08,0.32,212.48,0.81,8.15,21.42,17.92,16.83,48.15,1.59,25-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Sep-2018 - 00:00,,0.01,0.0,29.42,79.98,0.0,88.75,-0.0,0.34,275.52,1.1,8.19,22.07,18.29,21.36,14.24,13.36,26-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Sep-2018 - 00:00,,0.04,0.0,28.8,85.5,0.0,64.06,0.07,0.28,248.95,1.36,7.8,21.57,17.71,31.88,30.78,1.6,27-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Sep-2018 - 00:00,,0.06,0.0,29.97,77.75,0.01,70.76,0.07,0.32,262.49,1.16,13.07,28.48,25.59,35.07,48.64,1.6,28-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Sep-2018 - 00:00,,0.0,0.0,29.89,77.4,0.0,63.65,0.06,0.27,251.48,0.78,7.87,25.13,19.25,41.47,61.32,1.61,29-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Sep-2018 - 00:00,,0.09,0.0,30.53,66.11,0.01,76.34,0.07,0.33,268.63,0.72,4.43,28.79,19.34,42.41,70.07,1.61,30-Sep-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Sep-2018 - 00:00,,0.15,0.0,30.1,55.22,0.02,81.91,0.07,0.33,281.57,0.74,1.38,33.95,19.65,47.96,56.65,1.62,01-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-Oct-2018 - 00:00,,0.06,0.0,29.54,61.42,0.01,77.45,0.07,0.33,283.85,0.77,4.27,23.46,16.35,47.6,62.07,1.6,02-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Oct-2018 - 00:00,,0.0,0.0,29.62,63.79,0.0,71.92,0.07,0.3,295.81,0.82,6.29,14.16,12.56,49.12,66.87,1.6,03-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Oct-2018 - 00:00,,0.0,0.0,30.43,60.1,0.0,77.3,0.07,0.26,271.44,1.0,8.95,16.1,15.72,51.83,70.04,1.6,04-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-Oct-2018 - 00:00,,0.0,0.0,29.9,62.45,0.0,61.12,0.08,0.33,227.77,1.08,18.67,23.11,27.23,9.1,71.82,1.6,05-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Oct-2018 - 00:00,,0.0,0.0,29.89,62.26,0.0,73.88,0.09,0.28,249.15,0.52,20.08,27.26,30.56,7.96,70.64,1.59,06-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Oct-2018 - 00:00,,0.02,0.0,29.8,60.25,0.0,70.46,0.11,0.33,208.58,0.34,23.21,30.32,34.7,32.51,79.14,1.6,07-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Oct-2018 - 00:00,,0.15,0.0,28.71,60.77,0.01,58.55,0.1,0.38,181.16,0.34,18.13,26.85,28.79,32.94,80.31,1.61,08-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Oct-2018 - 00:00,,0.09,0.0,28.88,63.13,0.01,65.95,0.12,0.34,191.0,0.34,21.99,34.81,36.11,33.1,89.66,1.6,09-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Oct-2018 - 00:00,,0.15,0.0,29.84,58.48,0.01,66.03,0.12,0.35,150.71,0.34,6.98,22.86,17.75,58.88,74.57,1.6,10-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Oct-2018 - 00:00,,0.15,0.06,28.05,64.29,0.02,56.01,0.11,0.38,123.55,0.34,6.94,20.82,16.62,47.62,78.45,1.62,11-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Oct-2018 - 00:00,,0.15,0.24,28.13,76.12,0.05,52.79,0.11,0.4,119.47,0.66,6.66,17.37,14.57,47.94,64.26,2.57,12-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Oct-2018 - 00:00,,0.12,0.17,26.3,82.47,0.07,30.73,0.09,0.37,112.32,1.5,8.26,14.75,14.29,21.85,52.74,3.23,13-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Oct-2018 - 00:00,,0.0,0.0,27.55,73.67,0.0,51.95,0.07,0.28,217.04,0.6,6.39,13.66,12.35,30.32,54.62,1.75,14-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Oct-2018 - 00:00,,0.0,0.0,25.86,56.1,0.0,60.88,0.08,0.33,256.64,0.76,6.82,15.87,13.9,44.54,87.25,1.14,15-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Oct-2018 - 00:00,,0.08,0.12,25.84,53.78,0.05,58.8,0.06,0.34,251.56,0.7,9.01,28.33,22.27,43.77,109.42,4.67,16-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Oct-2018 - 00:00,,0.12,0.18,26.44,53.09,0.07,55.78,0.03,0.36,182.75,0.86,13.57,31.03,27.36,35.84,106.8,4.16,17-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Oct-2018 - 00:00,,1.95,0.93,27.35,55.03,1.18,53.64,0.03,0.32,149.01,0.73,11.74,30.21,25.44,44.01,115.81,6.79,18-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Oct-2018 - 00:00,,0.18,0.25,27.92,63.84,0.11,54.49,0.04,0.3,184.2,1.01,31.95,43.64,48.71,35.92,111.8,1.91,19-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Oct-2018 - 00:00,,0.25,0.36,28.27,55.65,0.15,52.02,0.02,0.34,150.27,0.74,27.19,48.89,47.7,39.44,104.09,2.73,20-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Oct-2018 - 00:00,,0.25,0.36,27.43,54.61,0.15,49.13,0.04,0.31,206.14,0.84,25.17,48.48,45.93,37.09,91.57,2.72,21-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Oct-2018 - 00:00,,0.26,0.36,26.95,54.44,0.15,49.38,0.03,0.3,84.33,0.7,17.77,48.76,40.15,34.11,94.18,2.74,22-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Oct-2018 - 00:00,,0.25,0.19,25.8,44.11,0.15,50.39,0.03,0.29,215.77,0.63,26.74,46.49,46.12,34.85,86.14,2.72,23-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Oct-2018 - 00:00,,0.26,0.04,24.67,46.79,0.1,45.44,0.01,0.37,268.8,0.58,12.6,51.11,37.26,22.74,114.8,4.17,24-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Oct-2018 - 00:00,,0.02,0.09,24.33,53.47,0.03,46.9,0.03,0.3,271.91,1.04,45.8,58.22,67.61,21.57,171.7,0.78,25-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Oct-2018 - 00:00,,0.01,0.46,24.87,61.74,0.15,40.01,0.05,0.33,163.0,0.93,52.08,69.24,78.5,20.6,204.71,1.98,26-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Oct-2018 - 00:00,,0.01,0.6,25.16,61.37,0.12,45.6,0.04,0.32,133.44,0.85,34.06,65.67,61.97,23.58,146.19,2.73,27-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Oct-2018 - 00:00,,0.02,1.45,25.01,59.25,0.15,29.42,0.03,0.33,128.45,0.97,36.59,73.1,67.92,14.18,124.01,2.72,28-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Oct-2018 - 00:00,,0.02,1.45,24.38,61.86,0.15,41.09,0.03,0.3,141.07,0.74,36.01,63.37,62.51,15.0,147.33,2.73,29-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Oct-2018 - 00:00,,0.02,1.46,23.76,62.67,0.15,41.25,0.03,0.3,186.6,0.94,63.26,58.13,81.53,15.87,146.19,2.73,30-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Oct-2018 - 00:00,,0.22,0.94,24.29,58.54,0.18,40.6,0.03,0.3,210.33,0.89,45.35,70.29,73.67,15.85,129.92,3.66,31-Oct-2018 - 00:00,,"Central School, Lucknow - CPCB"
31-Oct-2018 - 00:00,,0.59,0.38,24.31,58.34,0.23,39.34,0.04,0.31,128.69,1.06,51.14,64.66,75.31,18.06,145.49,3.72,01-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-Nov-2018 - 00:00,,0.61,0.37,24.46,61.31,0.18,37.23,0.04,0.31,95.96,1.38,51.52,63.84,75.18,22.71,122.67,4.15,02-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Nov-2018 - 00:00,,1.11,0.61,24.39,66.12,0.21,35.74,0.03,0.32,117.4,1.55,51.32,70.58,78.6,26.66,163.96,4.84,03-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Nov-2018 - 00:00,,1.0,0.53,25.16,59.68,0.64,33.73,0.03,0.34,124.53,1.11,20.05,65.6,50.94,21.1,130.32,5.58,04-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-Nov-2018 - 00:00,,1.22,0.35,24.74,59.54,0.96,32.51,0.03,0.33,114.47,0.97,15.34,49.66,38.69,26.72,115.45,2.17,05-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Nov-2018 - 00:00,,1.11,0.64,24.26,56.53,0.19,34.16,0.11,0.29,237.82,0.81,7.56,41.86,28.31,23.65,91.34,2.57,06-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Nov-2018 - 00:00,,1.42,0.44,22.21,54.32,1.18,33.18,0.11,0.34,279.04,0.91,7.62,40.85,27.83,33.2,158.2,2.1,07-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Nov-2018 - 00:00,,1.97,0.33,20.88,54.69,2.76,29.92,0.06,0.32,259.86,1.24,40.71,51.56,60.12,26.29,199.42,5.55,08-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Nov-2018 - 00:00,,1.18,0.59,21.06,61.12,3.72,32.27,0.03,0.31,238.43,1.23,10.94,31.3,25.11,20.75,314.64,8.39,09-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Nov-2018 - 00:00,,0.67,0.2,20.19,54.7,1.93,31.27,0.1,0.32,253.82,1.38,24.61,29.79,35.53,33.64,210.96,7.88,10-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Nov-2018 - 00:00,,0.96,0.19,20.23,65.88,0.85,29.68,0.11,0.31,204.04,1.43,25.3,35.54,39.14,27.38,208.48,4.64,11-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Nov-2018 - 00:00,,0.96,0.19,21.55,70.18,0.85,28.26,0.11,0.31,249.24,1.25,13.8,35.55,29.95,26.57,162.97,5.56,12-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Nov-2018 - 00:00,,0.92,0.09,20.95,77.65,0.74,28.21,0.11,0.32,204.07,2.24,51.68,39.52,62.36,25.61,200.32,5.66,13-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Nov-2018 - 00:00,,0.94,0.12,21.87,70.89,0.86,29.44,0.1,0.32,170.9,1.81,49.28,41.05,61.26,22.07,197.88,4.83,14-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Nov-2018 - 00:00,,0.99,0.23,22.14,74.9,1.05,28.2,0.09,0.3,95.96,1.42,15.48,30.89,28.81,21.56,147.89,5.98,15-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Nov-2018 - 00:00,,0.81,0.11,22.35,70.47,0.94,30.15,0.1,0.3,220.86,1.45,12.0,29.16,25.11,18.08,126.44,6.2,16-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Nov-2018 - 00:00,,0.65,0.0,21.39,58.04,0.85,29.51,0.09,0.31,277.86,0.96,5.24,20.66,15.19,34.54,77.06,6.29,17-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Nov-2018 - 00:00,,0.65,0.0,19.89,53.53,0.85,28.63,0.1,0.34,276.83,1.07,5.71,25.59,18.18,40.17,89.84,6.21,18-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Nov-2018 - 00:00,,0.6,0.01,19.66,65.21,0.79,27.13,0.11,0.31,164.44,1.56,18.02,38.22,34.75,36.98,147.35,5.37,19-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Nov-2018 - 00:00,,0.32,0.07,20.34,70.05,0.4,33.88,0.03,0.34,86.86,1.17,18.53,39.27,35.71,32.21,153.71,5.43,20-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Nov-2018 - 00:00,,0.61,0.25,20.4,80.82,0.65,26.26,-0.07,0.32,105.06,1.34,44.57,47.92,61.15,20.33,172.16,4.1,21-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Nov-2018 - 00:00,,0.8,0.25,20.86,70.27,0.95,29.01,-0.09,0.33,158.32,0.96,40.68,44.5,56.21,20.22,179.65,3.1,22-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Nov-2018 - 00:00,,0.81,0.25,20.23,58.81,0.95,26.39,-0.1,0.32,194.51,0.88,21.83,44.89,41.34,19.82,155.93,4.1,23-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Nov-2018 - 00:00,,0.8,0.25,20.71,52.25,0.95,25.67,-0.11,0.32,264.82,0.67,5.34,30.26,20.37,28.09,128.67,4.57,24-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Nov-2018 - 00:00,,0.8,0.25,20.33,51.96,0.95,25.53,-0.11,0.34,277.07,0.68,4.42,26.08,17.41,31.81,110.83,4.44,25-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Nov-2018 - 00:00,,0.8,0.25,18.58,71.59,0.95,24.23,-0.09,0.32,219.2,0.99,24.04,41.96,41.55,25.51,133.06,3.66,26-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Nov-2018 - 00:00,,0.8,0.25,19.45,78.68,0.95,25.34,-0.08,0.3,188.38,1.23,52.99,51.87,69.98,21.54,208.28,3.3,27-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Nov-2018 - 00:00,,0.76,0.24,20.2,80.65,0.96,25.47,-0.07,0.33,113.78,1.21,48.94,52.04,66.83,18.94,225.45,2.84,28-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Nov-2018 - 00:00,,0.71,0.16,21.11,74.57,0.79,25.22,-0.06,0.34,101.49,1.27,30.0,41.55,46.1,13.74,112.73,4.19,29-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Nov-2018 - 00:00,,1.69,0.48,19.59,82.28,1.32,23.61,-0.09,0.27,205.31,1.15,26.25,39.47,41.99,11.63,117.91,4.84,30-Nov-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Nov-2018 - 00:00,,1.37,0.23,18.9,78.08,1.26,21.52,-0.07,0.29,262.48,1.13,9.36,34.6,25.89,21.22,145.93,3.67,01-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
01-Dec-2018 - 00:00,,1.36,0.23,18.27,69.21,1.24,29.01,-0.03,0.32,192.39,1.02,33.09,39.14,47.29,15.24,152.24,3.41,02-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Dec-2018 - 00:00,,1.36,0.23,17.76,65.51,1.25,29.21,-0.04,0.33,181.76,0.99,35.95,46.25,53.36,14.96,129.75,3.54,03-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Dec-2018 - 00:00,,1.36,0.23,17.35,69.83,1.24,26.52,-0.07,0.3,271.88,1.15,21.46,39.45,38.15,15.75,124.13,4.13,04-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-Dec-2018 - 00:00,,1.37,0.23,17.41,77.36,1.25,28.03,-0.07,0.31,204.35,1.06,29.57,49.92,50.21,12.12,195.28,3.5,05-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-Dec-2018 - 00:00,,1.36,0.23,17.53,74.0,1.24,39.03,-0.07,0.31,273.18,0.85,18.67,39.48,35.94,16.37,189.24,4.02,06-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-Dec-2018 - 00:00,,1.65,0.39,16.39,76.43,1.41,38.04,-0.09,0.29,269.65,0.79,18.74,47.25,40.13,18.61,188.84,3.69,07-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-Dec-2018 - 00:00,,1.37,0.53,16.42,72.85,1.01,37.3,0.07,0.3,204.39,0.82,15.62,35.49,31.37,16.42,154.13,4.63,08-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-Dec-2018 - 00:00,,1.49,0.09,16.17,76.39,0.06,38.66,0.04,0.3,220.37,0.8,31.53,44.58,48.96,20.09,162.89,4.72,09-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
09-Dec-2018 - 00:00,,3.9,0.0,15.83,76.28,0.08,36.75,0.03,0.31,132.87,1.07,60.65,49.0,74.58,17.28,190.17,4.15,10-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-Dec-2018 - 00:00,,5.33,0.0,15.09,76.16,0.36,36.36,0.04,0.35,86.08,1.24,94.31,55.46,104.95,21.47,266.18,3.23,11-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-Dec-2018 - 00:00,,2.13,0.0,15.02,75.12,0.0,28.02,0.04,0.36,73.22,1.02,39.1,48.87,57.28,14.54,160.41,3.78,12-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-Dec-2018 - 00:00,,4.7,0.0,15.26,75.48,0.0,22.91,0.05,0.3,157.55,0.66,22.07,45.82,42.02,9.06,153.16,4.5,13-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-Dec-2018 - 00:00,,0.3,0.0,16.41,69.81,0.0,28.68,0.05,0.29,229.59,0.63,9.21,36.22,26.63,9.68,102.81,5.16,14-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-Dec-2018 - 00:00,,0.0,0.0,16.26,69.01,0.0,33.99,0.05,0.28,270.56,0.41,7.42,30.76,22.3,9.7,74.2,5.93,15-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-Dec-2018 - 00:00,,0.41,0.0,15.28,65.83,0.0,35.56,0.05,0.29,270.36,0.61,11.09,33.97,26.94,9.16,74.44,5.88,16-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-Dec-2018 - 00:00,,2.08,0.0,14.53,59.87,0.0,35.0,0.04,0.3,154.58,1.13,39.63,41.03,53.53,10.28,103.18,5.49,17-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
17-Dec-2018 - 00:00,,3.24,0.0,15.51,63.65,0.0,35.09,0.05,0.31,215.27,0.86,37.09,42.85,52.47,10.29,112.09,5.3,18-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-Dec-2018 - 00:00,,0.34,0.0,15.78,63.16,0.0,32.92,0.05,0.33,248.46,0.56,17.65,37.58,34.11,9.33,107.36,5.39,19-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
19-Dec-2018 - 00:00,,1.56,0.0,13.37,66.43,0.0,30.43,0.05,0.32,279.02,0.62,9.98,37.7,28.04,15.47,126.44,4.81,20-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
20-Dec-2018 - 00:00,,1.66,0.0,13.66,69.79,0.0,31.21,0.06,0.31,257.5,0.66,7.3,38.44,26.29,12.62,159.17,5.0,21-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
21-Dec-2018 - 00:00,,0.0,0.0,12.8,61.97,0.0,32.18,0.05,0.31,276.88,0.7,9.82,37.88,28.01,14.34,141.59,4.85,22-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
22-Dec-2018 - 00:00,,2.44,0.0,12.42,71.88,0.0,32.49,0.06,0.29,235.3,1.39,47.95,44.49,62.03,14.36,181.97,4.72,23-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
23-Dec-2018 - 00:00,,0.42,0.0,12.91,68.94,0.0,31.03,0.06,0.3,232.19,0.53,15.19,41.37,34.16,10.28,186.9,4.82,24-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
24-Dec-2018 - 00:00,,0.0,0.0,8.38,68.82,0.0,7.19,0.09,0.3,277.52,0.62,7.03,29.74,21.44,5.87,140.79,4.69,25-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
25-Dec-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
26-Dec-2018 - 00:00,,0.2,0.0,14.87,41.98,0.0,48.25,0.08,0.32,232.46,0.61,18.17,39.39,35.49,12.52,94.34,5.62,27-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
27-Dec-2018 - 00:00,,1.01,0.0,12.51,52.65,0.0,31.46,0.08,0.33,222.52,0.58,6.73,34.19,23.57,9.23,131.43,5.82,28-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
28-Dec-2018 - 00:00,,0.16,0.0,12.07,55.79,0.0,34.48,0.09,0.32,278.84,0.61,6.69,33.3,23.06,17.34,129.52,4.53,29-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
29-Dec-2018 - 00:00,,0.0,0.0,11.05,67.69,0.0,35.16,0.12,0.32,262.92,0.93,18.69,40.46,36.48,19.0,178.67,1.93,30-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
30-Dec-2018 - 00:00,,1.17,0.0,11.83,75.04,0.0,33.87,0.12,0.3,267.33,1.17,53.14,49.57,68.88,10.55,184.76,1.83,31-Dec-2018 - 00:00,,"Central School, Lucknow - CPCB"
31-Dec-2018 - 00:00,,7.2,0.0,8.98,99.04,0.0,1.38,0.12,0.28,324.76,1.1,128.01,48.77,128.35,4.21,385.81,0.65,01-Jan-2019 - 00:00,,"Central School, Lucknow - CPCB"
