from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,WD,NO2,to date,BP,CO,station
25-Apr-2018 - 00:00,80.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,26-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
26-Apr-2018 - 00:00,38.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.34,0.0,0.0,-0.09,0.0,1.13,0.0,0.06,27-Apr-2018 - 00:00,0.0,0.05,"Lalbagh, Lucknow - CPCB"
27-Apr-2018 - 00:00,29.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,28-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
28-Apr-2018 - 00:00,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,29-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
29-Apr-2018 - 00:00,29.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,30-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
30-Apr-2018 - 00:00,29.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,01-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
01-May-2018 - 00:00,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,02-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
02-May-2018 - 00:00,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,-0.07,0.0,0.77,0.0,0.79,03-May-2018 - 00:00,0.0,0.21,"Lalbagh, Lucknow - CPCB"
03-May-2018 - 00:00,29.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,04-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
04-May-2018 - 00:00,31.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,05-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
05-May-2018 - 00:00,32.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,06-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
06-May-2018 - 00:00,35.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,07-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
07-May-2018 - 00:00,44.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,08-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
08-May-2018 - 00:00,74.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,09-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
09-May-2018 - 00:00,28.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.03,0.0,0.0,0.0,0.0,10-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
10-May-2018 - 00:00,32.54,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,1.2,0.0,0.04,11-May-2018 - 00:00,0.0,0.03,"Lalbagh, Lucknow - CPCB"
11-May-2018 - 00:00,49.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,12-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
12-May-2018 - 00:00,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,13-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
13-May-2018 - 00:00,26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,14-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
14-May-2018 - 00:00,27.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,15-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
15-May-2018 - 00:00,29.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,16-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
16-May-2018 - 00:00,29.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,17-May-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
17-May-2018 - 00:00,24.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,67.53,55.17,-0.09,0.0,0.0,91.08,0.0,18-May-2018 - 00:00,991.38,0.0,"Lalbagh, Lucknow - CPCB"
18-May-2018 - 00:00,26.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,64.77,53.22,-0.08,0.0,0.0,91.65,0.0,19-May-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
19-May-2018 - 00:00,27.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,55.33,55.94,-0.06,0.0,0.0,166.94,0.0,20-May-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
20-May-2018 - 00:00,34.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,52.84,34.33,-0.03,0.0,0.0,191.89,0.0,21-May-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
21-May-2018 - 00:00,51.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,45.33,58.35,-0.03,0.0,0.0,214.65,0.0,22-May-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
22-May-2018 - 00:00,37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,47.48,58.57,-0.07,0.0,0.0,159.92,0.0,23-May-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
23-May-2018 - 00:00,26.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,64.37,55.5,-0.11,0.0,0.0,95.25,0.0,24-May-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
24-May-2018 - 00:00,26.35,0.37,0.0,0.28,0.0,0.0,0.0,0.0,1.01,61.06,56.19,-0.09,0.0,0.89,112.64,0.07,25-May-2018 - 00:00,998.91,0.13,"Lalbagh, Lucknow - CPCB"
25-May-2018 - 00:00,41.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,36.18,70.25,-0.04,0.0,0.0,234.95,0.0,26-May-2018 - 00:00,998.89,0.0,"Lalbagh, Lucknow - CPCB"
26-May-2018 - 00:00,54.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,25.91,77.26,-0.05,0.0,0.0,246.5,0.0,27-May-2018 - 00:00,998.13,0.0,"Lalbagh, Lucknow - CPCB"
27-May-2018 - 00:00,31.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,57.58,96.29,-0.1,0.0,0.0,89.0,0.0,28-May-2018 - 00:00,998.1,0.0,"Lalbagh, Lucknow - CPCB"
28-May-2018 - 00:00,32.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,61.38,60.5,-0.08,0.0,0.0,103.35,0.0,29-May-2018 - 00:00,995.31,0.0,"Lalbagh, Lucknow - CPCB"
29-May-2018 - 00:00,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,60.62,61.69,-0.11,0.0,0.0,91.08,0.0,30-May-2018 - 00:00,996.65,0.0,"Lalbagh, Lucknow - CPCB"
30-May-2018 - 00:00,32.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,63.61,34.05,-0.06,0.0,0.0,82.67,0.0,31-May-2018 - 00:00,997.93,0.0,"Lalbagh, Lucknow - CPCB"
31-May-2018 - 00:00,26.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,67.05,50.14,-0.07,0.0,0.0,82.12,0.0,01-Jun-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
01-Jun-2018 - 00:00,26.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,69.26,55.11,-0.1,0.0,0.0,91.79,0.0,02-Jun-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
02-Jun-2018 - 00:00,25.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,77.43,47.6,-0.03,0.0,0.0,102.17,0.0,03-Jun-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
03-Jun-2018 - 00:00,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,66.07,58.74,-0.08,0.0,0.0,73.31,0.0,04-Jun-2018 - 00:00,998.95,0.0,"Lalbagh, Lucknow - CPCB"
04-Jun-2018 - 00:00,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,60.83,56.58,-0.08,0.0,0.0,80.57,0.0,05-Jun-2018 - 00:00,998.39,0.0,"Lalbagh, Lucknow - CPCB"
05-Jun-2018 - 00:00,25.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,61.52,60.71,-0.09,0.0,0.0,82.18,0.0,06-Jun-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
06-Jun-2018 - 00:00,28.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,60.89,73.0,-0.06,0.0,0.0,104.02,0.0,07-Jun-2018 - 00:00,,0.0,"Lalbagh, Lucknow - CPCB"
07-Jun-2018 - 00:00,30.96,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.63,63.77,79.79,-0.05,0.0,0.19,130.62,0.92,08-Jun-2018 - 00:00,996.77,0.09,"Lalbagh, Lucknow - CPCB"
08-Jun-2018 - 00:00,34.21,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.36,82.07,82.64,-0.04,0.0,0.0,113.73,0.0,09-Jun-2018 - 00:00,994.81,0.0,"Lalbagh, Lucknow - CPCB"
09-Jun-2018 - 00:00,29.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,71.02,93.58,-0.09,0.0,0.0,115.07,0.0,10-Jun-2018 - 00:00,992.39,0.0,"Lalbagh, Lucknow - CPCB"
10-Jun-2018 - 00:00,31.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,69.14,73.07,-0.01,0.0,0.0,204.14,0.0,11-Jun-2018 - 00:00,991.89,0.0,"Lalbagh, Lucknow - CPCB"
11-Jun-2018 - 00:00,38.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,61.73,91.18,-0.05,0.0,0.0,265.55,0.0,12-Jun-2018 - 00:00,989.25,0.0,"Lalbagh, Lucknow - CPCB"
12-Jun-2018 - 00:00,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,49.38,72.84,-0.08,0.76,0.0,235.28,0.0,13-Jun-2018 - 00:00,986.95,0.0,"Lalbagh, Lucknow - CPCB"
13-Jun-2018 - 00:00,38.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,54.57,96.11,-0.02,1.5,0.0,209.02,0.0,14-Jun-2018 - 00:00,987.43,0.0,"Lalbagh, Lucknow - CPCB"
14-Jun-2018 - 00:00,41.91,9.77,101.66,5.54,2.96,2.71,1.36,3.51,0.59,55.96,42.83,-0.06,0.66,23.71,198.84,22.65,15-Jun-2018 - 00:00,990.29,0.99,"Lalbagh, Lucknow - CPCB"
15-Jun-2018 - 00:00,27.25,18.19,164.76,5.76,1.64,2.65,0.32,0.84,0.58,60.74,63.16,-0.05,0.79,10.05,163.76,36.23,16-Jun-2018 - 00:00,993.53,1.11,"Lalbagh, Lucknow - CPCB"
16-Jun-2018 - 00:00,25.19,13.83,156.63,5.92,1.15,2.51,0.25,0.38,1.68,55.63,60.69,-0.05,0.98,10.4,236.48,31.89,17-Jun-2018 - 00:00,995.18,1.23,"Lalbagh, Lucknow - CPCB"
17-Jun-2018 - 00:00,29.95,12.38,195.88,6.57,1.27,2.68,0.2,0.48,2.49,51.07,58.04,-0.02,1.08,11.97,259.66,38.46,18-Jun-2018 - 00:00,995.51,0.99,"Lalbagh, Lucknow - CPCB"
18-Jun-2018 - 00:00,33.69,23.47,118.45,6.24,1.73,2.57,0.29,0.74,1.2,58.37,63.65,-0.02,0.95,12.79,246.43,44.21,19-Jun-2018 - 00:00,995.98,0.84,"Lalbagh, Lucknow - CPCB"
19-Jun-2018 - 00:00,33.54,18.88,86.04,6.13,2.02,1.89,0.27,0.94,1.01,55.06,73.32,-0.04,0.77,12.35,270.75,44.68,20-Jun-2018 - 00:00,996.6,1.14,"Lalbagh, Lucknow - CPCB"
20-Jun-2018 - 00:00,39.59,23.42,105.97,6.21,2.48,2.78,0.34,0.98,1.38,46.56,67.16,-0.03,0.74,13.61,272.22,54.27,21-Jun-2018 - 00:00,997.57,1.06,"Lalbagh, Lucknow - CPCB"
21-Jun-2018 - 00:00,37.94,27.48,119.18,9.96,3.06,3.56,0.52,0.76,1.26,49.06,91.47,-0.07,0.51,10.39,154.97,55.94,22-Jun-2018 - 00:00,996.94,1.0,"Lalbagh, Lucknow - CPCB"
22-Jun-2018 - 00:00,32.59,29.42,107.77,6.1,3.13,3.52,0.35,1.51,1.72,53.99,67.37,-0.09,0.83,10.82,134.69,45.3,23-Jun-2018 - 00:00,995.68,1.02,"Lalbagh, Lucknow - CPCB"
23-Jun-2018 - 00:00,28.11,31.31,87.93,6.28,1.21,2.96,0.27,0.37,0.54,57.01,70.03,-0.08,0.8,10.12,168.17,38.06,24-Jun-2018 - 00:00,995.76,0.83,"Lalbagh, Lucknow - CPCB"
24-Jun-2018 - 00:00,29.56,25.69,80.15,5.75,0.63,1.7,0.11,0.55,0.99,58.13,72.41,-0.07,0.81,10.06,213.48,41.52,25-Jun-2018 - 00:00,994.34,0.84,"Lalbagh, Lucknow - CPCB"
25-Jun-2018 - 00:00,36.52,26.36,104.85,6.88,2.13,2.71,0.21,1.2,0.78,48.39,63.96,-0.06,0.76,10.75,250.88,54.13,26-Jun-2018 - 00:00,991.82,1.2,"Lalbagh, Lucknow - CPCB"
26-Jun-2018 - 00:00,30.25,28.92,81.8,5.96,1.21,2.1,0.22,0.71,0.53,66.47,59.37,-0.03,0.74,10.39,199.53,41.44,27-Jun-2018 - 00:00,993.08,1.08,"Lalbagh, Lucknow - CPCB"
27-Jun-2018 - 00:00,24.02,21.02,39.52,5.52,0.12,0.94,0.06,0.26,0.05,76.98,62.73,-0.06,1.17,9.14,83.76,36.17,28-Jun-2018 - 00:00,996.13,0.64,"Lalbagh, Lucknow - CPCB"
28-Jun-2018 - 00:00,24.31,34.39,26.86,6.18,0.0,0.12,0.0,0.06,0.31,85.32,96.9,-0.12,1.37,9.79,102.83,31.1,29-Jun-2018 - 00:00,998.05,0.59,"Lalbagh, Lucknow - CPCB"
29-Jun-2018 - 00:00,25.02,28.04,42.35,5.87,0.0,0.12,0.01,0.01,0.87,78.9,49.08,-0.12,0.98,9.95,116.18,32.19,30-Jun-2018 - 00:00,998.8,0.82,"Lalbagh, Lucknow - CPCB"
30-Jun-2018 - 00:00,26.1,10.41,42.26,5.99,0.0,0.15,0.02,0.01,0.8,80.63,87.07,-0.04,0.66,10.45,188.17,33.63,01-Jul-2018 - 00:00,998.79,0.76,"Lalbagh, Lucknow - CPCB"
01-Jul-2018 - 00:00,27.03,40.12,49.83,5.59,0.0,0.28,0.03,0.0,0.87,89.56,18.8,-0.03,0.76,11.28,223.24,34.56,02-Jul-2018 - 00:00,997.64,1.09,"Lalbagh, Lucknow - CPCB"
02-Jul-2018 - 00:00,30.19,20.06,66.23,7.33,0.01,0.03,0.01,0.03,1.56,85.53,31.06,-0.02,0.69,14.04,229.18,35.76,03-Jul-2018 - 00:00,995.74,0.8,"Lalbagh, Lucknow - CPCB"
03-Jul-2018 - 00:00,29.44,51.52,39.95,6.6,0.28,0.18,0.0,0.05,0.08,81.98,48.94,-0.01,1.09,11.65,190.03,38.01,04-Jul-2018 - 00:00,995.21,0.8,"Lalbagh, Lucknow - CPCB"
04-Jul-2018 - 00:00,25.75,58.22,30.46,6.35,0.08,0.0,0.0,0.0,0.0,73.92,51.86,0.0,1.31,11.35,267.92,31.47,05-Jul-2018 - 00:00,994.78,0.77,"Lalbagh, Lucknow - CPCB"
05-Jul-2018 - 00:00,27.0,18.79,46.1,6.05,0.0,0.0,0.0,0.0,0.0,68.57,50.98,-0.04,1.06,11.6,250.38,33.54,06-Jul-2018 - 00:00,995.73,0.83,"Lalbagh, Lucknow - CPCB"
06-Jul-2018 - 00:00,32.0,14.03,65.48,6.22,0.0,0.0,0.0,0.0,0.0,66.89,43.49,-0.03,0.87,10.17,255.71,45.05,07-Jul-2018 - 00:00,995.69,0.84,"Lalbagh, Lucknow - CPCB"
07-Jul-2018 - 00:00,27.64,8.06,93.23,6.52,0.0,0.0,0.0,0.0,0.0,65.05,45.7,-0.04,0.84,9.86,162.63,37.41,08-Jul-2018 - 00:00,994.68,0.83,"Lalbagh, Lucknow - CPCB"
08-Jul-2018 - 00:00,24.9,1.86,55.56,6.08,0.0,0.0,0.0,0.0,0.0,82.27,4.84,-0.08,0.63,10.1,91.56,31.75,09-Jul-2018 - 00:00,994.29,0.77,"Lalbagh, Lucknow - CPCB"
09-Jul-2018 - 00:00,26.44,7.96,41.73,5.82,0.0,0.0,0.0,0.0,0.0,70.27,41.6,-0.05,1.35,10.61,67.92,33.9,10-Jul-2018 - 00:00,994.49,0.87,"Lalbagh, Lucknow - CPCB"
10-Jul-2018 - 00:00,22.41,17.58,34.56,5.88,0.0,0.0,0.0,0.0,0.0,76.0,39.93,-0.08,1.28,9.87,82.41,27.52,11-Jul-2018 - 00:00,995.24,0.76,"Lalbagh, Lucknow - CPCB"
11-Jul-2018 - 00:00,25.15,34.59,35.89,6.23,0.0,0.0,0.0,0.0,0.0,82.42,36.27,-0.07,0.82,10.84,130.86,31.18,12-Jul-2018 - 00:00,994.4,0.86,"Lalbagh, Lucknow - CPCB"
12-Jul-2018 - 00:00,25.67,5.82,26.0,5.69,0.0,0.0,0.0,0.0,0.0,96.79,26.03,-0.01,0.95,10.88,121.75,32.15,13-Jul-2018 - 00:00,994.39,0.81,"Lalbagh, Lucknow - CPCB"
13-Jul-2018 - 00:00,26.33,4.36,27.8,6.61,0.0,0.0,0.0,0.0,0.0,95.53,43.24,-0.02,0.85,11.62,130.44,32.28,14-Jul-2018 - 00:00,994.65,0.88,"Lalbagh, Lucknow - CPCB"
14-Jul-2018 - 00:00,24.49,3.23,28.4,6.49,0.0,0.0,0.0,0.0,0.0,98.89,21.49,-0.01,0.7,10.62,188.68,31.67,15-Jul-2018 - 00:00,994.52,1.15,"Lalbagh, Lucknow - CPCB"
15-Jul-2018 - 00:00,24.37,9.34,38.59,6.11,0.0,0.0,0.0,0.0,0.0,86.25,91.97,-0.03,0.88,10.28,91.61,30.59,16-Jul-2018 - 00:00,993.76,0.76,"Lalbagh, Lucknow - CPCB"
16-Jul-2018 - 00:00,24.97,12.4,32.13,6.03,0.0,0.0,0.0,0.0,0.0,77.88,51.46,-0.08,1.31,10.98,82.59,30.58,17-Jul-2018 - 00:00,994.46,0.8,"Lalbagh, Lucknow - CPCB"
17-Jul-2018 - 00:00,24.02,16.22,45.76,5.95,0.32,0.0,0.0,0.0,0.0,73.41,49.91,-0.05,1.47,10.49,74.12,29.72,18-Jul-2018 - 00:00,994.66,0.78,"Lalbagh, Lucknow - CPCB"
18-Jul-2018 - 00:00,23.85,29.66,74.12,5.48,0.39,0.18,0.11,0.1,0.15,77.45,40.14,-0.06,1.6,10.54,72.51,29.17,19-Jul-2018 - 00:00,995.26,0.8,"Lalbagh, Lucknow - CPCB"
19-Jul-2018 - 00:00,25.84,18.92,107.94,5.74,0.56,0.65,0.42,0.36,0.57,78.94,36.09,-0.07,1.03,10.86,98.54,32.46,20-Jul-2018 - 00:00,994.94,0.74,"Lalbagh, Lucknow - CPCB"
20-Jul-2018 - 00:00,26.39,9.78,40.29,6.93,0.56,0.65,0.42,0.36,0.57,84.99,95.29,-0.01,0.67,10.97,167.62,33.52,21-Jul-2018 - 00:00,994.16,0.83,"Lalbagh, Lucknow - CPCB"
21-Jul-2018 - 00:00,26.85,13.58,25.74,6.17,0.44,0.39,0.24,0.2,0.26,94.14,48.19,-0.03,0.66,11.64,148.31,33.22,22-Jul-2018 - 00:00,996.03,0.67,"Lalbagh, Lucknow - CPCB"
22-Jul-2018 - 00:00,24.63,3.64,30.57,5.83,0.35,0.19,0.1,0.09,0.03,81.98,64.61,-0.07,0.82,11.05,112.12,29.94,23-Jul-2018 - 00:00,995.57,0.62,"Lalbagh, Lucknow - CPCB"
23-Jul-2018 - 00:00,28.46,3.59,23.75,6.62,0.35,0.19,0.1,0.09,0.03,90.79,51.95,0.02,1.27,13.26,91.16,33.77,24-Jul-2018 - 00:00,994.79,0.83,"Lalbagh, Lucknow - CPCB"
24-Jul-2018 - 00:00,25.35,7.54,35.37,5.69,0.35,0.19,0.1,0.09,0.03,92.01,43.26,-0.03,1.15,12.0,83.26,29.98,25-Jul-2018 - 00:00,995.28,0.71,"Lalbagh, Lucknow - CPCB"
25-Jul-2018 - 00:00,25.89,10.11,24.01,5.77,0.35,0.19,0.1,0.09,0.03,97.05,66.09,-0.01,0.89,12.13,92.96,30.69,26-Jul-2018 - 00:00,995.03,0.74,"Lalbagh, Lucknow - CPCB"
26-Jul-2018 - 00:00,27.95,6.13,17.35,6.0,0.35,0.19,0.1,0.09,0.03,98.69,50.9,-0.05,0.87,14.96,141.68,30.2,27-Jul-2018 - 00:00,994.72,0.8,"Lalbagh, Lucknow - CPCB"
27-Jul-2018 - 00:00,32.62,2.61,54.8,5.88,0.35,0.19,0.1,0.09,0.03,95.25,62.37,0.01,0.71,19.22,203.36,32.48,28-Jul-2018 - 00:00,996.65,0.84,"Lalbagh, Lucknow - CPCB"
28-Jul-2018 - 00:00,37.72,2.19,48.8,6.87,0.35,0.19,0.1,0.09,0.03,98.78,42.27,0.02,0.54,23.8,212.33,35.2,29-Jul-2018 - 00:00,997.45,1.01,"Lalbagh, Lucknow - CPCB"
29-Jul-2018 - 00:00,30.65,6.24,37.7,6.14,0.35,0.19,0.1,0.09,0.03,98.14,47.49,-0.0,0.42,16.59,218.27,33.08,30-Jul-2018 - 00:00,996.52,0.72,"Lalbagh, Lucknow - CPCB"
30-Jul-2018 - 00:00,25.18,5.39,19.17,5.34,0.35,0.19,0.1,0.09,0.03,99.15,33.16,0.07,1.14,11.52,280.44,30.4,31-Jul-2018 - 00:00,994.91,0.59,"Lalbagh, Lucknow - CPCB"
31-Jul-2018 - 00:00,23.34,9.08,11.8,6.28,0.35,0.19,0.1,0.09,0.03,99.15,44.07,0.05,0.97,10.97,312.87,27.81,01-Aug-2018 - 00:00,994.61,0.54,"Lalbagh, Lucknow - CPCB"
01-Aug-2018 - 00:00,23.54,3.45,26.31,6.19,0.33,0.17,0.09,0.08,0.03,99.15,51.3,0.05,0.91,11.06,322.96,27.87,02-Aug-2018 - 00:00,995.67,0.6,"Lalbagh, Lucknow - CPCB"
02-Aug-2018 - 00:00,31.86,15.03,48.2,6.55,0.25,0.14,0.07,0.06,0.02,99.07,34.89,-0.01,0.45,17.12,223.19,34.31,03-Aug-2018 - 00:00,997.82,0.89,"Lalbagh, Lucknow - CPCB"
03-Aug-2018 - 00:00,38.43,2.55,66.83,6.83,0.35,0.19,0.1,0.09,0.03,99.13,32.74,0.0,0.61,21.25,241.01,40.4,04-Aug-2018 - 00:00,998.58,0.83,"Lalbagh, Lucknow - CPCB"
04-Aug-2018 - 00:00,29.55,4.84,75.59,6.43,0.34,0.19,0.1,0.09,0.03,95.76,69.39,-0.01,0.64,15.42,276.85,34.19,05-Aug-2018 - 00:00,998.14,0.66,"Lalbagh, Lucknow - CPCB"
05-Aug-2018 - 00:00,38.41,4.62,202.96,6.22,0.35,0.19,0.1,0.09,0.03,95.38,41.34,0.02,0.43,23.45,166.28,37.24,06-Aug-2018 - 00:00,999.23,1.11,"Lalbagh, Lucknow - CPCB"
06-Aug-2018 - 00:00,37.4,5.65,113.22,6.43,0.35,0.19,0.1,0.09,0.03,95.14,39.4,0.0,0.47,22.08,234.14,37.3,07-Aug-2018 - 00:00,997.49,0.94,"Lalbagh, Lucknow - CPCB"
07-Aug-2018 - 00:00,27.2,5.68,99.88,7.66,0.35,0.19,0.1,0.09,0.03,95.41,52.7,-0.01,0.69,12.56,149.87,32.63,08-Aug-2018 - 00:00,996.5,0.85,"Lalbagh, Lucknow - CPCB"
08-Aug-2018 - 00:00,24.9,6.14,36.61,7.0,0.35,0.19,0.1,0.09,0.03,86.29,55.88,-0.06,1.03,10.26,96.33,31.54,09-Aug-2018 - 00:00,997.67,0.55,"Lalbagh, Lucknow - CPCB"
09-Aug-2018 - 00:00,25.8,10.08,48.38,8.24,0.35,0.19,0.1,0.09,0.03,86.71,39.7,-0.06,0.98,10.28,93.63,33.28,10-Aug-2018 - 00:00,,0.64,"Lalbagh, Lucknow - CPCB"
10-Aug-2018 - 00:00,32.02,18.24,69.77,5.93,0.35,0.19,0.1,0.09,0.03,85.6,69.66,-0.03,0.41,12.19,144.23,42.04,11-Aug-2018 - 00:00,999.69,0.75,"Lalbagh, Lucknow - CPCB"
11-Aug-2018 - 00:00,30.37,20.12,50.36,5.56,0.43,0.18,0.07,0.07,0.09,98.93,74.21,-0.01,0.45,13.32,182.24,37.18,12-Aug-2018 - 00:00,996.49,0.69,"Lalbagh, Lucknow - CPCB"
12-Aug-2018 - 00:00,45.41,2.2,28.57,6.01,0.17,0.04,0.01,0.03,0.04,99.15,129.85,-0.0,0.37,16.11,186.91,61.26,13-Aug-2018 - 00:00,994.62,0.7,"Lalbagh, Lucknow - CPCB"
13-Aug-2018 - 00:00,40.04,2.42,31.0,5.19,0.16,0.04,0.02,0.03,0.04,96.85,157.94,0.0,0.49,19.39,171.46,46.17,14-Aug-2018 - 00:00,995.86,0.76,"Lalbagh, Lucknow - CPCB"
14-Aug-2018 - 00:00,35.85,5.7,36.59,4.88,0.18,0.07,0.02,0.03,0.05,92.85,123.69,-0.01,0.3,17.69,222.46,40.96,15-Aug-2018 - 00:00,996.44,0.82,"Lalbagh, Lucknow - CPCB"
15-Aug-2018 - 00:00,30.4,4.45,44.08,5.61,0.2,0.06,0.02,0.03,0.05,98.59,46.62,-0.01,0.62,14.46,161.59,35.57,16-Aug-2018 - 00:00,998.48,0.73,"Lalbagh, Lucknow - CPCB"
16-Aug-2018 - 00:00,24.38,5.57,20.44,6.24,0.24,0.06,0.02,0.03,0.04,88.54,99.34,-0.07,20.85,11.01,154.11,29.46,17-Aug-2018 - 00:00,998.77,0.67,"Lalbagh, Lucknow - CPCB"
