from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
12-Aug-2018 - 00:00,30.83,974.84,78.03,20.49,72.66,84.95,235.43,1.48,,0.85,46.26,,30.77,30.94,10.68,25.16,15.99,3.16,0.57,13-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Aug-2018 - 00:00,30.94,976.23,89.34,27.36,72.41,125.62,207.7,1.2,,1.26,46.13,,27.16,34.52,12.14,28.28,28.3,5.64,0.7,14-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Aug-2018 - 00:00,31.66,977.28,106.69,39.18,73.75,137.93,189.74,0.82,,1.52,51.22,,26.36,43.46,12.12,33.0,31.72,4.09,0.92,15-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Aug-2018 - 00:00,31.41,978.96,100.51,35.7,72.86,144.42,176.02,1.59,,1.06,46.51,,32.33,29.27,5.45,20.0,35.96,3.31,0.73,16-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Aug-2018 - 00:00,30.56,980.54,74.4,29.28,80.02,115.29,160.01,1.06,,2.01,54.18,,28.87,39.71,28.5,44.37,28.96,7.1,1.16,17-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Aug-2018 - 00:00,32.25,978.29,70.73,26.08,75.15,151.84,100.5,1.73,,1.98,48.35,,26.52,32.88,17.45,31.73,43.25,4.48,0.88,18-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Aug-2018 - 00:00,31.7,977.84,63.93,23.1,75.04,120.92,124.47,1.44,,1.54,53.16,,33.36,35.79,9.98,27.18,23.32,2.73,0.81,19-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Aug-2018 - 00:00,29.98,977.66,83.58,36.44,86.41,72.67,190.89,0.89,,2.42,63.39,,34.99,49.67,29.34,50.51,33.77,5.16,1.26,20-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Aug-2018 - 00:00,31.34,979.17,106.85,52.43,78.56,122.05,155.78,1.2,,2.47,59.11,,36.44,46.74,23.44,43.96,44.13,2.89,1.21,21-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Aug-2018 - 00:00,31.88,979.11,58.09,20.72,72.99,159.76,112.08,1.74,,1.29,49.57,,36.22,39.41,15.34,33.45,21.1,6.68,0.89,22-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Aug-2018 - 00:00,31.63,978.55,58.34,21.95,75.81,141.05,137.56,1.62,,1.56,48.13,,27.37,33.64,11.35,27.15,20.2,6.59,0.89,23-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Aug-2018 - 00:00,29.72,979.12,56.04,22.21,83.46,122.14,245.46,1.94,,1.25,45.53,,25.96,25.62,7.8,19.98,14.64,10.96,0.76,24-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Aug-2018 - 00:00,30.52,978.32,77.67,21.21,76.92,109.29,269.97,1.96,,0.94,41.47,,25.57,29.47,14.41,27.42,15.74,10.27,0.78,25-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Aug-2018 - 00:00,30.47,977.61,64.88,21.08,72.69,127.27,272.33,2.62,,0.77,39.68,,22.67,24.94,8.11,19.88,19.09,10.1,0.64,26-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Aug-2018 - 00:00,30.84,977.35,58.29,21.88,71.01,163.74,246.19,2.12,,0.68,40.34,,20.79,20.94,3.37,13.89,30.79,10.4,0.61,27-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Aug-2018 - 00:00,29.57,979.34,42.17,18.46,82.71,94.36,141.15,1.09,,1.41,49.93,,18.49,32.95,12.74,27.97,28.56,11.14,0.94,28-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Aug-2018 - 00:00,28.79,980.34,48.5,21.23,90.05,103.39,135.98,1.36,,1.66,50.2,,17.98,33.31,15.41,30.32,16.74,10.04,1.0,29-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Aug-2018 - 00:00,28.87,981.44,46.0,17.17,88.91,89.69,138.15,1.33,,1.39,55.74,,27.89,35.9,15.51,31.74,13.59,10.02,0.91,30-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Aug-2018 - 00:00,30.79,979.13,83.96,31.98,80.88,170.49,249.78,1.39,,2.02,59.59,,24.51,37.32,18.0,34.53,34.88,10.42,1.03,31-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Aug-2018 - 00:00,31.12,979.31,134.96,48.47,76.39,130.62,245.11,1.86,,1.41,48.1,,24.21,34.01,9.02,25.42,23.89,10.5,0.82,01-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Sep-2018 - 00:00,28.16,981.53,94.95,38.55,89.46,47.57,193.76,1.37,,3.09,57.35,,23.94,44.6,24.11,43.34,10.97,10.12,1.22,02-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Sep-2018 - 00:00,27.13,981.23,57.2,26.58,91.74,61.02,227.29,1.19,,2.42,57.88,,24.57,32.71,16.99,31.24,18.42,9.71,0.98,03-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Sep-2018 - 00:00,26.89,981.54,59.62,26.8,94.36,46.31,193.06,0.71,,2.38,56.79,,23.11,42.57,26.09,43.92,31.06,11.39,1.32,04-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Sep-2018 - 00:00,27.21,982.11,75.96,32.04,92.66,52.35,251.67,0.9,,3.23,60.63,,22.0,58.52,46.04,68.67,12.73,10.19,1.7,05-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Sep-2018 - 00:00,28.06,981.23,78.42,29.21,86.07,122.59,277.78,1.6,,1.65,46.03,,23.21,39.07,26.68,42.5,22.62,10.67,1.06,06-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Sep-2018 - 00:00,28.73,980.43,99.21,37.54,81.41,162.63,265.41,1.79,,1.95,44.64,,20.16,34.0,23.9,37.53,38.57,11.7,0.99,07-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Sep-2018 - 00:00,28.5,982.52,70.25,26.33,86.4,112.15,213.26,0.86,,2.55,53.57,,21.38,55.95,42.86,64.69,24.69,14.0,1.35,08-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Sep-2018 - 00:00,28.54,982.9,57.67,23.67,84.39,106.09,123.9,1.93,,1.94,48.37,,21.33,34.58,19.68,34.45,15.2,12.76,0.88,09-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Sep-2018 - 00:00,28.42,984.4,36.38,15.62,79.91,143.48,122.63,2.38,,0.83,41.08,,22.11,24.55,7.71,19.33,18.79,12.7,0.66,10-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Sep-2018 - 00:00,29.07,985.89,47.29,21.46,80.22,105.23,175.65,0.96,,0.94,41.1,,20.83,34.07,10.61,26.79,20.51,16.85,0.82,11-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Sep-2018 - 00:00,30.14,984.94,50.65,22.72,77.72,161.49,270.58,1.84,,0.9,39.21,,17.45,30.23,12.44,26.23,26.17,14.46,0.77,12-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Sep-2018 - 00:00,30.33,982.16,66.8,25.84,72.75,162.0,276.04,2.8,,0.69,33.35,,16.25,28.18,8.59,22.0,19.51,13.14,0.65,13-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Sep-2018 - 00:00,30.28,982.01,95.51,20.92,65.92,174.42,274.22,2.68,,0.61,25.97,,17.48,27.79,13.53,25.83,20.64,13.96,0.63,14-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Sep-2018 - 00:00,29.72,984.38,103.84,20.27,67.36,171.29,288.22,2.14,,1.15,37.53,,17.63,31.87,19.32,32.7,25.99,12.8,0.74,15-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Sep-2018 - 00:00,29.76,986.13,107.59,25.35,64.67,164.71,293.67,2.02,,1.69,43.39,,16.52,32.79,33.0,44.33,28.35,12.76,0.9,16-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Sep-2018 - 00:00,29.71,984.74,114.0,32.2,68.95,166.93,291.91,2.07,,1.69,42.09,,20.34,34.2,22.73,36.7,23.72,12.84,0.81,17-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Sep-2018 - 00:00,29.86,983.72,135.71,44.95,70.05,154.02,294.89,2.01,,1.73,40.71,,22.89,36.76,15.96,32.58,37.54,12.64,0.87,18-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Sep-2018 - 00:00,30.1,983.73,148.31,44.25,64.83,167.82,295.89,1.81,,1.6,39.65,,22.61,39.21,10.22,29.2,41.13,14.6,0.84,19-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Sep-2018 - 00:00,29.44,983.7,149.14,50.38,66.78,164.95,307.5,1.75,,2.1,45.48,,23.95,45.94,34.72,52.83,41.44,15.75,1.14,20-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Sep-2018 - 00:00,30.36,984.19,165.43,67.32,64.58,147.57,186.78,0.97,,2.73,47.83,,27.52,57.6,36.85,60.69,47.97,20.0,1.42,21-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Sep-2018 - 00:00,29.04,986.87,81.99,30.76,69.58,131.24,109.36,2.54,,1.36,37.33,,26.51,27.8,6.01,19.68,22.17,14.6,0.74,22-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Sep-2018 - 00:00,25.9,987.07,30.17,15.52,89.25,44.79,93.8,2.23,,0.86,37.71,,22.84,22.03,5.76,16.42,15.29,13.19,0.7,23-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Sep-2018 - 00:00,27.17,986.78,40.1,19.6,86.68,78.56,106.09,3.23,,0.75,32.32,,20.03,17.22,3.85,12.3,23.24,12.26,0.66,24-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Sep-2018 - 00:00,25.51,984.81,24.3,15.19,92.89,43.96,175.19,2.17,,1.63,27.45,,18.95,28.66,10.01,23.42,10.64,12.62,0.74,25-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Sep-2018 - 00:00,24.12,986.02,39.28,17.36,92.51,51.14,293.07,2.17,,2.47,33.86,,17.65,23.94,12.87,23.24,19.03,12.17,0.78,26-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Sep-2018 - 00:00,26.98,985.76,74.25,29.16,80.51,174.29,294.66,1.53,,3.14,40.93,,16.62,30.14,35.64,45.13,30.67,12.82,1.18,27-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Sep-2018 - 00:00,27.76,986.51,131.52,62.27,79.0,159.54,303.32,1.05,,6.2,66.32,,18.01,35.87,115.02,112.87,38.41,14.87,2.38,28-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Sep-2018 - 00:00,28.81,987.22,161.22,66.86,71.87,166.46,282.7,0.94,,6.43,65.52,,20.81,41.31,157.06,150.0,31.89,16.27,2.89,29-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Sep-2018 - 00:00,29.13,987.9,190.9,52.52,67.43,159.56,272.86,1.26,,4.85,60.74,,21.31,42.22,94.1,99.24,34.36,11.46,2.14,30-Sep-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Sep-2018 - 00:00,28.21,987.3,120.07,30.21,69.07,163.06,298.99,1.95,,2.76,32.9,,25.21,31.94,17.29,31.13,39.73,13.26,1.07,01-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Oct-2018 - 00:00,28.32,987.07,166.23,45.21,68.13,162.08,298.74,1.43,,3.95,44.78,,29.64,42.28,45.54,59.63,43.36,14.54,1.53,02-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Oct-2018 - 00:00,28.88,987.71,163.59,64.25,65.0,163.32,295.74,1.23,,3.94,49.14,,32.63,37.96,36.93,49.96,37.12,11.98,1.25,03-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Oct-2018 - 00:00,29.23,987.07,138.76,44.23,56.8,159.59,270.47,1.04,,3.62,45.64,,25.12,59.41,59.88,80.56,35.66,16.54,1.4,04-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Oct-2018 - 00:00,28.91,988.66,184.52,79.38,61.65,138.66,231.45,0.84,,5.56,57.89,,32.94,74.85,95.96,117.68,41.44,20.68,1.8,05-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Oct-2018 - 00:00,28.41,989.7,201.27,67.69,66.27,135.51,261.89,0.64,,7.07,71.24,,37.85,83.86,155.68,171.32,36.57,21.46,2.48,06-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Oct-2018 - 00:00,27.31,989.23,146.12,42.39,62.13,153.1,307.33,1.32,,6.27,61.76,,31.43,62.15,79.08,97.51,36.91,15.08,1.48,07-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Oct-2018 - 00:00,27.05,988.74,172.64,47.95,61.19,148.39,299.46,1.03,,5.43,60.01,,29.39,64.72,81.18,100.6,43.67,17.34,1.52,08-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Oct-2018 - 00:00,27.73,984.94,210.81,63.09,59.89,135.01,191.07,0.76,,5.88,65.73,,34.36,87.01,79.34,110.98,57.03,21.57,1.9,09-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Oct-2018 - 00:00,30.01,982.74,219.26,70.83,49.76,153.91,118.95,1.35,,5.08,47.96,,37.05,84.09,66.03,99.94,35.19,37.21,1.88,10-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Oct-2018 - 00:00,29.09,986.54,244.51,81.2,61.61,121.32,108.64,1.64,,6.61,96.08,,46.33,86.77,78.19,109.92,26.2,19.61,1.94,11-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Oct-2018 - 00:00,26.67,988.92,175.3,59.58,60.78,131.89,114.62,1.74,,3.57,98.22,,40.19,49.26,21.02,43.33,28.32,15.42,1.1,12-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Oct-2018 - 00:00,25.08,990.75,149.49,67.99,55.83,149.19,241.35,0.69,,3.76,99.95,,28.06,62.06,62.16,83.64,44.53,19.85,1.29,13-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Oct-2018 - 00:00,24.51,990.87,191.78,61.92,60.98,145.86,300.6,1.33,,6.59,108.18,,37.5,71.16,115.42,131.96,38.64,20.7,1.94,14-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Oct-2018 - 00:00,24.78,990.0,161.22,47.11,55.98,154.05,292.67,1.65,,4.71,90.73,,32.96,62.64,55.55,78.47,38.82,15.08,1.5,15-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Oct-2018 - 00:00,25.38,990.45,207.73,59.61,59.36,141.89,261.94,0.83,,6.63,104.96,,35.59,78.82,126.11,158.08,45.84,19.36,2.41,16-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Oct-2018 - 00:00,26.79,990.13,251.4,80.47,60.54,115.3,181.21,0.64,,8.76,105.25,,44.07,83.74,196.81,205.01,50.49,17.53,3.23,17-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Oct-2018 - 00:00,26.76,988.6,305.99,119.09,56.44,140.93,223.32,0.89,,6.58,105.86,,48.49,71.8,77.92,99.31,41.53,19.35,2.66,18-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Oct-2018 - 00:00,26.14,988.24,330.6,119.48,63.68,117.26,157.59,0.92,,8.84,119.0,,51.52,84.57,143.27,176.48,26.14,21.58,3.61,19-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Oct-2018 - 00:00,25.3,989.69,325.88,130.93,61.2,109.0,268.84,0.85,,6.71,105.95,,48.38,80.61,74.86,103.77,30.2,18.48,2.12,20-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Oct-2018 - 00:00,25.07,991.97,318.05,149.11,56.11,123.37,286.42,0.69,,6.5,103.81,,44.17,76.39,87.66,112.08,38.36,17.43,2.08,21-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Oct-2018 - 00:00,24.2,992.66,301.2,129.46,54.86,118.83,279.36,0.84,,5.78,97.83,,42.66,72.77,101.15,121.16,25.57,20.65,2.08,22-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Oct-2018 - 00:00,23.44,991.55,282.69,118.33,53.05,125.42,299.01,1.58,,4.81,72.83,,37.46,69.08,91.72,111.49,23.58,15.67,1.9,23-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Oct-2018 - 00:00,23.79,991.23,287.56,94.59,51.53,121.94,300.18,1.07,,4.99,83.73,,32.47,85.7,92.01,116.48,32.38,21.56,2.49,24-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Oct-2018 - 00:00,24.18,991.32,388.43,161.96,59.76,102.33,193.15,0.51,,8.57,105.93,,46.54,112.41,154.35,215.69,36.92,24.61,3.87,25-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Oct-2018 - 00:00,23.69,992.8,366.17,136.84,64.36,103.61,183.81,0.67,,7.9,95.96,,51.21,101.79,180.37,204.92,76.06,26.45,4.03,26-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Oct-2018 - 00:00,23.17,994.57,344.62,153.64,64.79,98.15,270.7,0.59,,9.21,105.13,,49.65,94.76,238.11,259.44,39.9,20.62,3.87,27-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Oct-2018 - 00:00,23.06,994.76,408.52,195.42,70.83,84.59,282.89,0.55,,8.77,95.84,,55.4,125.26,150.58,284.48,33.39,21.83,4.35,28-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Oct-2018 - 00:00,23.12,994.3,376.5,196.21,67.54,104.39,302.66,1.0,,7.54,90.98,,52.71,80.75,199.24,205.47,2.72,20.08,3.51,29-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Oct-2018 - 00:00,23.1,993.53,403.92,207.79,68.33,96.82,305.06,0.94,,7.31,88.09,,51.33,90.57,182.09,215.12,,17.55,3.61,30-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Oct-2018 - 00:00,23.2,993.41,447.54,235.58,70.77,82.99,285.08,0.62,,8.37,85.64,,54.36,122.47,239.5,256.67,24.69,24.08,4.78,31-Oct-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Oct-2018 - 00:00,22.99,993.97,403.0,204.72,74.56,90.31,256.39,0.53,,8.26,94.67,,54.77,108.07,127.47,165.16,32.18,25.68,4.93,01-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Nov-2018 - 00:00,23.07,992.92,399.09,207.03,72.89,87.18,184.73,0.73,,7.77,88.06,,57.36,118.08,192.49,259.28,27.94,28.48,2.68,02-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Nov-2018 - 00:00,24.09,991.47,409.54,212.85,64.05,82.49,111.95,1.03,,6.54,64.97,,63.98,109.91,131.85,165.97,6.37,27.17,1.6,03-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Nov-2018 - 00:00,24.8,990.34,309.0,154.33,59.21,74.95,97.3,1.94,,3.76,24.25,,59.75,76.86,16.53,54.37,32.08,25.23,1.44,04-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Nov-2018 - 00:00,23.23,991.83,186.17,95.53,56.92,94.45,188.49,1.9,,2.28,17.38,,38.49,54.24,5.98,33.71,56.31,28.24,0.97,05-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Nov-2018 - 00:00,20.05,992.19,515.08,380.3,68.71,75.03,294.51,1.74,,5.08,28.09,,55.24,81.16,30.03,67.67,33.62,25.54,1.93,06-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Nov-2018 - 00:00,20.9,992.5,323.67,178.34,45.3,98.05,295.65,2.21,,3.58,23.68,,32.05,67.67,27.29,58.25,46.88,27.26,1.36,07-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Nov-2018 - 00:00,19.22,993.11,355.14,196.4,46.73,97.36,288.77,1.34,,3.9,23.93,,28.84,74.68,69.28,104.39,54.15,31.7,1.81,08-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Nov-2018 - 00:00,17.59,994.18,943.75,806.44,67.6,111.66,295.16,0.56,,6.99,39.93,,42.9,88.3,190.7,202.49,12.98,25.53,2.74,09-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Nov-2018 - 00:00,22.06,990.89,368.78,202.78,61.61,72.59,284.94,0.63,,6.33,43.75,,45.74,114.97,147.4,182.15,57.99,34.04,3.21,10-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Nov-2018 - 00:00,19.49,992.73,466.99,287.72,78.11,68.67,229.57,0.63,,8.54,72.59,,61.97,106.68,244.3,269.71,25.95,30.59,4.56,11-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Nov-2018 - 00:00,20.92,993.08,381.85,213.79,72.53,81.73,248.31,0.45,,7.41,56.85,,56.87,78.96,256.01,261.37,42.32,25.96,4.77,12-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Nov-2018 - 00:00,21.07,991.16,477.06,256.17,76.1,76.22,219.14,0.52,,8.14,60.77,,64.75,99.56,199.64,229.95,36.29,28.16,4.84,13-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Nov-2018 - 00:00,21.64,988.98,436.27,242.84,72.19,48.11,151.74,0.9,,7.31,60.98,,70.3,97.83,152.33,176.35,17.25,24.16,3.78,14-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Nov-2018 - 00:00,22.07,989.86,224.98,127.03,74.88,73.05,140.19,1.13,,4.58,40.07,,61.91,73.05,70.92,96.63,20.82,22.76,1.85,15-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Nov-2018 - 00:00,21.26,993.1,188.78,98.08,73.6,82.81,220.36,1.13,,3.92,35.71,,55.16,58.78,39.66,63.58,30.23,21.55,1.43,16-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Nov-2018 - 00:00,20.13,992.08,223.47,135.38,57.67,88.91,290.71,2.48,,2.64,19.59,,38.64,52.98,9.12,35.61,42.3,22.38,1.31,17-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Nov-2018 - 00:00,19.09,990.53,261.47,133.41,63.18,84.17,298.6,1.51,,3.65,25.82,,35.71,66.59,89.03,108.29,38.94,26.72,2.82,18-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Nov-2018 - 00:00,20.22,991.82,316.83,164.52,67.12,83.15,169.7,0.97,,5.09,41.0,,46.22,83.11,146.54,163.73,31.9,26.1,2.49,19-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Nov-2018 - 00:00,21.95,994.16,348.43,192.9,59.44,75.42,107.97,1.68,,4.04,26.68,,58.0,81.84,26.34,64.98,34.88,24.27,1.95,20-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Nov-2018 - 00:00,21.07,994.26,375.54,212.89,70.03,77.56,228.81,1.03,,5.31,43.53,,62.29,87.21,85.69,116.24,42.21,29.25,2.57,21-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Nov-2018 - 00:00,19.58,994.49,363.72,210.95,66.98,75.7,290.66,1.19,,4.8,35.0,,52.63,72.67,110.1,128.4,39.17,24.8,1.95,22-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Nov-2018 - 00:00,19.66,995.22,300.85,129.97,59.71,80.04,284.58,0.71,,5.11,42.79,,36.59,98.41,141.84,172.91,24.52,29.79,3.74,23-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Nov-2018 - 00:00,19.82,996.57,336.46,178.11,56.87,71.2,300.81,1.8,,6.51,53.24,,44.02,69.93,97.48,114.89,35.5,19.24,2.01,24-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Nov-2018 - 00:00,19.57,994.97,234.82,99.1,51.4,75.52,293.85,2.25,,3.28,45.6,,31.94,50.71,35.61,56.0,35.99,22.89,0.0,25-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Nov-2018 - 00:00,18.57,994.7,271.81,122.66,62.5,74.43,302.48,1.12,,4.77,56.69,,37.83,67.0,97.42,115.04,33.23,24.71,0.0,26-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Nov-2018 - 00:00,18.57,993.85,379.31,206.41,72.36,70.81,298.04,0.89,,7.17,67.94,,49.25,100.49,173.72,165.32,32.55,24.47,1.93,27-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Nov-2018 - 00:00,19.5,995.73,352.01,187.22,72.2,64.34,194.41,0.66,,9.82,84.81,,52.05,105.26,128.56,224.1,14.99,17.43,4.27,28-Nov-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
