from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
11-Apr-2018 - 00:00,110.83,,,34.23,0.5,,8.67,20.24,29.53,,2.45,0.0,,,10.06,-1.24,,,,,12-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
12-Apr-2018 - 00:00,126.36,,275.78,34.52,174.6,11.07,8.43,19.58,45.0,,6.45,0.3,,41.54,9.96,-0.37,,,,,13-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
13-Apr-2018 - 00:00,223.01,,249.82,35.21,191.38,10.44,8.21,18.94,35.17,,12.1,0.56,,61.04,9.97,2.99,,,,,14-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
14-Apr-2018 - 00:00,287.69,,252.84,35.69,173.76,9.81,7.95,18.3,30.03,,17.63,0.63,,80.6,10.26,7.82,,,,,15-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
15-Apr-2018 - 00:00,305.38,,248.17,35.98,161.27,9.84,7.76,18.22,44.83,,16.78,0.41,,92.44,10.09,7.83,,,,,16-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
16-Apr-2018 - 00:00,376.44,,127.22,36.65,56.75,10.29,8.13,18.82,22.32,,19.87,0.42,,119.55,10.0,6.75,,,,,17-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
17-Apr-2018 - 00:00,416.02,,220.89,37.91,6.32,11.76,8.08,19.93,5.74,,11.32,0.37,,182.6,9.51,5.08,,,,,18-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
18-Apr-2018 - 00:00,329.0,,285.35,34.96,171.12,11.55,8.45,19.96,39.35,,3.63,1.1,,63.33,9.76,9.34,,,,,19-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
19-Apr-2018 - 00:00,388.89,,261.74,35.35,165.07,14.0,8.6,21.99,37.05,,,0.86,,79.71,8.45,10.28,,,,,20-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
20-Apr-2018 - 00:00,497.75,,200.4,35.27,145.19,12.44,8.37,20.62,40.12,,,1.27,,82.46,9.56,6.69,,,,,21-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
21-Apr-2018 - 00:00,591.61,,281.77,35.83,147.7,12.4,8.54,20.68,50.01,,,0.92,,100.42,9.43,5.52,,,,,22-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
22-Apr-2018 - 00:00,236.32,,291.65,34.32,189.7,12.42,8.59,20.72,62.64,,,1.05,,44.62,9.38,21.3,,,,,23-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
23-Apr-2018 - 00:00,291.42,,285.54,34.72,201.34,13.42,8.64,21.55,51.19,,,1.05,,59.04,8.74,8.2,,,,,24-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
24-Apr-2018 - 00:00,339.81,,277.99,35.53,195.11,16.27,8.68,23.85,50.53,,5.05,1.07,,85.25,7.33,12.17,,,,,25-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
25-Apr-2018 - 00:00,424.06,,253.15,35.87,184.65,21.19,8.57,27.73,32.74,,10.3,0.75,,101.46,5.99,9.04,,,,,26-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
