from date,SR,BP,PM10,Temp,WD,VWS,WS,RH,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,station
30-Oct-2018 - 00:00,,,194.99,,,-10.0,,,0.0,19.3,6.98,6.88,6.65,0.0,,31-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Oct-2018 - 00:00,,,233.21,,,-10.0,,,0.0,26.83,7.44,7.48,6.61,0.0,,01-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Nov-2018 - 00:00,,,272.77,,,-10.0,,,0.0,16.69,7.25,7.45,6.65,0.0,,02-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Nov-2018 - 00:00,,,299.78,,,-10.0,,,0.0,31.86,7.23,7.75,6.64,0.0,,03-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Nov-2018 - 00:00,,,301.74,,,-10.0,,,0.0,10.63,7.0,7.88,6.7,0.0,,04-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Nov-2018 - 00:00,,,343.66,,,-10.0,,,0.0,13.3,7.25,8.05,6.73,0.0,,05-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Nov-2018 - 00:00,165.27,,307.4,30.89,,-6.31,,68.17,0.0,24.79,6.77,7.46,6.71,0.0,,06-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Nov-2018 - 00:00,185.72,,320.98,28.4,,-2.18,,68.05,0.0,18.97,7.48,7.67,6.66,0.0,,07-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Nov-2018 - 00:00,170.53,,416.4,26.19,,-2.26,,49.71,0.0,70.84,7.02,7.25,6.72,0.0,,08-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Nov-2018 - 00:00,181.05,,459.7,24.38,,-2.22,,62.82,0.0,87.04,7.51,6.95,6.65,0.0,,09-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Nov-2018 - 00:00,191.25,,323.57,23.6,,-2.12,,61.49,0.0,73.64,7.48,9.88,6.79,0.0,,10-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Nov-2018 - 00:00,164.16,,363.91,23.78,,-2.12,,66.77,0.0,26.63,7.07,7.42,6.71,0.0,,11-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Nov-2018 - 00:00,176.05,,337.12,24.8,,-2.17,,68.42,0.0,27.42,7.16,7.22,6.67,0.0,,12-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Nov-2018 - 00:00,167.24,,397.85,24.25,,-2.4,,72.28,0.0,30.17,7.22,7.18,6.63,0.0,,13-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Nov-2018 - 00:00,164.87,,389.39,24.1,,-2.23,,72.63,0.0,42.95,6.57,6.68,6.63,0.0,,14-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Nov-2018 - 00:00,172.47,,494.82,24.91,,-2.24,,68.21,0.0,15.66,7.25,7.48,6.65,0.0,,15-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Nov-2018 - 00:00,234.5,,435.16,26.36,,-2.14,,64.26,0.0,19.28,6.69,6.78,6.59,0.0,,16-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Nov-2018 - 00:00,,,,,,,,,,,,,,,,17-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Nov-2018 - 00:00,,,,,,,,,,,,,,,,18-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Nov-2018 - 00:00,,,,,,,,,,,,,,,,19-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Nov-2018 - 00:00,,,,,,,,,,,,,,,,20-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Nov-2018 - 00:00,27.52,,736.65,25.12,,-2.37,,56.83,0.0,7.69,7.78,7.72,6.78,0.0,,21-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Nov-2018 - 00:00,145.41,,458.74,24.11,,-2.39,,61.84,0.0,16.57,7.56,7.16,6.59,0.0,,22-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Nov-2018 - 00:00,154.01,,329.78,22.88,,-2.41,,59.14,0.0,19.99,7.12,7.09,6.62,0.0,,23-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Nov-2018 - 00:00,162.37,,327.96,21.54,,-2.39,,62.71,0.0,21.38,7.01,6.93,6.66,0.0,,24-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Nov-2018 - 00:00,177.37,,324.85,23.65,,-2.27,,53.64,0.0,24.86,7.14,6.88,6.58,0.0,78.94,25-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Nov-2018 - 00:00,156.15,,405.77,22.18,,-2.32,,61.66,0.0,18.92,7.48,6.99,6.61,0.0,73.18,26-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Nov-2018 - 00:00,117.92,,455.85,21.96,,-2.35,,71.5,0.0,12.41,7.57,7.46,6.68,0.0,74.14,27-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Nov-2018 - 00:00,118.65,,451.68,21.92,,-2.26,,80.37,0.0,14.93,7.96,8.02,6.7,0.0,81.49,28-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Nov-2018 - 00:00,124.24,,374.41,24.67,,-2.26,,70.23,0.0,32.43,7.83,7.68,6.58,0.0,78.86,29-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Nov-2018 - 00:00,145.88,,372.42,24.4,,-2.21,,68.74,0.0,9.19,7.8,7.38,6.62,0.0,79.64,30-Nov-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Nov-2018 - 00:00,107.81,,351.87,24.2,,-2.32,,69.44,0.0,30.11,7.63,7.12,6.69,0.0,78.24,01-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Dec-2018 - 00:00,127.93,,401.4,22.31,,-2.23,,73.46,0.0,22.78,7.44,7.39,6.64,0.0,57.42,02-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Dec-2018 - 00:00,136.63,,378.0,22.17,,-2.31,,70.13,0.0,15.96,7.74,7.29,6.56,0.0,56.21,03-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Dec-2018 - 00:00,165.74,,343.69,21.71,,-1.62,,70.38,0.0,22.77,7.16,7.04,6.68,0.0,61.97,04-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Dec-2018 - 00:00,469.73,,410.45,28.12,,-0.26,,33.97,0.0,98.28,6.87,7.15,6.66,0.0,71.8,05-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Dec-2018 - 00:00,177.54,,639.27,25.49,,-0.4,,39.57,0.0,47.56,6.89,7.3,6.74,0.0,20.33,06-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Dec-2018 - 00:00,324.13,,405.92,23.26,,-0.28,,47.32,0.0,35.61,7.22,7.21,6.74,0.0,39.02,07-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Dec-2018 - 00:00,332.11,,336.43,22.88,,-0.39,,48.53,0.0,26.77,7.14,6.48,6.67,0.0,108.81,08-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Dec-2018 - 00:00,,,,,,,,,,,,,,,,09-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Dec-2018 - 00:00,,,,,,,,,,,,,,,,10-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Dec-2018 - 00:00,434.04,,593.11,24.76,,-9.1,,44.41,0.0,14.8,8.06,7.58,6.74,0.0,94.91,11-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Dec-2018 - 00:00,,,516.6,,,-10.0,,,0.0,9.46,7.91,7.43,6.7,0.0,101.78,12-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Dec-2018 - 00:00,,,499.83,,,,,,,10.01,7.86,7.43,6.61,,84.54,13-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Dec-2018 - 00:00,,,497.73,,,,,,,7.94,7.86,7.29,6.69,,99.57,14-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Dec-2018 - 00:00,,,471.82,,,,,,,15.62,7.67,7.18,6.67,,99.4,15-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Dec-2018 - 00:00,,,295.2,,,,,,,19.7,7.28,7.0,6.62,,66.55,16-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Dec-2018 - 00:00,93.1,,352.4,24.18,,-2.38,,43.03,,14.77,7.32,7.12,6.68,,78.4,17-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Dec-2018 - 00:00,53.62,,254.0,18.31,,-2.34,,90.57,,9.91,7.39,6.77,6.61,,49.23,18-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Dec-2018 - 00:00,32.57,,115.29,17.25,,-2.25,,99.49,,7.49,7.58,6.81,6.63,,46.48,19-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Dec-2018 - 00:00,154.99,,271.18,17.34,,-2.0,,89.34,,7.97,7.74,7.44,6.61,,47.37,20-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Dec-2018 - 00:00,180.57,,489.94,18.43,,-1.87,,80.29,,13.99,7.75,7.57,6.66,,62.33,21-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Dec-2018 - 00:00,181.14,,374.36,17.54,,-1.81,,74.3,,16.82,7.48,7.03,6.68,,52.35,22-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Dec-2018 - 00:00,8.55,,464.4,13.24,,-1.85,,98.5,,8.91,7.38,6.92,6.88,,24.9,23-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Dec-2018 - 00:00,,,,,,,,,,,,,,,,24-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Dec-2018 - 00:00,526.43,,255.5,25.05,,-1.92,,28.42,,37.44,7.11,6.51,6.68,,94.95,25-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Dec-2018 - 00:00,,,,,,,,,,,,,,,,26-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Dec-2018 - 00:00,244.48,,501.98,20.65,,-2.03,,35.69,,83.41,7.77,7.77,6.73,,89.86,27-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Dec-2018 - 00:00,169.28,,369.99,17.7,,-1.86,,54.87,,49.85,7.7,7.14,6.63,,71.83,28-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Dec-2018 - 00:00,218.76,,289.32,14.88,,-1.66,,56.09,,19.93,7.1,6.97,6.68,,49.53,29-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Dec-2018 - 00:00,269.86,,362.84,19.47,,-1.95,,36.7,,21.35,7.85,7.23,6.68,,116.21,30-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Dec-2018 - 00:00,184.33,,362.71,16.67,,-1.59,,55.7,,16.38,7.36,7.01,6.71,,70.47,31-Dec-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Dec-2018 - 00:00,9.6,,372.6,13.17,,-1.85,,64.64,,21.47,7.38,6.09,6.8,,17.14,01-Jan-2019 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
