from date,PM10,PM2.5,WD,WS,RH,Temp,SO2,NOx,NH3,CO,Ozone,NO,NO2,to date,station
27-Jun-2018 - 00:00,68.52,16.94,224.18,1.27,77.27,24.62,2.56,26.07,3.7,0.22,14.53,9.58,16.46,28-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Jun-2018 - 00:00,46.46,15.79,220.99,1.11,83.62,23.54,2.59,27.39,3.37,0.15,13.7,8.78,18.62,29-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Jun-2018 - 00:00,54.51,16.06,221.74,1.27,80.91,24.1,2.51,24.8,3.62,0.11,15.3,7.75,17.02,30-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Jun-2018 - 00:00,49.6,14.1,222.92,1.17,79.11,24.02,2.4,29.59,4.33,0.13,17.64,9.08,20.68,01-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Jul-2018 - 00:00,54.6,8.0,213.38,1.0,89.35,22.19,2.34,20.23,4.81,,14.14,4.66,14.51,02-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Jul-2018 - 00:00,,,,,,,,,,,,,,03-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Jul-2018 - 00:00,98.95,17.57,224.47,1.09,73.84,25.24,3.38,39.44,3.3,0.12,8.99,20.76,18.68,04-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Jul-2018 - 00:00,44.15,11.59,221.21,1.17,84.82,23.53,3.65,32.1,2.33,0.18,8.95,20.37,11.73,05-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Jul-2018 - 00:00,55.23,13.24,224.62,1.22,83.17,23.54,3.87,34.73,2.18,0.18,9.82,22.19,12.55,06-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Jul-2018 - 00:00,61.43,12.58,222.31,1.02,83.15,23.54,3.69,34.4,3.44,0.17,10.65,19.68,14.69,07-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Jul-2018 - 00:00,61.55,15.29,228.82,0.97,82.73,23.72,3.76,36.98,2.39,0.12,10.85,19.89,17.08,08-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Jul-2018 - 00:00,46.31,16.52,227.82,0.93,84.8,23.32,3.41,34.25,1.86,0.08,12.28,15.87,18.34,09-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Jul-2018 - 00:00,78.21,19.57,225.02,1.09,83.33,23.63,3.5,32.16,1.63,0.08,13.32,15.5,16.65,10-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Jul-2018 - 00:00,52.78,17.19,223.85,1.05,85.76,22.88,3.66,36.9,27.38,0.13,12.46,17.01,19.83,11-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Jul-2018 - 00:00,45.11,13.9,223.3,1.1,83.99,22.86,2.62,32.67,6.26,0.06,17.41,10.82,21.83,12-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Jul-2018 - 00:00,39.43,13.09,224.65,1.02,88.12,22.65,2.31,34.4,4.67,0.1,12.2,12.29,22.34,13-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Jul-2018 - 00:00,51.24,14.34,227.88,1.18,83.74,23.5,2.41,26.39,4.16,0.14,14.15,9.5,16.86,14-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Jul-2018 - 00:00,53.5,15.29,227.57,1.2,85.6,23.5,2.61,26.82,3.34,0.04,14.63,10.26,16.55,15-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Jul-2018 - 00:00,34.32,11.49,227.74,1.23,89.52,22.67,2.43,23.11,2.92,0.02,13.31,8.66,14.42,16-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Jul-2018 - 00:00,28.54,9.01,228.9,1.37,87.3,22.86,2.66,23.78,2.37,0.08,12.45,9.98,13.79,17-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Jul-2018 - 00:00,50.54,13.77,226.67,1.3,84.95,23.27,2.62,24.3,2.22,0.06,14.06,9.17,15.26,18-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Jul-2018 - 00:00,60.31,15.38,226.93,1.17,83.64,23.5,2.43,24.85,2.29,0.06,13.82,8.46,16.5,19-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Jul-2018 - 00:00,65.98,16.67,226.04,1.11,84.22,23.27,2.31,24.94,2.47,0.05,14.73,7.51,17.52,20-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Jul-2018 - 00:00,70.64,16.01,225.04,1.19,83.51,23.35,2.24,21.05,2.62,0.31,17.96,5.65,15.39,21-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Jul-2018 - 00:00,45.75,14.76,226.22,1.1,85.9,23.22,2.28,22.96,2.46,0.2,16.88,6.34,16.59,22-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Jul-2018 - 00:00,50.19,15.24,227.34,1.17,85.67,23.01,2.15,17.88,2.44,0.14,15.27,5.33,12.55,23-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Jul-2018 - 00:00,35.76,14.04,226.94,0.99,88.58,22.77,2.57,20.88,1.86,0.3,9.74,10.4,15.8,24-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Jul-2018 - 00:00,53.87,15.31,228.36,1.14,84.28,23.37,2.29,21.58,2.37,0.18,11.59,7.99,13.59,25-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Jul-2018 - 00:00,55.36,14.83,229.03,1.07,83.0,23.5,2.27,26.16,3.02,0.19,11.53,9.82,16.3,26-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Jul-2018 - 00:00,79.13,17.24,226.83,1.17,81.37,23.49,2.28,25.67,3.09,0.17,12.67,9.19,16.44,27-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Jul-2018 - 00:00,69.31,16.97,225.82,1.1,84.54,23.27,2.37,25.98,2.9,0.2,11.62,9.68,16.32,28-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Jul-2018 - 00:00,68.95,15.71,226.28,1.1,85.17,23.36,2.43,26.77,2.63,0.21,11.1,10.5,16.26,29-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Jul-2018 - 00:00,76.75,18.45,225.69,1.06,79.78,24.31,2.39,22.19,2.94,0.14,11.69,7.65,14.51,30-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Jul-2018 - 00:00,102.32,20.61,230.17,0.99,80.1,24.0,2.61,28.48,3.73,0.22,8.55,11.83,16.64,31-Jul-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Jul-2018 - 00:00,53.65,15.74,225.74,1.02,85.59,23.11,2.77,31.4,3.85,0.25,7.71,14.09,17.3,01-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Aug-2018 - 00:00,63.99,15.17,228.89,1.08,84.2,23.34,2.7,27.97,3.55,0.22,9.74,11.57,16.35,02-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Aug-2018 - 00:00,71.31,16.45,212.4,2.02,78.26,23.14,8.34,31.76,5.65,0.17,9.27,16.1,15.6,03-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Aug-2018 - 00:00,68.52,15.35,81.26,3.41,30.06,11.14,3.04,26.91,3.72,0.14,8.56,11.56,15.36,04-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Aug-2018 - 00:00,66.97,14.61,189.94,2.52,69.15,22.56,4.51,27.59,3.37,0.16,8.3,12.23,15.35,05-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Aug-2018 - 00:00,49.57,11.34,222.9,2.49,83.05,24.42,5.97,24.89,3.13,0.11,8.93,10.68,14.15,06-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Aug-2018 - 00:00,43.43,11.05,223.5,4.33,82.99,24.06,9.33,24.68,2.9,0.15,9.29,10.46,14.12,07-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Aug-2018 - 00:00,37.59,12.11,219.74,3.8,85.1,24.5,11.27,26.27,2.96,0.18,9.51,11.08,15.16,08-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Aug-2018 - 00:00,57.87,54.05,223.01,5.77,82.12,24.73,11.24,21.83,2.85,0.14,10.38,8.92,12.9,09-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Aug-2018 - 00:00,65.68,16.17,222.55,1.57,81.5,24.25,11.05,23.37,2.3,0.15,9.35,9.6,13.71,10-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Aug-2018 - 00:00,72.5,15.9,224.52,1.82,80.52,23.94,11.0,19.82,2.6,0.16,9.3,7.71,12.09,11-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Aug-2018 - 00:00,54.68,14.24,226.91,2.5,84.6,23.86,11.03,24.36,2.68,0.16,9.94,9.68,14.68,12-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Aug-2018 - 00:00,17.02,8.0,230.1,1.3,90.58,21.9,11.11,27.28,2.67,0.15,8.36,11.14,16.09,13-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Aug-2018 - 00:00,61.29,9.26,226.04,1.76,88.82,22.04,11.25,27.22,2.37,0.18,9.96,11.36,15.84,14-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Aug-2018 - 00:00,26.93,12.46,226.94,1.14,88.71,22.68,11.55,29.58,2.47,0.24,8.67,12.13,17.42,15-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Aug-2018 - 00:00,38.32,14.22,229.06,2.54,86.94,23.18,11.24,26.51,2.88,0.19,11.73,8.14,18.33,16-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Aug-2018 - 00:00,20.78,10.79,227.19,3.26,89.66,23.46,12.19,29.21,2.49,0.22,14.44,9.51,19.66,17-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Aug-2018 - 00:00,46.06,10.87,228.18,2.24,85.58,23.42,14.73,21.47,2.24,0.13,16.33,6.9,14.57,18-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Aug-2018 - 00:00,63.07,13.99,222.96,6.91,83.31,27.39,16.44,24.5,2.11,0.18,14.66,8.24,16.23,19-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Aug-2018 - 00:00,64.64,14.3,227.41,1.65,82.1,23.35,17.29,21.01,2.14,0.13,14.84,6.8,14.19,20-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Aug-2018 - 00:00,68.85,14.36,230.6,1.14,82.92,23.05,18.69,24.22,1.96,0.18,12.86,8.58,15.57,21-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Aug-2018 - 00:00,41.92,12.44,224.56,3.64,85.57,24.3,20.15,26.34,1.92,0.2,10.7,10.56,15.8,22-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Aug-2018 - 00:00,42.78,10.88,145.47,8.45,53.13,20.64,20.3,20.66,2.0,0.14,11.75,7.64,12.98,23-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Aug-2018 - 00:00,58.79,13.27,194.61,2.5,72.56,21.08,21.68,24.6,1.93,0.2,9.74,9.75,14.84,24-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Aug-2018 - 00:00,100.17,17.31,191.75,1.8,67.91,21.65,22.45,23.13,1.98,0.2,9.94,8.82,14.27,25-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Aug-2018 - 00:00,111.66,17.68,187.07,1.67,65.93,20.22,22.1,24.77,1.8,0.18,8.96,9.91,14.82,26-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Aug-2018 - 00:00,97.73,15.24,194.95,1.26,67.86,20.92,22.02,21.98,2.64,0.14,11.31,8.38,13.64,27-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Aug-2018 - 00:00,43.97,9.61,190.28,1.04,75.68,18.46,21.74,24.05,2.42,0.18,9.41,5.95,11.37,28-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Aug-2018 - 00:00,88.08,16.29,221.95,1.0,81.38,23.3,24.56,38.62,2.1,0.26,8.08,16.31,22.3,29-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Aug-2018 - 00:00,81.28,15.43,224.43,0.9,83.5,23.1,25.06,29.19,2.48,0.21,7.84,12.43,16.72,30-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Aug-2018 - 00:00,71.21,15.97,225.24,0.86,82.27,23.79,25.86,29.1,2.05,0.24,8.03,12.81,16.27,31-Aug-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Aug-2018 - 00:00,72.45,17.22,224.48,0.79,83.06,23.09,26.85,28.58,4.79,0.22,6.95,12.17,16.37,01-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Sep-2018 - 00:00,79.04,18.35,227.3,0.86,81.94,23.3,29.13,30.13,4.28,0.26,8.19,13.32,16.81,02-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Sep-2018 - 00:00,86.98,17.75,229.59,0.97,80.13,23.2,28.7,23.09,3.7,0.15,10.96,8.37,14.68,03-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Sep-2018 - 00:00,115.65,18.96,229.73,0.99,75.86,23.68,28.64,24.82,2.94,0.23,10.53,9.57,15.21,04-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Sep-2018 - 00:00,116.9,21.2,227.32,0.95,76.61,23.59,28.97,24.46,2.85,0.24,9.41,9.89,14.52,05-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Sep-2018 - 00:00,118.15,21.27,228.52,1.05,77.36,23.51,30.36,31.34,2.59,0.26,7.36,14.62,16.72,06-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Sep-2018 - 00:00,129.25,22.33,226.13,0.96,74.94,23.64,31.23,29.84,3.94,0.26,10.07,12.05,17.76,07-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Sep-2018 - 00:00,98.07,18.68,224.22,1.01,77.32,23.2,31.55,29.4,3.56,0.21,9.1,12.6,16.75,08-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Sep-2018 - 00:00,106.33,22.34,225.27,0.83,74.23,23.34,31.42,31.11,3.58,0.22,11.52,11.16,19.92,09-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Sep-2018 - 00:00,64.49,13.37,226.12,0.61,89.46,19.85,31.18,26.21,3.54,0.08,7.93,5.93,12.81,10-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Sep-2018 - 00:00,82.26,22.31,226.85,0.89,54.96,27.26,31.4,22.54,4.41,0.23,26.62,5.36,17.19,11-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Sep-2018 - 00:00,98.29,23.04,211.93,0.79,66.46,25.45,31.14,30.2,3.8,0.24,19.45,7.74,22.42,12-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Sep-2018 - 00:00,106.68,23.97,214.4,0.84,65.23,25.31,32.31,27.09,4.29,0.24,25.0,6.59,20.49,13-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Sep-2018 - 00:00,95.13,26.93,218.32,0.84,65.52,24.92,31.18,22.4,3.98,0.18,23.46,5.81,16.59,14-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Sep-2018 - 00:00,83.51,19.7,217.51,0.78,66.46,25.34,32.08,26.02,3.6,0.2,16.28,8.54,17.48,15-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Sep-2018 - 00:00,78.71,15.4,218.97,0.87,67.35,25.5,31.91,24.36,3.44,0.18,14.05,8.47,15.92,16-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Sep-2018 - 00:00,63.35,11.56,214.98,0.94,68.18,25.94,31.45,19.33,3.37,0.12,15.52,6.65,12.67,17-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Sep-2018 - 00:00,104.27,22.96,223.48,1.07,68.25,25.66,31.92,24.46,3.18,0.19,15.73,7.3,17.16,18-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Sep-2018 - 00:00,94.78,19.73,219.06,1.07,67.11,25.51,32.56,23.34,3.04,0.19,16.31,7.06,16.3,19-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Sep-2018 - 00:00,97.97,20.95,219.41,1.05,66.14,25.19,33.29,21.24,3.08,0.17,19.31,5.69,15.53,20-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Sep-2018 - 00:00,90.8,29.12,217.57,0.82,77.12,23.63,34.55,36.78,3.55,0.31,21.09,9.84,26.99,21-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Sep-2018 - 00:00,79.78,24.48,227.9,0.98,78.69,24.29,34.49,26.84,5.58,0.19,21.87,6.19,19.19,22-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Sep-2018 - 00:00,114.11,20.68,229.4,1.02,67.61,25.7,34.85,35.26,4.42,0.32,16.25,12.69,25.98,23-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Sep-2018 - 00:00,80.89,20.98,225.63,0.93,68.66,25.09,33.31,24.82,4.14,0.19,20.41,6.38,18.41,24-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Sep-2018 - 00:00,92.16,25.74,218.37,0.76,66.97,25.5,34.74,29.3,4.11,0.31,21.5,7.12,22.18,25-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Sep-2018 - 00:00,61.83,18.67,212.13,0.77,68.64,26.1,35.57,22.63,4.71,0.23,23.64,4.7,17.96,26-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Sep-2018 - 00:00,62.79,23.4,186.47,0.67,71.9,25.41,35.99,28.68,5.76,0.32,27.87,5.01,23.67,27-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Sep-2018 - 00:00,74.29,30.01,177.52,0.67,70.53,25.52,37.85,41.78,6.96,0.5,26.56,10.19,31.52,28-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Sep-2018 - 00:00,60.73,28.52,187.14,0.7,80.19,24.3,40.66,42.07,9.68,0.47,20.19,12.13,30.0,29-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Sep-2018 - 00:00,61.91,20.98,154.07,0.57,76.04,25.31,39.45,37.22,8.45,0.4,17.31,11.97,25.21,30-Sep-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Sep-2018 - 00:00,66.66,26.79,151.5,0.54,70.07,26.61,40.59,30.87,8.43,0.4,19.5,9.59,21.18,01-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Oct-2018 - 00:00,90.25,38.89,153.77,0.6,70.02,26.79,42.23,39.11,9.11,0.53,23.68,10.89,28.24,02-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Oct-2018 - 00:00,71.64,26.83,147.62,0.54,63.02,27.44,40.55,30.36,7.68,0.41,22.12,5.95,24.45,03-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Oct-2018 - 00:00,76.45,28.51,149.35,0.61,60.87,27.68,31.04,36.92,8.48,0.45,18.82,9.04,27.87,04-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Oct-2018 - 00:00,75.88,25.77,131.84,0.66,58.22,27.86,6.18,36.99,8.66,0.38,24.15,6.79,30.14,05-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Oct-2018 - 00:00,67.35,24.71,99.42,0.68,59.29,27.14,4.88,38.64,9.25,0.38,17.58,10.41,28.22,06-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Oct-2018 - 00:00,55.17,19.01,105.14,0.79,57.59,27.44,3.18,33.71,9.17,0.39,18.03,7.86,25.99,07-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Oct-2018 - 00:00,81.2,32.54,95.66,0.71,51.5,27.4,2.04,35.42,8.7,0.32,39.55,4.92,30.72,08-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Oct-2018 - 00:00,102.34,54.5,163.61,0.87,59.6,27.59,0.89,27.03,12.44,0.44,34.61,3.49,23.46,09-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Oct-2018 - 00:00,83.98,41.49,188.42,2.33,63.1,27.96,1.32,19.79,9.5,0.38,39.9,2.18,17.62,10-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Oct-2018 - 00:00,102.78,46.91,69.83,22.73,47.32,35.73,1.66,30.04,7.24,0.49,30.63,5.28,24.69,11-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Oct-2018 - 00:00,119.34,54.54,99.97,29.08,86.0,39.1,,27.25,7.24,0.47,39.48,2.64,24.63,12-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Oct-2018 - 00:00,124.46,63.61,92.16,34.48,56.06,38.85,,21.14,7.07,0.43,43.73,2.28,18.85,13-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Oct-2018 - 00:00,124.2,63.62,103.65,22.95,75.67,40.02,,22.34,6.68,0.44,37.88,2.41,19.97,14-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Oct-2018 - 00:00,105.67,57.9,115.54,25.92,74.74,38.9,,17.07,4.89,0.38,45.6,1.53,15.55,15-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Oct-2018 - 00:00,130.95,64.19,144.97,19.39,68.58,38.96,,33.48,6.04,0.59,42.67,3.84,29.64,16-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Oct-2018 - 00:00,77.02,48.49,127.47,21.27,79.71,37.61,8.01,39.3,9.57,0.67,17.88,7.51,31.82,17-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Oct-2018 - 00:00,58.15,23.65,106.09,25.82,86.51,40.56,,22.96,7.23,0.41,21.37,3.79,19.13,18-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Oct-2018 - 00:00,44.53,15.04,74.12,20.32,87.56,39.07,,25.24,4.98,0.37,25.54,4.5,21.08,19-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Oct-2018 - 00:00,45.53,23.31,61.7,22.35,57.22,44.28,,31.09,7.43,0.46,18.07,6.7,24.37,20-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Oct-2018 - 00:00,99.19,37.57,64.9,23.9,95.83,42.25,,37.16,7.07,0.42,39.06,3.41,33.51,21-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Oct-2018 - 00:00,115.81,43.87,91.52,19.23,100.0,37.44,,38.64,6.41,0.4,42.32,4.44,34.52,22-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Oct-2018 - 00:00,115.59,47.92,66.94,27.67,66.99,33.39,,41.09,3.89,0.6,33.59,5.28,35.95,23-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Oct-2018 - 00:00,146.78,69.53,131.72,16.12,63.63,35.94,7.06,32.95,13.53,0.61,41.48,3.7,29.32,24-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Oct-2018 - 00:00,111.59,57.85,121.11,4.75,63.23,28.82,0.07,33.62,11.25,0.52,45.87,3.5,30.15,25-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Oct-2018 - 00:00,127.86,60.61,88.68,14.89,57.21,31.1,24.33,42.42,8.84,0.51,38.48,7.44,35.04,26-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Oct-2018 - 00:00,104.91,47.51,63.61,14.61,59.28,32.08,26.88,31.72,3.62,0.41,55.69,5.05,27.06,27-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Oct-2018 - 00:00,99.14,34.81,87.76,4.02,35.49,28.65,42.56,62.5,6.13,0.51,57.26,25.84,55.93,28-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Oct-2018 - 00:00,80.19,34.57,66.76,15.75,50.93,27.38,33.14,47.72,6.99,0.35,72.38,16.31,31.19,29-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Oct-2018 - 00:00,97.01,116.49,76.23,13.97,57.22,26.59,30.24,43.29,6.32,0.43,70.67,10.65,32.59,30-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Oct-2018 - 00:00,87.0,485.3,70.26,14.96,43.46,26.24,26.81,37.55,5.46,0.44,76.71,7.49,30.04,31-Oct-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Oct-2018 - 00:00,80.0,42.0,27.55,37.39,,36.48,27.98,39.28,6.28,0.3,82.51,8.64,31.55,01-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Nov-2018 - 00:00,,,,,,,,,,,,,,02-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Nov-2018 - 00:00,,,,,,,,,,,,,,03-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Nov-2018 - 00:00,,,,,,,,,,,,,,04-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Nov-2018 - 00:00,,,,,,,,,,,,,,05-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Nov-2018 - 00:00,,,,,,,,,,,,,,06-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Nov-2018 - 00:00,,,,,,,,,,,,,,07-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Nov-2018 - 00:00,,,,,,,,,,,,,,08-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Nov-2018 - 00:00,,,,,,,,,,,,,,09-Nov-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
