from date,PM2.5,PM10,WD,WS,Temp,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
11-Dec-2018 - 00:00,77.23,,,,,,1.65,21.85,7.31,29.17,10.51,1.36,27.25,12-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Dec-2018 - 00:00,76.58,,,,,,1.58,25.54,8.47,34.01,8.97,1.39,20.02,13-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Dec-2018 - 00:00,85.14,,,,,,1.81,26.54,2.2,28.74,4.22,1.51,26.68,14-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Dec-2018 - 00:00,64.53,131.0,,,,,1.71,11.45,1.68,12.18,21.66,1.39,12.2,15-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Dec-2018 - 00:00,82.24,178.43,,,,,2.04,13.81,3.12,16.93,31.74,1.26,21.72,16-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Dec-2018 - 00:00,89.44,210.12,,,,,2.2,14.34,2.11,16.45,16.88,1.24,33.27,17-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Dec-2018 - 00:00,51.75,133.89,,,,,2.34,16.07,2.26,18.32,11.11,1.04,28.95,18-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Dec-2018 - 00:00,21.12,82.83,,,,,2.27,18.22,3.9,22.12,9.88,0.91,17.88,19-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Dec-2018 - 00:00,34.87,112.82,,,,,2.28,23.39,7.45,30.84,11.69,1.12,13.07,20-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Dec-2018 - 00:00,45.27,163.01,,,,,2.68,28.49,6.08,34.56,6.71,1.38,15.53,21-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Dec-2018 - 00:00,60.57,200.48,,,,,3.88,20.0,33.98,53.64,7.58,1.85,20.67,22-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Dec-2018 - 00:00,78.08,288.97,,,,,4.6,43.13,50.2,93.32,15.29,2.99,22.93,23-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Dec-2018 - 00:00,81.24,212.59,,,,,1.76,30.98,17.7,48.68,5.49,1.86,25.15,24-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Dec-2018 - 00:00,84.42,221.75,,,,,2.11,38.27,16.65,54.92,3.84,2.07,28.4,25-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
25-Dec-2018 - 00:00,94.18,239.25,,,,,2.67,41.16,2.29,43.45,2.93,2.42,28.7,26-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
26-Dec-2018 - 00:00,92.97,248.65,,,,,3.31,16.9,32.8,49.24,9.54,2.57,21.9,27-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
27-Dec-2018 - 00:00,51.01,166.29,,,,,0.87,16.88,5.92,22.8,7.91,1.49,22.71,28-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
28-Dec-2018 - 00:00,54.11,146.1,,,,,1.0,15.33,2.9,18.23,3.81,1.47,34.62,29-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
29-Dec-2018 - 00:00,66.53,162.76,,,,,2.28,16.14,4.45,20.58,2.95,1.61,37.93,30-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
30-Dec-2018 - 00:00,75.31,162.73,,,,,2.75,14.37,0.74,15.1,2.07,1.58,37.82,31-Dec-2018 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
31-Dec-2018 - 00:00,56.51,116.8,,,,,2.1,10.15,0.23,10.38,,1.37,43.73,01-Jan-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
