from date,CO,NO,NO2,NOx,PM10,SO2,Ozone,to date,station
11-Nov-2018 - 00:00,0.61,,,,102.12,60.48,,12-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Nov-2018 - 00:00,0.9,,,,158.38,62.91,,13-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Nov-2018 - 00:00,1.12,,,,157.25,15.3,,14-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Nov-2018 - 00:00,1.39,,,,281.98,13.18,,15-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Nov-2018 - 00:00,1.19,,,,188.81,14.13,,16-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Nov-2018 - 00:00,0.64,,,,191.16,6.22,,17-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Nov-2018 - 00:00,0.03,,,,113.79,10.87,42.67,18-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Nov-2018 - 00:00,2.12,,,,999.99,5.77,0.97,19-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Nov-2018 - 00:00,0.84,,,,239.55,8.95,6.71,20-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Nov-2018 - 00:00,0.78,,,,174.18,10.7,8.06,21-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Nov-2018 - 00:00,1.14,,,,179.0,10.65,6.15,22-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Nov-2018 - 00:00,1.04,,,,155.16,8.99,5.84,23-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Nov-2018 - 00:00,1.54,,,,187.4,7.82,3.33,24-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Nov-2018 - 00:00,0.0,,,,,,,25-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Nov-2018 - 00:00,0.93,,,,137.1,3.78,,26-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Nov-2018 - 00:00,0.88,,,,149.63,10.02,,27-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Nov-2018 - 00:00,0.55,,,,107.07,10.27,,28-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Nov-2018 - 00:00,0.6,,,,112.26,10.5,,29-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Nov-2018 - 00:00,0.58,,,,81.06,10.84,,30-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Nov-2018 - 00:00,0.69,,,,135.96,14.63,,01-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Dec-2018 - 00:00,0.3,,,,212.73,5.94,,02-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Dec-2018 - 00:00,1.26,,,,145.71,1.59,,03-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Dec-2018 - 00:00,0.8,,,,154.6,9.17,,04-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Dec-2018 - 00:00,1.26,,,,198.12,13.16,,05-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Dec-2018 - 00:00,1.02,,,,186.18,14.8,,06-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Dec-2018 - 00:00,1.07,,,,212.49,10.65,,07-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Dec-2018 - 00:00,1.25,,,,205.17,8.67,,08-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Dec-2018 - 00:00,1.27,,,,201.83,9.64,,09-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Dec-2018 - 00:00,1.29,,,,215.4,8.67,,10-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Dec-2018 - 00:00,1.3,,,,198.97,8.44,,11-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Dec-2018 - 00:00,1.58,,,,201.07,9.61,,12-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Dec-2018 - 00:00,1.31,,,,205.97,9.52,,13-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Dec-2018 - 00:00,1.04,,,,165.27,8.84,,14-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Dec-2018 - 00:00,1.03,,,,166.57,7.9,,15-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Dec-2018 - 00:00,0.81,,,,153.87,57.1,,16-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Dec-2018 - 00:00,0.79,,,,132.61,98.82,,17-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Dec-2018 - 00:00,1.01,,,,155.05,7.1,,18-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Dec-2018 - 00:00,0.84,,,,63.95,12.06,,19-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Dec-2018 - 00:00,0.67,,,,80.68,14.79,,20-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Dec-2018 - 00:00,1.25,,,,150.94,11.32,,21-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Dec-2018 - 00:00,1.72,,,,201.33,9.06,,22-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Dec-2018 - 00:00,1.18,,,,218.95,7.94,,23-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Dec-2018 - 00:00,0.95,,,,196.73,6.4,,24-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Dec-2018 - 00:00,1.1,,,,178.71,7.04,,25-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Dec-2018 - 00:00,1.33,,,,211.28,7.78,,26-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Dec-2018 - 00:00,1.18,,,,180.4,8.61,,27-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Dec-2018 - 00:00,0.97,,,,192.22,14.22,,28-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Dec-2018 - 00:00,0.83,,,,170.14,12.73,,29-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Dec-2018 - 00:00,1.27,,,,188.35,8.81,,30-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Dec-2018 - 00:00,0.82,,,,207.38,7.06,,31-Dec-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Dec-2018 - 00:00,0.76,,,,135.72,7.33,,01-Jan-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
