from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Eth-Benzene,to date,station
29-May-2018 - 00:00,3.6,227.67,14.96,6.27,33.07,38.81,77.97,959.49,13.8,292.15,104.83,9.62,24.42,29.7,3.13,,62.73,,,30-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-May-2018 - 00:00,1.42,269.91,8.92,6.18,33.53,40.17,702.81,972.84,13.8,324.49,92.44,11.3,24.41,35.71,2.23,,56.03,,,31-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
31-May-2018 - 00:00,0.77,241.62,7.94,11.43,35.14,34.74,730.67,982.01,13.75,202.78,89.61,8.28,24.43,30.81,2.36,,50.87,,,01-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Jun-2018 - 00:00,2.26,244.49,15.19,,33.14,45.42,918.8,984.87,13.72,196.41,88.03,6.96,24.43,30.27,2.33,,64.03,,,02-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Jun-2018 - 00:00,,,,,,,,,,172.0,51.36,8.77,24.37,33.14,3.16,,64.65,,,03-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Jun-2018 - 00:00,,,,,,,,,,159.61,55.65,7.79,24.38,32.14,2.27,,64.76,,,04-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Jun-2018 - 00:00,,,,,,,,,,153.31,67.84,9.57,24.38,33.94,2.96,,68.32,,,05-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Jun-2018 - 00:00,,,,,,,,,,121.74,54.52,8.81,24.42,33.2,3.02,,62.79,,,06-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Jun-2018 - 00:00,,,,,,,,,,114.76,58.97,11.99,24.37,36.36,2.67,,59.74,,,07-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Jun-2018 - 00:00,,,,,,,,,,144.02,54.29,9.33,24.49,29.54,2.56,,65.12,,,09-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Jun-2018 - 00:00,,,,,,,,,,100.58,55.54,9.35,24.34,30.99,2.5,,53.1,,,10-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Jun-2018 - 00:00,,,,,,,,,,103.07,57.51,,,0.0,2.46,,44.17,,,11-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Jun-2018 - 00:00,,,,,,,,,,143.58,73.87,,,0.0,2.37,,44.75,,,12-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Jun-2018 - 00:00,,,,,,,,,,479.04,192.84,35.73,26.5,25.7,2.52,0.0,39.94,,,13-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Jun-2018 - 00:00,,,,,,,,,,709.6,392.56,31.43,26.46,57.89,2.99,,38.17,,,14-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Jun-2018 - 00:00,,,,,,,,,,603.55,268.26,31.16,26.42,57.58,2.71,,42.24,,,15-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Jun-2018 - 00:00,,,,,,,,,,425.06,172.5,28.2,26.46,54.66,2.78,,42.99,,,16-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Jun-2018 - 00:00,,,,,,,,,,358.8,152.92,26.37,26.43,52.8,2.76,,41.6,,,17-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Jun-2018 - 00:00,,,,,,,,,,244.34,116.94,28.47,26.41,54.88,2.99,,47.87,,,18-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Jun-2018 - 00:00,,,,,,,,,,130.39,67.44,28.21,26.43,54.64,2.78,,50.55,,,19-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Jun-2018 - 00:00,,,,,,,,,,123.03,68.07,26.56,25.93,51.15,2.2,0.0,50.7,,,20-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Jun-2018 - 00:00,,,,,,,,,,150.75,74.52,24.31,25.57,49.88,0.74,,48.6,,,21-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Jun-2018 - 00:00,,,,,,,,,,199.13,88.44,22.51,25.59,48.1,0.77,,62.25,,,22-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Jun-2018 - 00:00,,,,,,,,,,216.7,124.51,24.05,25.62,48.7,0.91,,52.87,,,23-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Jun-2018 - 00:00,,,,,,,,,,175.16,106.82,15.74,25.72,41.18,0.96,,66.41,,,24-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Jun-2018 - 00:00,,,,,,,,,,153.61,83.49,21.19,25.55,46.74,0.99,,55.48,,,25-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Jun-2018 - 00:00,,,,,,,,,,220.5,111.77,18.02,25.65,43.67,1.0,,51.16,,,26-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Jun-2018 - 00:00,,,,,,,,,,106.04,54.09,26.48,25.49,51.97,0.87,,39.34,,,27-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Jun-2018 - 00:00,,,,,,,,,,82.51,48.51,27.92,29.59,57.51,1.43,,43.81,,,28-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Jun-2018 - 00:00,,,,,,,,,,,,48.79,50.15,98.93,8.9,,10.0,,,29-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Jun-2018 - 00:00,,,,,,,,,,62.88,53.9,27.78,47.41,75.21,4.86,,26.62,,,30-Jun-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Jun-2018 - 00:00,,,,,,,,,,73.43,64.94,23.12,46.47,69.59,2.13,,26.5,,,01-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Jul-2018 - 00:00,,,,,,,,,,50.54,34.21,24.17,46.63,70.8,1.4,,27.91,,,02-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Jul-2018 - 00:00,,,,,,,,,,66.37,45.86,24.89,46.73,71.62,1.43,,27.55,,,03-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Jul-2018 - 00:00,,,,,,,,,,76.65,54.08,25.09,46.8,71.89,1.54,,31.82,,,04-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Jul-2018 - 00:00,,,,,,,,,,76.18,52.92,28.97,47.53,76.52,1.75,,22.43,,,05-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Jul-2018 - 00:00,,,,,,,,,,93.04,55.81,24.22,46.72,70.95,1.59,,25.9,,,06-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Jul-2018 - 00:00,,,,,,,,,,138.72,84.66,21.91,46.24,68.15,1.76,,26.43,,,07-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Jul-2018 - 00:00,,,,,,,,,,118.81,58.89,26.27,47.0,73.26,1.9,,27.44,,,08-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Jul-2018 - 00:00,,,,,,,,,,140.78,73.89,31.26,47.87,79.13,2.09,,43.14,,,09-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Jul-2018 - 00:00,,,,,,,,,,129.81,69.37,28.38,47.36,75.74,1.94,,42.16,,,10-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Jul-2018 - 00:00,,,,,,,,,,78.19,43.57,29.01,47.45,76.46,1.86,,37.27,,,11-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Jul-2018 - 00:00,,,,,,,,,,77.66,39.52,30.19,47.75,77.94,1.53,,34.78,,,12-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Jul-2018 - 00:00,,,,,,,,,,83.69,47.11,28.34,47.4,75.74,1.09,,42.57,,,13-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Jul-2018 - 00:00,,,,,,,,,,39.24,24.56,33.67,48.38,82.05,1.32,,25.68,,,14-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Jul-2018 - 00:00,,,,,,,,,,47.07,32.27,31.77,47.97,79.73,1.6,,20.18,,,15-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Jul-2018 - 00:00,,,,,,,,,,52.52,29.95,31.69,48.03,79.71,1.56,,18.63,,,16-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Jul-2018 - 00:00,,,,,,,,,,54.98,31.69,32.77,48.2,80.98,1.78,,17.58,,,17-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Jul-2018 - 00:00,,,,,,,,,,55.53,29.68,29.27,47.42,76.69,1.6,,18.57,,,18-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Jul-2018 - 00:00,,,,,,,,,,62.27,35.74,27.95,47.3,75.25,1.79,,20.8,,,19-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Jul-2018 - 00:00,,,,,,,,,,59.71,36.68,27.26,47.15,74.41,1.66,,24.78,,,20-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Jul-2018 - 00:00,,,,,,,,,,54.41,31.62,31.75,48.25,79.27,2.02,,20.56,,,21-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Jul-2018 - 00:00,,,,,,,,,,62.66,34.12,31.45,47.99,79.44,2.18,,22.84,,,22-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Jul-2018 - 00:00,,,,,,,,,,32.92,19.06,34.86,48.52,83.38,2.17,,19.07,,,23-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Jul-2018 - 00:00,,,,,,,,,,50.39,30.06,33.68,48.43,44.0,1.82,,19.26,,,24-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Jul-2018 - 00:00,,,,,,,,,,50.83,25.88,,,0.0,1.47,,22.33,,,25-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Jul-2018 - 00:00,,,,,,,,,,50.43,24.8,30.78,23.95,16.55,1.29,,17.99,,,26-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Jul-2018 - 00:00,,,,,,,,,,48.54,29.5,42.64,14.18,54.41,1.33,,15.99,,,27-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Jul-2018 - 00:00,,,,,,,,,,25.64,14.93,27.4,14.64,40.01,1.45,,16.87,,,28-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Jul-2018 - 00:00,,,,,,,,,,44.41,24.58,7.41,16.77,24.18,1.35,,18.23,,,29-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Jul-2018 - 00:00,,,,,,,,,,107.9,82.43,22.02,14.65,36.64,1.0,,21.8,,,30-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Jul-2018 - 00:00,,,,,,,,,,98.43,40.03,6.02,17.62,23.64,1.31,,24.87,,,31-Jul-2018 - 00:00,"Aya Nagar, Delhi - IMD"
31-Jul-2018 - 00:00,,,,,,,,,,118.3,53.34,5.96,18.26,24.22,1.45,,25.58,,,01-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Aug-2018 - 00:00,,,,,,,,,,177.57,78.17,10.32,19.44,29.76,1.64,,21.58,,,02-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Aug-2018 - 00:00,,,,,,,,,,229.19,99.5,7.3,19.16,26.46,1.6,,23.6,,,03-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Aug-2018 - 00:00,,,,,,,,,,204.89,86.58,6.35,19.37,25.72,1.59,,22.99,,,04-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Aug-2018 - 00:00,,,,,,,,,,220.68,93.41,7.35,18.9,26.26,1.59,,22.74,,,05-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Aug-2018 - 00:00,,,,,,,,,,205.5,85.29,6.72,16.56,23.28,1.89,,19.92,,,06-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Aug-2018 - 00:00,,,,,,,,,,123.66,62.12,11.49,19.42,30.91,2.02,,16.86,,,07-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Aug-2018 - 00:00,,,,,,,,,,85.5,47.52,9.95,17.59,27.54,2.16,,19.71,,,08-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Aug-2018 - 00:00,,,,,,,,,,58.05,32.17,14.24,23.84,38.09,2.1,,18.29,,,09-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Aug-2018 - 00:00,,,,,,,,,,86.99,79.41,42.64,23.51,66.15,1.62,,20.78,,,10-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Aug-2018 - 00:00,,,,,,,,,,81.19,37.55,17.54,31.3,48.85,1.73,,25.26,,,11-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Aug-2018 - 00:00,,,,,,,,,,74.43,40.8,12.76,27.5,40.26,1.41,,26.42,,,12-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Aug-2018 - 00:00,,,,,,,,,,62.12,27.06,11.13,25.1,36.23,1.62,,24.31,,,13-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Aug-2018 - 00:00,,,,,,,,,,67.02,31.44,13.76,26.26,40.03,1.6,,27.35,,,14-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Aug-2018 - 00:00,,,,,,,,,,95.81,47.97,12.58,31.18,43.76,1.78,,31.47,,,15-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Aug-2018 - 00:00,,,,,,,,,,84.78,41.6,8.97,24.92,33.89,1.84,,32.8,,,16-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Aug-2018 - 00:00,,,,,,,,,,61.58,30.91,25.29,26.08,51.36,2.02,,24.1,,,17-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Aug-2018 - 00:00,,,,,,,,,,65.64,32.12,25.36,27.05,52.42,2.1,,23.12,,,18-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Aug-2018 - 00:00,,,,,,,,,,53.8,29.88,16.59,26.24,42.83,2.24,,22.74,,,19-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Aug-2018 - 00:00,,,,,,,,,,63.45,35.16,18.95,24.4,43.35,2.43,,21.61,,,20-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Aug-2018 - 00:00,,,,,,,,,,94.12,55.67,15.64,29.7,45.34,2.45,,31.66,,,21-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Aug-2018 - 00:00,,,,,,,,,,49.59,24.93,13.43,25.02,38.45,1.98,,21.52,,,22-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Aug-2018 - 00:00,,,,,,,,,,52.11,28.28,13.67,22.72,36.38,1.94,,18.13,,,23-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Aug-2018 - 00:00,,,,,,,,,,43.42,22.66,10.21,23.3,33.51,1.9,,17.71,,,24-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Aug-2018 - 00:00,,,,,,,,,,52.22,23.38,10.01,23.41,33.42,1.83,,18.79,,,25-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Aug-2018 - 00:00,,,,,,,,,,49.34,22.3,8.05,24.35,32.4,1.74,,19.23,,,26-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Aug-2018 - 00:00,,,,,,,,,,57.04,26.83,8.49,24.48,32.97,1.77,,19.73,,,27-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Aug-2018 - 00:00,,,,,,,,,,45.62,26.04,11.2,27.16,38.37,2.15,,18.36,,,28-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Aug-2018 - 00:00,,,,,,,,,,43.63,40.92,13.07,27.18,40.25,2.05,,17.2,,,29-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Aug-2018 - 00:00,,,,,,,,,,30.59,19.31,12.79,21.44,34.24,2.15,,16.1,,,30-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Aug-2018 - 00:00,,,,,,,,,,76.16,39.7,15.38,24.39,26.74,1.25,0.0,20.99,,,31-Aug-2018 - 00:00,"Aya Nagar, Delhi - IMD"
31-Aug-2018 - 00:00,,,,,,,,,,113.22,53.49,10.85,21.57,32.43,1.08,,22.7,,,01-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Sep-2018 - 00:00,,,,,,,,,,76.59,40.73,16.0,19.63,35.63,1.18,,20.6,,,02-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Sep-2018 - 00:00,,,,,,,,,,53.29,30.71,12.29,20.11,32.4,1.1,,22.26,,,03-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Sep-2018 - 00:00,,,,,,,,,,57.85,34.09,17.2,22.38,39.59,1.38,,21.54,,,04-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Sep-2018 - 00:00,,,,,,,,,,65.04,38.63,17.23,23.52,40.74,1.36,,20.98,,,05-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Sep-2018 - 00:00,,,,,,,,,,83.29,52.95,20.44,26.17,46.61,1.44,,20.36,,,06-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Sep-2018 - 00:00,,,,,,,,,,93.36,46.97,12.65,25.61,38.26,1.16,,22.5,,,07-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Sep-2018 - 00:00,,,,,,,,,,57.53,31.56,23.92,27.43,51.35,1.44,,23.3,,,08-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Sep-2018 - 00:00,,,,,,,,,,52.17,30.87,15.54,24.78,38.96,1.52,0.0,21.78,1.87,,09-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Sep-2018 - 00:00,,,,,,,,,,33.65,18.88,9.61,22.81,32.42,1.43,,21.85,2.08,,10-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Sep-2018 - 00:00,,,,,,,,,,45.89,27.78,11.77,25.85,37.62,1.06,,22.55,1.84,,11-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Sep-2018 - 00:00,,,,,,,,,,51.87,26.86,9.66,25.73,35.39,1.21,,22.81,1.18,,12-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Sep-2018 - 00:00,,,,,,,,,,69.54,31.49,8.51,26.61,35.12,0.72,,23.14,1.38,,13-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Sep-2018 - 00:00,,,,,,,,,,80.52,34.43,9.38,29.43,38.82,0.0,,23.06,1.15,,14-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Sep-2018 - 00:00,,,,,,,,,,77.76,35.05,12.24,25.83,38.07,0.0,,25.65,1.14,,15-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Sep-2018 - 00:00,,,,,,,,,,79.63,35.48,12.88,27.59,40.47,0.0,,26.96,1.72,,16-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Sep-2018 - 00:00,,,,,,,,,,95.45,44.22,12.72,26.6,39.31,0.0,,26.21,1.68,,17-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Sep-2018 - 00:00,,,,,,,,,,125.72,60.96,12.83,28.02,40.86,0.0,,33.81,2.05,,18-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Sep-2018 - 00:00,,,,,,,,,,131.86,60.11,8.5,30.22,38.72,0.0,,34.4,1.77,,19-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Sep-2018 - 00:00,,,,,,,,,,143.38,65.53,13.38,34.69,48.07,0.0,,35.93,1.95,,20-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Sep-2018 - 00:00,,,,,,,,,,155.04,79.53,18.38,42.01,60.39,0.0,,44.36,3.3,,21-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Sep-2018 - 00:00,,,,,,,,,,77.9,46.91,8.79,32.32,41.11,0.0,,28.25,1.75,,22-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Sep-2018 - 00:00,,,,,,,,,,32.28,19.1,8.58,25.75,34.34,0.0,,25.48,1.3,,23-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Sep-2018 - 00:00,,,,,,,,,,43.92,28.12,6.42,23.26,29.68,0.0,,29.65,1.17,,24-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Sep-2018 - 00:00,,,,,,,,,,33.34,27.89,29.89,23.9,52.09,0.0,,26.13,1.16,,25-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Sep-2018 - 00:00,,,,,,,,,,15.32,9.73,5.85,23.63,28.21,0.0,0.0,28.03,0.63,,26-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Sep-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Sep-2018 - 00:00,,,,,,,,,,136.49,312.0,2.69,17.2,4.76,0.0,0.0,34.83,0.26,,01-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Oct-2018 - 00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,02-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Oct-2018 - 00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,03-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Oct-2018 - 00:00,,,,,,,,,,242.24,86.75,15.74,17.49,13.72,0.0,0.0,20.59,1.17,,04-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Oct-2018 - 00:00,,,,,,,,,,222.95,88.17,23.79,19.04,42.8,0.0,,20.44,2.52,,05-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Oct-2018 - 00:00,,,,,,,,,,248.49,106.92,23.53,29.69,53.45,0.09,,21.26,2.35,,06-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Oct-2018 - 00:00,,,,,,,,,,178.69,110.06,12.86,37.32,50.25,0.51,0.0,25.83,3.36,,07-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Oct-2018 - 00:00,,,,,,,,,,206.02,56.23,24.05,30.55,54.64,0.95,,34.84,3.14,,08-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Oct-2018 - 00:00,,,,,,,,,,300.57,104.44,23.55,43.0,66.49,1.19,,40.31,2.73,,09-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Oct-2018 - 00:00,,,,,,,,,,246.4,92.76,18.92,37.6,56.54,3.02,,41.63,2.77,,10-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Oct-2018 - 00:00,,,,,,,,,,208.42,75.32,13.89,31.58,45.53,6.02,,34.41,2.47,,11-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Oct-2018 - 00:00,,,,,,,,,,207.34,65.77,14.47,26.36,40.83,0.6,,33.18,2.91,,12-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Oct-2018 - 00:00,,,,,,,,,,161.3,52.72,23.96,29.0,52.96,1.61,,30.97,2.01,,13-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Oct-2018 - 00:00,,,,,,,,,,219.73,85.83,26.28,32.05,58.33,2.6,,31.47,1.66,,14-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Oct-2018 - 00:00,,,,,,,,,,227.73,67.0,15.91,32.44,48.35,2.9,,31.43,2.56,,15-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Oct-2018 - 00:00,,,,,,,,,,264.25,84.13,29.08,40.51,69.61,3.0,,31.99,2.31,,16-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Oct-2018 - 00:00,,,,,,,,,,316.3,90.68,31.69,39.69,71.37,3.35,,31.64,2.36,,17-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Oct-2018 - 00:00,,,,,,,,,,298.17,116.33,33.2,30.47,63.66,2.78,,32.17,2.62,,18-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Oct-2018 - 00:00,,,,,,,,,,298.31,120.12,34.82,41.31,76.13,1.92,,31.14,2.18,,19-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Oct-2018 - 00:00,,,,,,,,,,304.38,127.2,12.33,35.65,47.97,1.51,,31.95,2.6,,20-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Oct-2018 - 00:00,,,,,,,,,,305.4,138.21,14.93,38.9,53.83,1.46,,31.12,2.41,,21-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Oct-2018 - 00:00,,,,,,,,,,263.84,115.69,19.38,40.57,59.95,1.44,,30.0,2.51,,22-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Oct-2018 - 00:00,,,,,,,,,,228.55,93.06,24.99,40.68,65.67,1.52,,29.18,2.89,,23-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Oct-2018 - 00:00,,,,,,,,,,262.48,97.08,35.31,46.41,81.71,1.62,,30.46,2.35,,24-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Oct-2018 - 00:00,,,,,,,,,,319.11,122.14,43.27,48.99,92.25,1.94,,30.77,1.87,,25-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Oct-2018 - 00:00,,,,,,,,,,330.63,128.17,52.03,54.8,106.84,2.2,,30.38,0.07,,26-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Oct-2018 - 00:00,,,,,,,,,,316.06,137.91,40.14,53.14,93.27,2.03,,31.25,0.0,,27-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Oct-2018 - 00:00,,,,,,,,,,315.94,141.26,28.64,49.04,77.68,1.86,,34.26,1.08,,28-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Oct-2018 - 00:00,,,,,,,,,,357.08,14.58,40.61,44.75,85.37,2.25,,31.64,0.3,,29-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Oct-2018 - 00:00,,,,,,,,,,402.4,101.02,44.85,49.76,94.61,1.97,,34.24,1.6,,30-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Oct-2018 - 00:00,,,,,,,,,,483.09,210.04,74.14,51.96,126.1,2.07,,36.63,2.33,,31-Oct-2018 - 00:00,"Aya Nagar, Delhi - IMD"
