from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
09-Jun-2018 - 00:00,13.68,33.31,31.4,134.0,714.91,71.55,0.0,251.15,2.14,0.0,26.37,0.0,0.02,14.38,51.53,0.49,7.2,4.2,7.17,0.33,0.3,10-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Jun-2018 - 00:00,10.65,27.61,32.49,121.91,715.19,71.61,0.0,246.62,2.48,0.01,26.07,0.0,0.01,15.43,36.71,0.56,6.32,3.79,6.3,0.28,0.24,11-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Jun-2018 - 00:00,17.96,51.0,32.52,79.16,715.65,75.55,0.0,228.35,2.27,0.01,25.72,0.03,0.01,16.41,28.44,0.86,9.43,5.71,6.17,0.26,0.34,12-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Jun-2018 - 00:00,24.26,85.83,32.06,91.34,714.95,69.76,0.0,235.08,2.09,0.0,26.94,0.03,0.05,16.23,28.68,0.75,7.13,4.38,5.99,0.24,0.38,13-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Jun-2018 - 00:00,25.95,81.62,32.7,139.14,714.38,63.44,0.02,232.82,2.36,0.0,27.84,0.0,0.01,13.75,31.38,0.73,6.78,4.2,5.9,0.3,0.23,14-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Jun-2018 - 00:00,26.83,87.14,32.5,142.4,714.31,62.25,0.0,217.39,2.17,0.0,27.98,0.0,0.08,14.29,27.16,1.01,7.17,4.6,5.41,0.23,0.36,15-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Jun-2018 - 00:00,21.64,73.72,31.71,156.25,713.88,58.17,0.0,240.32,2.1,0.01,28.58,0.0,0.06,21.43,30.11,0.66,4.9,3.14,5.13,0.31,0.39,16-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Jun-2018 - 00:00,18.5,59.57,29.39,146.54,714.09,57.8,0.0,243.74,2.08,0.0,28.08,0.0,0.01,28.91,31.41,0.53,4.71,2.91,4.62,0.25,0.24,17-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Jun-2018 - 00:00,15.68,58.29,29.48,142.1,714.14,55.97,0.0,246.07,2.77,0.01,28.27,0.0,0.0,20.93,30.81,0.44,3.47,2.18,4.44,0.23,0.2,18-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Jun-2018 - 00:00,11.72,38.53,29.46,129.5,714.82,60.99,0.0,231.56,2.47,0.01,27.01,0.0,0.0,15.57,31.59,0.52,4.09,2.59,4.32,0.23,0.18,19-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
