from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
23-Mar-2018 - 00:00,61.25,118.04,10.43,15.46,68.26,48.87,13.55,0.72,55.62,1.14,2.49,0.12,30.36,61.4,,42.08,144.67,0.03,1.04,0.0,24.23,24-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
24-Mar-2018 - 00:00,55.24,117.3,7.25,8.07,53.62,34.91,13.76,0.52,54.85,0.93,2.43,0.15,30.61,63.81,,70.77,176.79,0.01,1.0,0.0,23.72,25-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
25-Mar-2018 - 00:00,48.27,102.07,5.79,12.09,51.73,37.32,11.67,0.5,45.0,0.69,1.87,0.09,30.09,63.89,,76.25,142.01,-0.0,1.02,0.0,22.64,26-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
26-Mar-2018 - 00:00,47.33,87.69,12.45,29.38,83.02,68.04,10.29,0.51,34.75,0.78,2.39,0.17,30.54,53.66,,74.32,118.6,-0.01,1.12,0.0,22.78,27-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
27-Mar-2018 - 00:00,25.26,66.24,6.44,4.26,35.94,22.56,9.38,0.34,32.43,0.51,1.51,0.02,30.09,63.19,,64.2,198.76,0.02,1.04,0.0,22.75,28-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
28-Mar-2018 - 00:00,36.1,83.59,7.88,3.0,36.5,21.77,10.98,0.48,46.61,0.57,1.18,0.0,29.65,66.22,,62.32,189.11,0.02,1.0,0.0,23.66,29-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
29-Mar-2018 - 00:00,31.31,86.73,4.99,3.09,38.64,22.98,10.83,0.5,50.47,0.6,1.21,0.0,29.62,66.09,,67.02,199.7,0.03,1.2,0.0,24.08,30-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
30-Mar-2018 - 00:00,31.72,89.16,5.04,4.94,39.72,25.13,10.71,0.52,46.38,0.7,1.39,0.0,29.63,68.26,,60.52,197.45,0.05,1.15,0.0,23.39,31-Mar-2018 - 00:00,"Tirumala, Tirupati - APPCB"
31-Mar-2018 - 00:00,37.86,102.79,5.09,11.17,47.84,34.33,11.31,0.64,34.47,0.8,1.87,0.04,29.68,72.14,,53.17,175.62,0.04,1.06,0.0,23.16,01-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
01-Apr-2018 - 00:00,35.94,99.6,5.76,5.29,35.27,22.94,11.44,0.5,36.64,0.53,1.24,0.0,29.68,73.44,,65.42,190.68,0.05,1.2,0.0,23.12,02-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
02-Apr-2018 - 00:00,36.76,93.94,5.56,9.17,39.96,28.5,10.16,0.52,31.68,0.54,1.55,0.03,29.54,75.9,,43.89,165.99,0.02,1.06,0.0,22.27,03-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
03-Apr-2018 - 00:00,36.93,95.74,3.43,10.62,42.14,31.05,9.41,0.51,31.92,0.66,2.0,0.14,29.55,74.34,,50.38,144.71,0.01,1.05,0.0,22.91,04-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
04-Apr-2018 - 00:00,32.44,86.52,4.5,3.67,33.79,20.89,10.28,0.46,39.64,0.53,1.56,0.0,29.87,69.02,,76.03,147.48,0.01,0.95,0.0,23.26,05-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
05-Apr-2018 - 00:00,32.89,89.15,3.22,8.22,42.36,29.19,11.25,0.49,29.64,0.59,1.58,0.0,29.99,69.32,,73.79,156.77,0.03,0.98,0.0,22.71,06-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
06-Apr-2018 - 00:00,32.33,87.81,2.12,10.6,44.27,31.75,12.24,0.46,32.68,0.69,1.76,0.0,29.96,66.32,,78.49,165.8,0.02,0.99,0.0,23.27,07-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
07-Apr-2018 - 00:00,31.81,85.66,3.75,8.44,45.13,30.87,12.73,0.46,33.03,0.68,1.91,0.03,29.29,63.17,,51.55,173.49,0.01,0.99,0.0,23.27,08-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
08-Apr-2018 - 00:00,17.62,58.36,3.32,19.34,31.49,32.46,12.81,0.48,16.13,0.43,2.1,0.69,29.73,71.39,,82.26,137.05,-0.0,1.56,0.0,22.27,09-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
09-Apr-2018 - 00:00,30.59,70.19,7.53,18.16,42.26,37.24,11.78,0.38,23.59,0.5,1.81,0.03,30.04,69.94,,77.98,139.16,-0.01,1.18,0.0,22.13,10-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
10-Apr-2018 - 00:00,30.39,76.35,9.7,22.6,37.1,38.07,10.26,0.45,20.97,0.61,2.32,0.08,29.82,72.91,,74.83,134.2,-0.03,1.24,0.0,21.9,11-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
11-Apr-2018 - 00:00,16.98,56.54,6.18,12.91,36.68,30.0,8.55,0.43,23.14,0.48,1.77,0.11,29.75,73.0,,64.09,154.68,-0.0,1.29,0.0,22.59,12-Apr-2018 - 00:00,"Tirumala, Tirupati - APPCB"
