from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,THC,BP,station
27-Jan-2018 - 00:00,12.42,86.97,0.16,246.26,0.54,82.33,222.92,1.03,752.23,71.6,11.79,47.51,45.44,18.3,360.6,28-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Jan-2018 - 00:00,12.57,80.34,0.11,239.45,0.66,102.33,250.29,0.97,472.62,71.54,19.14,53.28,42.56,13.53,313.94,29-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
29-Jan-2018 - 00:00,14.27,72.3,0.05,236.06,0.64,101.21,249.79,0.89,540.81,74.36,21.25,56.54,41.83,18.02,576.74,30-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
30-Jan-2018 - 00:00,16.56,68.45,0.02,300.62,1.36,94.51,186.18,0.87,505.98,61.41,12.7,46.09,43.42,12.23,411.65,31-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
31-Jan-2018 - 00:00,17.75,64.24,-0.02,314.19,1.34,92.66,160.02,0.91,670.16,46.91,13.93,36.09,53.55,13.27,302.05,01-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Feb-2018 - 00:00,17.8,68.33,0.01,304.22,0.93,92.3,159.27,0.82,622.25,51.2,18.28,41.57,55.59,13.4,398.09,02-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Feb-2018 - 00:00,19.34,66.59,0.0,269.84,0.75,89.95,170.35,1.06,622.67,57.07,37.78,60.58,51.28,16.16,301.45,03-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Feb-2018 - 00:00,20.05,71.2,0.04,134.04,0.24,83.2,282.04,0.79,322.53,66.89,76.37,96.68,42.03,25.16,700.11,04-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Feb-2018 - 00:00,18.29,59.09,-0.06,294.21,1.21,95.31,183.63,0.92,685.76,48.6,13.22,36.43,53.99,17.95,254.69,05-Feb-2018 - 00:00,940.44,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Feb-2018 - 00:00,16.48,61.43,-0.04,306.35,0.93,67.59,144.73,0.88,730.69,48.71,12.66,36.02,53.64,20.26,294.46,06-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Feb-2018 - 00:00,16.76,62.26,-0.03,318.57,1.33,70.56,168.7,0.92,714.6,46.98,12.7,35.15,56.06,19.3,317.1,07-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Feb-2018 - 00:00,15.64,65.39,-0.01,307.86,1.31,53.56,181.66,0.81,722.3,48.55,14.65,37.5,54.73,13.06,256.34,08-Feb-2018 - 00:00,979.64,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Feb-2018 - 00:00,16.86,55.25,-0.09,324.34,0.97,88.97,309.4,0.75,722.82,50.25,12.5,36.72,53.41,20.67,311.21,09-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Feb-2018 - 00:00,17.43,50.69,-0.13,319.34,1.03,96.87,248.92,0.74,735.07,50.36,12.29,36.61,53.26,19.88,319.28,10-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Feb-2018 - 00:00,17.83,49.14,-0.14,298.02,0.86,96.42,94.97,0.93,651.24,55.97,18.96,44.94,50.63,14.34,351.67,11-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Feb-2018 - 00:00,17.1,58.06,-0.07,181.9,0.39,52.73,146.01,0.72,494.35,68.32,22.39,54.25,52.61,16.57,508.9,12-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Feb-2018 - 00:00,16.93,76.74,0.08,90.9,0.82,57.54,147.84,0.71,645.55,54.12,14.52,40.4,63.78,21.93,468.61,13-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Feb-2018 - 00:00,18.03,85.67,0.15,151.2,0.64,76.69,95.12,0.98,628.58,50.82,14.99,39.02,63.8,19.33,380.32,14-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Feb-2018 - 00:00,17.56,73.98,0.06,316.01,1.6,124.09,78.67,0.77,0.0,41.58,13.99,33.08,57.29,8.75,3.07,15-Feb-2018 - 00:00,1.69,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Feb-2018 - 00:00,15.88,71.84,0.04,353.38,1.6,103.5,78.99,0.6,305.99,39.3,12.36,30.79,56.09,11.66,245.27,16-Feb-2018 - 00:00,489.96,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Feb-2018 - 00:00,24.21,48.43,-0.33,340.0,1.46,91.78,82.31,1.24,675.6,22.12,10.54,32.66,63.7,13.13,233.0,17-Feb-2018 - 00:00,908.6,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Feb-2018 - 00:00,21.65,62.57,-0.05,297.58,0.75,55.07,115.57,0.85,579.59,31.17,16.25,47.42,54.05,16.34,615.38,18-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Feb-2018 - 00:00,17.93,77.66,0.25,288.37,0.69,96.87,123.15,0.91,540.29,27.08,14.11,41.19,54.61,13.6,250.33,19-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Feb-2018 - 00:00,23.65,38.45,-0.53,323.08,0.89,133.92,76.12,1.09,56.08,27.65,11.31,38.93,44.19,14.81,449.71,20-Feb-2018 - 00:00,195.65,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Feb-2018 - 00:00,20.66,53.34,-0.23,285.41,0.61,93.8,120.86,0.87,596.82,28.4,18.7,47.05,41.67,17.77,385.23,21-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Feb-2018 - 00:00,21.55,58.61,-0.13,242.87,0.58,88.66,246.97,0.92,446.06,34.03,34.42,68.18,37.76,15.43,410.66,22-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Feb-2018 - 00:00,23.85,56.79,-0.16,223.29,0.43,89.06,297.08,0.98,322.89,38.66,28.78,67.25,42.19,20.64,422.82,23-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Feb-2018 - 00:00,24.94,58.88,-0.12,186.51,0.35,85.53,248.03,1.01,287.19,36.21,33.9,70.11,39.24,19.71,520.73,24-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Feb-2018 - 00:00,25.84,60.72,-0.09,127.22,0.54,82.54,199.7,0.77,496.95,32.4,23.01,54.61,44.46,20.87,500.97,25-Feb-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Feb-2018 - 00:00,25.56,69.93,0.1,102.02,0.52,70.1,196.67,0.76,793.34,28.36,11.61,39.68,47.38,13.21,150.12,26-Feb-2018 - 00:00,942.39,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Feb-2018 - 00:00,23.06,61.04,-0.08,316.01,1.39,99.1,96.41,0.78,660.01,26.27,8.74,35.0,49.22,11.52,132.88,27-Feb-2018 - 00:00,836.97,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Feb-2018 - 00:00,22.73,59.35,-0.11,304.24,1.07,97.96,93.1,0.81,698.06,27.7,8.39,36.09,48.44,15.17,197.08,28-Feb-2018 - 00:00,960.31,,"Talkatora District Industries Center, Lucknow - CPCB"
28-Feb-2018 - 00:00,24.78,62.92,-0.04,272.8,0.63,89.04,137.82,0.86,625.72,29.28,9.48,38.45,47.45,13.78,313.36,01-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
01-Mar-2018 - 00:00,25.53,57.03,-0.16,307.51,0.95,93.89,134.92,0.81,667.14,26.65,9.64,36.28,45.8,10.81,163.57,02-Mar-2018 - 00:00,998.44,,"Talkatora District Industries Center, Lucknow - CPCB"
02-Mar-2018 - 00:00,25.72,56.14,-0.18,305.88,1.14,94.53,158.71,0.79,529.65,24.85,10.94,35.79,44.14,12.5,118.16,03-Mar-2018 - 00:00,956.71,,"Talkatora District Industries Center, Lucknow - CPCB"
03-Mar-2018 - 00:00,26.46,50.73,-0.29,309.28,1.22,96.99,118.9,0.81,638.05,24.54,11.8,36.33,43.94,12.68,156.43,04-Mar-2018 - 00:00,930.46,,"Talkatora District Industries Center, Lucknow - CPCB"
04-Mar-2018 - 00:00,26.61,52.06,-0.26,234.86,0.77,93.58,114.11,0.87,587.86,24.34,12.45,36.79,43.36,11.57,134.66,05-Mar-2018 - 00:00,922.96,,"Talkatora District Industries Center, Lucknow - CPCB"
05-Mar-2018 - 00:00,24.36,52.24,-0.26,282.25,0.86,89.28,93.12,0.81,646.52,24.71,11.21,35.9,43.85,11.33,123.51,06-Mar-2018 - 00:00,888.18,,"Talkatora District Industries Center, Lucknow - CPCB"
06-Mar-2018 - 00:00,23.29,48.83,-0.32,317.95,1.5,107.24,208.93,0.82,700.28,24.46,10.77,34.91,44.72,12.17,121.41,07-Mar-2018 - 00:00,869.3,,"Talkatora District Industries Center, Lucknow - CPCB"
07-Mar-2018 - 00:00,23.23,47.95,-0.34,308.22,1.13,108.6,137.46,0.83,617.28,27.48,11.86,39.34,43.36,12.99,196.09,08-Mar-2018 - 00:00,952.07,,"Talkatora District Industries Center, Lucknow - CPCB"
08-Mar-2018 - 00:00,23.99,45.85,-0.38,241.49,0.52,100.97,199.56,0.88,473.04,32.24,15.37,47.58,41.31,15.45,296.34,09-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
09-Mar-2018 - 00:00,24.73,47.1,-0.36,301.04,0.84,101.88,191.29,0.79,566.3,28.87,14.46,42.78,42.8,15.7,285.12,10-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
10-Mar-2018 - 00:00,25.77,42.74,-0.44,304.98,1.34,105.01,174.04,0.73,727.32,26.23,11.94,38.13,43.34,14.55,185.63,11-Mar-2018 - 00:00,934.55,,"Talkatora District Industries Center, Lucknow - CPCB"
11-Mar-2018 - 00:00,25.66,45.53,-0.39,287.97,1.02,102.59,176.32,0.86,605.71,24.74,13.12,37.86,43.45,21.34,141.89,12-Mar-2018 - 00:00,920.73,,"Talkatora District Industries Center, Lucknow - CPCB"
12-Mar-2018 - 00:00,26.2,48.19,-0.34,307.56,0.93,100.67,186.53,0.76,646.54,25.15,13.12,38.27,43.49,15.16,201.87,13-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
13-Mar-2018 - 00:00,27.12,45.33,-0.39,283.38,1.11,102.38,119.23,0.84,287.15,22.12,13.35,35.4,44.05,13.5,89.63,14-Mar-2018 - 00:00,328.48,,"Talkatora District Industries Center, Lucknow - CPCB"
14-Mar-2018 - 00:00,28.15,41.52,-0.47,180.03,0.33,90.08,180.98,0.77,309.45,35.02,18.77,40.16,43.3,20.85,526.94,15-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
15-Mar-2018 - 00:00,29.1,39.86,-0.5,197.86,0.93,81.08,159.62,0.76,624.0,40.81,16.37,34.81,44.45,23.73,349.41,16-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
16-Mar-2018 - 00:00,26.36,43.41,-0.43,218.98,0.77,99.95,140.63,0.8,810.85,41.25,14.42,33.48,44.49,17.72,284.2,17-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
17-Mar-2018 - 00:00,25.36,39.34,-0.51,304.26,1.2,103.12,87.14,0.64,386.25,41.79,14.4,35.92,35.0,12.68,171.05,18-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Mar-2018 - 00:00,25.64,30.53,-0.69,321.67,1.31,109.63,90.64,0.6,101.57,38.88,13.6,31.56,30.3,8.59,92.08,19-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Mar-2018 - 00:00,26.37,34.19,-0.62,301.35,0.69,103.9,114.64,0.61,380.8,40.58,13.85,32.61,30.49,6.14,267.03,20-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Mar-2018 - 00:00,28.34,36.0,-0.58,306.11,0.89,101.7,120.14,0.74,529.07,38.8,14.57,32.29,30.42,5.52,252.04,21-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Mar-2018 - 00:00,29.34,38.09,-0.54,176.78,0.51,86.54,135.58,0.63,388.35,38.62,16.34,33.61,30.22,5.48,454.07,22-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Mar-2018 - 00:00,29.44,35.62,-0.59,172.98,0.76,96.8,136.72,0.58,609.02,37.79,14.53,31.73,30.34,5.21,356.11,23-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Mar-2018 - 00:00,28.82,36.9,-0.56,270.7,1.02,100.4,139.61,0.75,772.73,37.52,13.97,31.14,30.3,4.29,266.47,24-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Mar-2018 - 00:00,27.32,41.58,-0.47,266.83,1.07,105.84,108.71,0.65,669.36,37.52,14.24,31.13,30.22,4.38,245.54,25-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Mar-2018 - 00:00,28.27,35.55,-0.59,321.76,1.19,108.42,120.85,0.63,839.49,36.64,13.93,30.58,30.33,5.02,136.8,26-Mar-2018 - 00:00,977.79,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Mar-2018 - 00:00,27.9,37.08,-0.56,306.14,1.18,103.58,75.92,0.6,740.18,36.99,14.47,30.92,30.19,4.75,207.42,27-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
27-Mar-2018 - 00:00,29.21,33.23,-0.64,298.7,1.1,105.89,98.34,0.67,608.59,37.4,13.81,30.94,30.18,4.89,255.37,28-Mar-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
