from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
10-Mar-2018 - 00:00,103.1,55.12,23.94,22.82,46.75,1.54,,29.89,11-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Mar-2018 - 00:00,117.97,61.04,23.44,23.21,46.65,1.5,,31.54,12-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Mar-2018 - 00:00,141.32,77.63,23.18,23.39,46.57,1.48,,32.21,13-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Mar-2018 - 00:00,155.31,76.11,23.76,23.11,46.88,1.52,,31.47,14-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Mar-2018 - 00:00,176.71,61.72,25.82,21.88,47.7,1.68,,27.11,15-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Mar-2018 - 00:00,178.05,63.91,26.32,21.53,47.85,1.71,,25.75,16-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Mar-2018 - 00:00,160.49,72.35,23.76,23.1,46.86,1.52,,31.4,17-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Mar-2018 - 00:00,121.13,59.52,23.17,23.44,46.6,1.48,,32.65,18-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Mar-2018 - 00:00,,56.71,23.11,23.55,46.66,1.47,,33.38,19-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Mar-2018 - 00:00,86.83,63.64,24.58,22.69,47.28,1.58,,30.39,20-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Mar-2018 - 00:00,159.29,83.68,23.06,23.66,46.71,1.47,,34.33,21-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Mar-2018 - 00:00,173.96,92.15,22.32,24.06,46.38,1.41,,35.52,22-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
