from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
24-Nov-2018 - 00:00,0.15,250.55,47.71,756.98,74.98,33.99,73.29,64.52,31.49,88.0,24.74,,1.19,9.91,1.06,2.91,12.28,3.31,4.01,1.95,25-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Nov-2018 - 00:00,0.1,219.64,51.86,756.84,69.73,109.89,88.93,135.2,30.99,117.71,26.67,,1.92,16.19,0.61,5.95,27.46,7.96,5.32,6.89,26-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Nov-2018 - 00:00,0.32,204.15,66.18,756.56,89.96,154.63,89.99,171.5,30.81,203.41,24.81,,2.26,7.25,0.58,7.59,27.54,8.03,8.15,6.72,27-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Nov-2018 - 00:00,-0.05,161.57,54.91,757.51,73.76,132.59,104.34,161.66,32.49,132.68,24.62,,3.46,9.7,0.72,5.56,20.57,10.43,9.96,6.34,28-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Nov-2018 - 00:00,-0.06,149.95,66.17,757.73,52.6,124.12,109.43,168.43,30.48,121.66,23.53,,2.8,11.13,0.52,10.96,48.65,15.7,13.38,11.08,29-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Nov-2018 - 00:00,0.31,205.33,70.95,758.07,61.19,168.36,106.2,200.81,24.96,164.07,22.34,,2.71,6.21,0.57,14.23,62.04,18.22,16.26,13.45,30-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Nov-2018 - 00:00,0.23,226.62,63.82,757.78,63.57,92.9,95.91,125.32,24.4,204.7,22.05,,2.09,7.92,0.61,13.97,40.34,8.8,8.88,6.66,01-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Dec-2018 - 00:00,0.15,217.95,59.16,756.09,64.75,127.14,86.79,147.87,27.03,143.77,21.31,,2.16,13.73,0.78,9.63,37.47,10.24,8.91,8.42,02-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Dec-2018 - 00:00,0.15,186.99,55.76,755.56,59.78,200.88,95.83,210.33,27.67,160.15,21.15,,3.07,17.21,0.52,9.55,40.64,16.83,12.77,11.14,03-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Dec-2018 - 00:00,0.15,181.64,60.56,756.14,54.68,212.79,93.45,239.59,27.03,184.92,20.66,,3.26,13.02,0.57,11.67,50.21,18.86,15.13,11.75,04-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Dec-2018 - 00:00,0.15,186.29,65.41,757.34,62.05,153.41,103.61,249.04,34.47,204.05,20.54,,3.7,14.58,0.54,19.76,80.39,24.02,21.04,17.63,05-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Dec-2018 - 00:00,-0.05,193.55,66.94,755.54,56.68,137.98,101.23,179.24,22.93,203.06,20.0,,3.42,14.88,0.72,17.73,68.99,22.26,20.09,15.32,06-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Dec-2018 - 00:00,-0.11,174.8,66.95,755.33,54.0,120.37,109.96,168.52,41.78,191.95,20.34,,3.19,12.77,0.46,13.39,51.63,15.34,14.55,9.03,07-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Dec-2018 - 00:00,-0.08,215.42,66.54,755.88,56.27,162.05,69.82,163.98,23.81,157.47,19.82,,1.83,5.03,0.54,6.82,18.09,3.95,3.92,2.87,08-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Dec-2018 - 00:00,0.02,177.49,79.19,756.71,49.88,258.32,50.24,109.58,10.7,109.99,16.73,,1.02,5.37,0.59,3.91,13.86,4.52,3.42,3.23,09-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Dec-2018 - 00:00,0.11,147.94,54.98,755.56,62.9,103.35,107.63,157.68,32.39,191.61,21.29,,3.24,17.9,0.54,7.59,27.35,11.88,8.2,7.72,10-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Dec-2018 - 00:00,-0.12,127.78,65.37,755.4,45.32,123.47,90.72,147.0,21.87,227.29,19.82,,2.36,13.14,0.81,7.82,21.7,8.95,5.2,6.19,11-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Dec-2018 - 00:00,-0.19,141.89,69.62,756.05,43.47,95.21,97.13,127.83,22.13,245.95,19.8,,1.88,12.09,0.66,5.54,15.2,5.99,2.97,4.52,12-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Dec-2018 - 00:00,0.16,116.13,68.8,756.86,40.06,83.26,71.9,104.8,20.14,218.46,19.97,,1.51,14.35,0.97,4.73,15.88,4.19,2.38,4.36,13-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Dec-2018 - 00:00,-0.2,200.13,71.49,758.99,53.88,30.13,61.99,57.05,19.14,86.04,18.64,,0.69,16.06,0.93,1.22,9.14,0.65,1.71,1.55,14-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Dec-2018 - 00:00,-0.08,277.14,72.18,760.42,67.43,28.56,67.65,58.65,17.79,98.53,18.27,,0.7,6.58,0.77,2.45,6.91,0.13,0.41,1.8,15-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Dec-2018 - 00:00,0.12,273.37,67.79,760.13,64.13,19.05,65.36,50.0,27.28,109.56,18.24,,0.62,9.66,0.91,2.58,6.57,0.17,1.66,1.15,16-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Dec-2018 - 00:00,0.17,226.89,63.03,760.34,61.12,34.51,69.42,64.49,21.14,161.34,17.96,,0.94,8.86,0.71,2.78,8.37,1.59,2.01,2.13,17-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Dec-2018 - 00:00,0.19,212.41,60.22,759.44,57.95,89.21,71.43,109.32,21.4,168.81,17.58,,1.49,12.64,0.63,3.91,16.15,3.68,5.27,3.96,18-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Dec-2018 - 00:00,0.2,246.01,57.18,758.35,57.79,63.85,83.56,95.49,24.08,204.26,18.51,,1.15,9.83,0.7,5.75,16.78,3.59,2.38,3.31,19-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Dec-2018 - 00:00,0.19,222.21,60.15,757.74,59.08,103.93,80.68,126.01,24.63,211.85,19.42,,1.69,10.27,0.66,7.8,26.36,6.75,4.33,6.58,20-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Dec-2018 - 00:00,0.18,191.7,64.01,757.99,63.04,204.32,78.12,201.59,22.83,259.25,19.01,,2.47,10.61,0.52,8.35,27.78,9.18,6.85,6.39,21-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Dec-2018 - 00:00,0.16,209.28,67.39,757.27,66.81,114.44,59.88,158.17,22.85,250.16,18.18,,2.82,11.8,0.64,9.91,26.18,7.82,7.14,5.93,22-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Dec-2018 - 00:00,0.16,153.99,68.98,757.49,55.6,163.26,102.69,212.69,21.16,365.32,18.27,,3.25,11.07,0.54,11.57,36.28,12.55,8.13,9.7,23-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Dec-2018 - 00:00,0.17,138.63,72.44,757.89,47.2,137.21,95.25,229.82,28.35,420.76,19.01,,3.57,9.58,0.67,11.8,37.83,15.04,12.21,8.87,24-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Dec-2018 - 00:00,0.11,180.52,72.77,757.41,51.16,208.84,110.81,249.32,20.87,359.22,18.85,,3.14,27.71,0.53,8.37,28.31,10.97,10.01,6.95,25-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Dec-2018 - 00:00,0.22,255.81,72.79,757.09,59.42,30.75,89.35,72.08,26.52,274.42,18.04,,1.68,27.51,0.74,5.87,15.26,2.28,1.88,2.66,26-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Dec-2018 - 00:00,0.17,220.68,66.37,756.14,63.65,92.47,101.96,128.0,30.95,241.74,17.67,,2.05,17.24,0.66,5.41,17.61,4.83,3.74,4.12,27-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Dec-2018 - 00:00,0.1,196.72,59.61,756.81,53.55,124.4,135.94,178.59,26.4,257.01,18.69,,2.39,7.41,0.66,6.96,24.94,6.66,6.81,5.46,28-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Dec-2018 - 00:00,0.22,251.11,67.21,757.17,58.35,63.51,97.29,102.5,30.37,218.7,17.46,,1.08,12.28,0.83,9.65,18.59,2.91,1.84,1.9,29-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Dec-2018 - 00:00,0.21,226.45,63.84,758.54,61.82,130.44,115.54,163.6,26.29,270.89,17.3,,2.33,13.92,0.72,9.87,29.57,7.55,5.34,5.93,30-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Dec-2018 - 00:00,0.18,180.99,63.22,759.83,58.99,149.49,150.32,201.44,24.56,359.93,18.28,,4.04,15.22,0.58,12.53,44.97,14.58,10.87,9.39,31-Dec-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-Dec-2018 - 00:00,0.22,86.45,67.5,760.35,12.05,266.44,146.94,291.31,9.98,491.9,17.14,,4.19,22.54,0.44,12.97,65.13,22.71,14.78,11.05,01-Jan-2019 - 00:00,"Shadipur, Delhi - CPCB"
