from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
14-Mar-2018 - 00:00,-0.08,180.64,24.54,750.2,141.1,40.33,46.58,57.02,26.45,138.69,29.71,,0.98,16.64,0.99,4.12,15.75,5.32,2.62,3.01,15-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Mar-2018 - 00:00,0.2,185.97,34.95,750.37,136.61,34.59,36.55,47.11,16.9,123.61,28.26,,0.78,10.87,1.36,20.43,25.01,15.61,12.16,12.0,16-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Mar-2018 - 00:00,0.23,238.81,33.48,751.32,142.43,38.46,34.05,48.85,23.43,118.76,27.23,,0.62,16.6,1.0,61.21,28.93,27.24,18.15,16.49,17-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Mar-2018 - 00:00,0.05,296.82,26.09,752.18,140.9,13.96,32.06,28.2,35.88,70.1,26.82,,0.76,13.54,1.22,12.81,14.28,9.65,5.32,3.29,18-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Mar-2018 - 00:00,0.4,226.67,24.87,753.05,138.94,17.12,34.37,31.95,39.93,79.51,27.27,,0.63,19.0,1.18,0.67,6.59,0.39,1.86,0.77,19-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Mar-2018 - 00:00,0.43,209.94,29.92,753.84,139.69,35.67,41.6,50.66,34.31,91.11,28.23,,0.61,20.33,1.3,0.99,11.72,1.48,4.23,1.72,20-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Mar-2018 - 00:00,0.44,171.7,39.28,751.86,110.96,58.9,44.3,70.65,39.08,141.79,29.6,,1.21,25.26,1.44,4.74,19.92,4.97,3.68,3.06,21-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Mar-2018 - 00:00,0.47,166.7,48.33,750.45,101.19,31.77,37.4,45.31,33.85,126.64,28.7,,1.24,32.97,1.75,6.03,15.65,3.66,6.81,3.07,22-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Mar-2018 - 00:00,0.19,175.21,56.32,751.12,98.71,19.35,31.65,32.31,36.54,73.83,27.01,,0.95,22.23,1.64,1.21,7.65,0.0,0.94,0.58,23-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Mar-2018 - 00:00,0.01,298.35,55.06,752.0,131.52,13.19,27.8,25.33,37.61,50.39,26.52,,0.53,10.82,1.0,0.58,7.15,0.1,3.62,0.5,24-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Mar-2018 - 00:00,-0.03,293.81,49.57,753.53,139.18,12.83,34.14,28.38,41.49,55.53,28.27,,0.52,10.69,1.14,0.73,6.33,0.0,2.94,0.55,25-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Mar-2018 - 00:00,0.08,287.61,49.78,754.27,135.61,12.52,38.75,30.37,35.97,63.45,28.66,,0.61,6.9,1.3,1.15,4.95,0.0,1.07,0.28,26-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Mar-2018 - 00:00,-0.01,272.59,41.71,753.11,157.22,18.1,53.21,42.35,33.59,95.47,29.52,,0.6,8.5,1.14,1.78,6.47,0.83,2.11,0.67,27-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Mar-2018 - 00:00,-0.21,206.38,34.97,750.88,148.87,68.57,89.61,102.52,32.84,138.12,30.53,,1.19,14.95,1.14,5.31,19.13,5.21,4.11,3.16,28-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Mar-2018 - 00:00,-0.22,255.03,31.37,750.29,147.64,114.59,79.41,133.91,38.7,123.26,31.11,,1.07,17.84,1.16,6.06,20.93,7.31,8.06,4.85,29-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Mar-2018 - 00:00,-0.27,293.25,33.45,749.91,141.83,10.19,55.29,37.57,42.87,73.19,30.56,,0.63,14.4,1.25,2.45,6.73,0.16,2.94,0.83,30-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Mar-2018 - 00:00,0.03,256.24,33.46,748.46,147.14,15.25,64.68,47.65,42.55,76.84,30.64,,0.79,14.19,1.5,3.24,12.56,1.74,2.97,1.41,31-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-Mar-2018 - 00:00,0.49,113.88,42.3,750.17,133.78,13.28,56.38,42.61,43.84,89.03,28.68,,0.81,13.48,1.68,2.95,8.64,1.1,0.87,1.21,01-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Apr-2018 - 00:00,0.62,118.53,41.1,751.14,140.21,9.6,48.49,35.48,53.46,60.4,29.99,,0.82,9.09,1.57,2.14,5.25,1.11,0.62,0.93,02-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Apr-2018 - 00:00,0.62,110.99,39.35,751.31,127.81,13.59,64.8,47.34,41.19,88.47,31.11,,0.96,11.83,1.36,3.48,7.63,1.24,0.58,1.16,03-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
