from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
06-Apr-2018 - 00:00,0.69,0.07,0.01,753.69,1.95,173.52,89.47,0.0,25.69,216.51,33.7,211.68,1.3,0.55,48.07,3.6,10.89,14.48,38.49,27.1,07-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Apr-2018 - 00:00,1.15,0.6,0.26,756.42,1.95,209.24,119.82,0.0,31.79,191.86,33.34,194.45,1.42,0.47,43.37,3.98,9.11,13.09,40.09,16.54,08-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Apr-2018 - 00:00,0.66,0.11,0.03,759.15,2.0,171.99,104.92,0.0,27.15,194.2,34.34,186.95,1.09,0.57,40.63,3.99,11.82,15.81,45.12,10.16,09-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Apr-2018 - 00:00,0.41,0.0,0.0,759.74,1.57,190.82,111.16,0.0,29.49,176.3,33.93,156.32,1.55,0.46,37.8,3.64,9.41,13.05,49.97,11.93,10-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Apr-2018 - 00:00,0.23,0.0,0.0,759.26,1.23,157.64,98.57,0.0,28.7,206.17,33.96,151.81,1.89,0.49,41.04,3.4,8.87,12.26,62.98,20.1,11-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Apr-2018 - 00:00,0.49,0.0,0.0,758.7,1.78,304.98,139.27,0.0,28.23,186.15,33.94,237.38,1.29,0.54,35.56,3.4,8.81,12.21,40.31,26.92,12-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Apr-2018 - 00:00,0.38,0.01,0.0,758.4,1.68,212.51,104.05,0.0,27.07,190.24,34.02,214.42,1.46,0.55,33.77,3.44,8.58,12.03,46.5,15.09,13-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Apr-2018 - 00:00,0.36,0.0,0.0,758.26,1.49,190.54,88.98,0.0,27.99,172.31,33.82,115.16,1.79,0.49,33.61,3.45,8.11,11.56,55.17,10.58,14-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Apr-2018 - 00:00,0.62,0.02,0.0,757.11,1.96,155.7,88.4,0.0,23.7,192.28,35.36,197.33,1.48,0.49,34.03,3.13,8.25,11.38,52.44,19.58,15-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Apr-2018 - 00:00,0.44,0.01,0.0,757.21,2.14,178.72,77.64,0.0,24.26,195.83,34.79,200.88,1.52,0.45,45.97,3.41,7.72,11.14,37.48,10.41,16-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Apr-2018 - 00:00,0.37,0.01,0.0,758.18,1.83,163.42,90.04,0.0,25.96,185.33,34.98,220.34,1.47,0.43,37.79,3.49,6.83,10.32,28.97,5.58,17-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Apr-2018 - 00:00,0.58,0.06,0.01,757.8,2.37,175.41,85.56,0.0,19.09,207.82,34.35,238.36,1.47,0.42,33.3,3.35,8.68,12.03,39.57,12.11,18-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Apr-2018 - 00:00,1.27,0.34,0.12,756.26,3.06,208.88,117.67,0.0,19.75,218.67,34.57,213.51,1.03,0.43,30.72,4.83,11.05,15.88,42.1,10.42,19-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Apr-2018 - 00:00,0.45,0.01,0.0,754.42,1.83,192.75,118.85,0.0,20.37,210.54,35.46,248.27,1.34,0.26,30.42,3.2,7.53,10.73,46.69,10.43,20-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Apr-2018 - 00:00,0.31,0.01,0.0,754.2,1.43,264.82,148.97,0.0,27.04,208.8,33.53,253.34,2.41,0.3,30.2,3.08,5.9,8.98,40.22,9.79,21-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Apr-2018 - 00:00,0.29,0.01,0.0,755.9,1.12,380.85,175.41,0.0,14.24,226.45,32.21,176.54,1.51,0.2,24.84,3.2,6.26,9.46,69.15,13.72,22-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Apr-2018 - 00:00,0.39,0.01,0.0,756.62,1.53,211.96,113.09,0.0,13.41,231.25,31.6,181.08,1.25,0.31,25.64,3.31,7.54,10.85,62.21,11.33,23-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Apr-2018 - 00:00,0.94,0.29,0.09,756.55,3.04,160.17,99.99,0.0,14.99,230.46,32.55,172.46,0.93,0.63,31.54,4.38,11.76,16.14,51.31,16.47,24-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
