from date,NO,NOx,NO2,SO2,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,CO,BP,station
20-Nov-2018 - 00:00,10.14,30.11,19.97,4.08,8.51,20.78,0.86,55.98,25.97,0.48,1.38,0.3,0.0,0.03,,0.03,197.89,21-Nov-2018 - 00:00,0.96,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Nov-2018 - 00:00,4.18,21.4,17.34,3.0,14.02,23.13,0.62,51.46,25.13,0.06,2.0,0.14,0.0,0.01,,-0.03,107.98,22-Nov-2018 - 00:00,1.22,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Nov-2018 - 00:00,7.77,21.17,13.4,3.99,10.17,16.75,0.89,45.74,24.86,0.06,1.68,0.15,0.0,0.01,,0.06,71.18,23-Nov-2018 - 00:00,1.0,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Nov-2018 - 00:00,11.33,28.62,17.29,4.22,9.06,35.34,0.84,64.96,24.6,0.32,0.82,0.25,0.0,0.08,,-0.0,61.27,24-Nov-2018 - 00:00,1.25,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Nov-2018 - 00:00,5.92,24.93,19.3,3.41,14.39,118.19,0.84,72.05,25.26,0.43,0.71,0.13,0.0,0.04,,-0.02,164.01,25-Nov-2018 - 00:00,1.06,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Nov-2018 - 00:00,3.82,22.12,18.29,2.77,30.24,36.36,0.74,70.93,25.35,0.4,0.81,0.07,0.0,0.02,,-0.05,156.98,26-Nov-2018 - 00:00,0.87,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Nov-2018 - 00:00,4.86,28.59,23.74,3.57,42.53,46.77,0.83,64.08,24.98,0.47,0.93,0.18,0.0,0.03,,-0.01,161.35,27-Nov-2018 - 00:00,0.76,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Nov-2018 - 00:00,5.31,29.1,23.79,3.9,49.32,37.88,0.86,76.96,24.28,0.38,0.78,0.22,0.0,0.01,,0.01,188.7,28-Nov-2018 - 00:00,0.93,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Nov-2018 - 00:00,6.28,30.26,23.98,3.93,39.46,37.57,0.85,78.17,24.45,0.6,1.06,0.25,0.0,0.0,,0.01,178.33,29-Nov-2018 - 00:00,1.09,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Nov-2018 - 00:00,6.57,24.98,18.41,3.52,21.49,24.41,0.85,72.27,25.0,0.28,0.57,0.1,0.0,0.07,,0.01,144.18,30-Nov-2018 - 00:00,0.88,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Nov-2018 - 00:00,6.4,26.26,19.94,3.21,21.84,43.52,0.81,77.3,25.28,0.4,0.25,0.08,0.0,0.12,,-0.01,173.92,01-Dec-2018 - 00:00,1.0,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Dec-2018 - 00:00,4.89,24.06,19.17,3.94,30.28,27.36,0.79,66.54,25.04,0.31,0.49,0.06,0.0,0.0,,-0.01,157.58,02-Dec-2018 - 00:00,0.95,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Dec-2018 - 00:00,4.32,21.25,16.93,4.86,32.43,24.6,0.79,80.32,24.6,0.19,0.23,0.01,0.0,0.02,,-0.02,184.41,03-Dec-2018 - 00:00,0.95,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Dec-2018 - 00:00,7.35,25.21,17.99,3.54,20.72,62.51,0.88,74.74,24.68,0.31,0.17,0.04,0.0,0.19,,0.03,149.1,04-Dec-2018 - 00:00,0.93,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Dec-2018 - 00:00,8.9,26.02,17.12,3.85,7.32,15.75,0.86,74.74,24.98,0.33,0.97,0.23,0.2,0.0,,0.01,95.41,05-Dec-2018 - 00:00,0.85,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Dec-2018 - 00:00,11.12,28.04,16.92,3.7,6.0,22.44,0.83,82.41,25.35,0.15,0.31,0.03,0.0,0.24,,-0.01,153.78,06-Dec-2018 - 00:00,1.0,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Dec-2018 - 00:00,7.46,25.24,17.78,3.71,8.15,24.74,0.84,79.15,25.51,0.2,0.35,0.1,0.0,0.01,,0.0,142.52,07-Dec-2018 - 00:00,0.81,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Dec-2018 - 00:00,10.74,30.35,19.62,4.46,9.32,30.21,0.86,76.55,25.1,0.33,0.96,0.42,0.0,0.07,,0.0,156.27,08-Dec-2018 - 00:00,0.98,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Dec-2018 - 00:00,5.24,24.66,19.42,3.89,21.28,37.6,0.85,80.67,24.98,0.6,0.57,0.07,0.0,0.07,,-0.0,168.67,09-Dec-2018 - 00:00,0.86,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Dec-2018 - 00:00,3.63,19.39,15.77,3.28,44.2,42.02,0.84,76.06,25.28,0.34,0.25,0.0,0.05,0.0,,0.0,176.97,10-Dec-2018 - 00:00,1.01,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Dec-2018 - 00:00,6.45,29.77,23.32,3.35,34.91,51.59,0.73,84.1,25.09,0.44,0.27,0.18,0.01,0.09,,-0.05,149.0,11-Dec-2018 - 00:00,1.04,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Dec-2018 - 00:00,6.23,31.91,25.67,3.91,37.3,46.98,0.72,88.01,25.34,0.59,0.86,0.19,0.0,0.01,,-0.05,156.13,12-Dec-2018 - 00:00,0.86,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Dec-2018 - 00:00,7.63,37.55,29.92,3.95,33.04,47.07,0.73,98.52,25.5,0.65,0.97,0.3,0.0,0.07,,-0.06,152.28,13-Dec-2018 - 00:00,0.97,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Dec-2018 - 00:00,7.95,35.75,27.78,4.5,27.05,47.56,0.75,115.78,25.05,0.85,0.83,0.2,0.01,0.05,,-0.06,113.03,14-Dec-2018 - 00:00,0.95,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Dec-2018 - 00:00,7.75,32.53,24.78,3.97,28.86,42.25,0.83,75.49,25.19,0.69,0.29,0.15,0.0,0.14,,-0.01,164.3,15-Dec-2018 - 00:00,1.07,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Dec-2018 - 00:00,5.43,26.78,21.79,3.38,35.48,44.41,0.83,41.86,24.95,0.28,0.61,0.01,0.0,0.03,,0.02,165.99,16-Dec-2018 - 00:00,1.08,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Dec-2018 - 00:00,3.18,23.53,20.35,4.94,63.78,42.41,0.5,159.34,24.44,0.4,0.38,0.02,0.0,0.04,,-0.09,126.02,17-Dec-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Dec-2018 - 00:00,31.1,65.02,33.92,6.7,33.93,54.06,0.76,257.17,24.33,1.89,2.0,1.58,0.4,0.36,,-0.08,109.99,18-Dec-2018 - 00:00,1.32,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Dec-2018 - 00:00,76.31,120.78,44.56,5.97,19.98,74.58,0.6,225.6,24.49,3.28,10.03,5.19,0.43,1.56,,-0.09,119.93,19-Dec-2018 - 00:00,2.12,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Dec-2018 - 00:00,7.34,35.13,27.79,3.15,31.97,44.63,0.76,78.99,24.77,0.58,0.99,0.47,0.02,0.14,,-0.04,147.34,20-Dec-2018 - 00:00,0.98,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Dec-2018 - 00:00,6.55,30.03,23.48,3.96,39.94,33.52,0.77,84.49,25.1,0.22,0.62,0.1,0.0,0.03,,-0.02,145.62,21-Dec-2018 - 00:00,0.96,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Dec-2018 - 00:00,13.46,36.06,22.68,4.29,36.51,49.43,0.77,78.15,25.21,0.5,0.29,0.18,0.08,0.33,,-0.03,149.74,22-Dec-2018 - 00:00,1.23,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Dec-2018 - 00:00,4.98,24.56,19.59,4.5,28.55,30.41,0.84,72.85,25.26,0.27,0.24,0.01,0.0,0.01,,-0.0,155.62,23-Dec-2018 - 00:00,1.07,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Dec-2018 - 00:00,3.16,15.5,12.56,3.41,33.02,34.92,0.89,72.61,25.32,0.03,0.02,0.0,0.0,0.0,,0.04,137.57,24-Dec-2018 - 00:00,1.05,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Dec-2018 - 00:00,4.57,21.65,17.08,3.67,25.59,38.69,0.83,75.85,25.37,0.2,0.02,0.0,0.0,0.06,,-0.01,158.72,25-Dec-2018 - 00:00,0.85,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Dec-2018 - 00:00,3.98,23.78,20.07,3.3,32.78,31.57,0.82,73.73,25.26,0.6,0.08,0.0,0.01,0.02,,-0.02,145.45,26-Dec-2018 - 00:00,1.41,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Dec-2018 - 00:00,5.73,29.45,24.02,2.32,29.2,111.24,0.79,76.02,25.42,0.59,0.0,0.01,0.04,0.04,,-0.04,152.02,27-Dec-2018 - 00:00,2.19,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Dec-2018 - 00:00,6.74,32.84,26.1,2.62,28.61,36.57,0.69,183.19,25.71,0.64,0.0,0.0,0.02,0.33,,-0.07,138.24,28-Dec-2018 - 00:00,0.71,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Dec-2018 - 00:00,5.36,27.39,22.33,3.44,33.82,54.63,0.81,83.57,25.18,0.62,0.0,0.0,0.02,0.13,,-0.03,108.23,29-Dec-2018 - 00:00,0.93,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Dec-2018 - 00:00,3.9,20.44,16.54,3.97,42.38,39.83,0.87,71.52,25.03,0.13,0.0,0.0,0.0,0.01,,0.02,88.55,30-Dec-2018 - 00:00,0.97,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Dec-2018 - 00:00,3.25,18.32,15.28,3.75,58.58,63.16,0.87,71.41,24.55,0.16,0.0,0.0,0.0,0.0,,0.03,134.88,31-Dec-2018 - 00:00,1.19,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Dec-2018 - 00:00,3.77,16.43,12.67,3.81,58.88,49.18,0.91,72.49,23.39,0.21,0.0,0.0,0.79,0.0,,0.02,6.66,01-Jan-2019 - 00:00,0.95,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
