from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
06-May-2018 - 00:00,32.67,981.47,99.16,305.36,35.22,131.36,100.03,1.25,2.22,2.37,0.28,48.72,67.08,28.33,60.18,1.25,19.61,3.41,07-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-May-2018 - 00:00,33.51,979.46,99.09,351.82,31.82,125.09,228.76,0.7,2.37,3.92,0.8,40.81,94.8,34.88,72.89,1.61,25.13,3.06,08-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-May-2018 - 00:00,30.66,980.19,49.49,147.42,36.12,152.78,241.4,1.42,1.09,2.2,0.2,43.36,16.14,4.96,33.03,0.73,26.29,2.04,09-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-May-2018 - 00:00,28.95,981.9,67.11,191.86,44.16,92.54,155.72,0.88,0.83,3.06,0.32,62.89,16.43,13.25,35.48,1.12,23.32,3.67,10-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-May-2018 - 00:00,31.79,982.68,92.14,247.3,39.11,140.85,208.27,0.73,0.76,3.74,0.38,63.51,23.14,23.15,48.3,1.35,28.36,3.71,11-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-May-2018 - 00:00,35.02,979.64,137.32,354.81,30.76,131.72,213.28,0.81,1.54,3.49,0.53,50.19,24.52,13.94,46.42,1.58,31.78,4.32,12-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-May-2018 - 00:00,35.5,978.88,159.04,418.33,36.57,102.78,113.02,0.91,2.76,6.62,0.52,60.32,29.36,12.01,45.33,1.56,17.78,8.11,13-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-May-2018 - 00:00,32.34,979.17,76.0,227.04,47.92,102.89,113.25,1.8,0.32,2.07,0.11,64.05,23.84,2.77,26.07,0.92,19.79,7.42,14-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-May-2018 - 00:00,29.71,980.68,54.12,161.21,49.48,126.71,135.94,0.98,1.17,3.51,0.18,50.5,36.63,9.38,49.11,0.91,19.7,8.87,15-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-May-2018 - 00:00,32.43,979.24,71.92,200.42,47.18,126.77,113.23,0.85,8.26,0.36,0.1,9.86,48.46,3.0,59.68,1.12,26.02,1.27,16-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-May-2018 - 00:00,34.62,978.02,74.71,254.3,33.45,138.89,243.28,1.08,2.37,1.06,0.76,22.21,34.41,20.85,55.72,1.22,21.67,2.33,17-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-May-2018 - 00:00,35.79,978.07,96.21,318.67,24.63,130.66,185.37,0.99,0.58,2.1,0.23,65.69,29.17,8.97,38.64,1.13,40.2,8.04,18-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-May-2018 - 00:00,34.85,977.94,94.0,280.79,29.1,134.72,111.65,0.9,0.85,3.41,0.47,66.31,29.36,20.85,45.32,1.28,34.54,8.78,19-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-May-2018 - 00:00,34.36,977.94,99.29,327.29,33.3,111.79,197.83,1.03,1.19,2.93,0.44,60.31,43.44,32.18,63.69,1.43,25.39,7.07,20-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-May-2018 - 00:00,35.36,979.11,70.92,238.08,24.42,128.88,180.06,1.05,0.51,2.01,0.26,55.97,24.95,12.21,37.21,1.09,35.53,8.11,21-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-May-2018 - 00:00,36.43,979.48,56.12,229.21,15.32,143.52,229.83,1.26,0.51,2.16,0.35,42.46,19.51,10.97,31.2,1.17,29.45,7.75,22-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-May-2018 - 00:00,37.25,978.34,81.12,282.62,16.07,139.11,195.15,0.88,2.52,2.46,0.94,27.99,18.91,9.6,40.98,1.57,34.37,4.19,23-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-May-2018 - 00:00,37.37,977.22,115.92,359.33,23.41,124.83,136.89,0.79,4.5,2.38,0.95,28.64,32.44,20.27,64.49,2.0,42.83,4.27,24-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-May-2018 - 00:00,36.01,976.48,113.42,344.04,25.71,111.1,190.24,0.91,1.91,2.96,0.73,49.59,20.06,16.71,50.29,2.03,36.81,7.75,25-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-May-2018 - 00:00,37.06,976.75,82.67,304.88,17.16,138.94,252.64,0.82,2.07,2.51,0.74,35.44,24.54,24.05,50.56,1.76,33.77,4.74,26-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-May-2018 - 00:00,37.84,975.56,86.5,280.21,15.15,129.97,243.42,0.76,1.83,1.67,0.95,24.38,25.9,14.1,45.02,1.6,31.28,4.73,27-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-May-2018 - 00:00,37.66,975.0,85.17,354.25,15.08,140.24,194.4,1.0,3.36,0.37,,7.75,24.32,9.18,51.69,1.3,28.41,0.78,28-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-May-2018 - 00:00,36.51,973.62,97.75,303.71,24.03,117.71,98.45,0.94,2.35,2.05,0.95,20.32,17.65,6.3,60.05,1.51,37.79,2.35,29-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-May-2018 - 00:00,37.36,972.57,103.08,351.75,29.92,119.47,161.77,1.4,2.17,0.6,0.44,12.71,26.26,6.95,64.63,1.3,33.77,1.32,30-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-May-2018 - 00:00,34.71,974.54,55.96,315.04,40.73,114.94,148.05,1.56,1.74,0.21,,9.4,37.26,1.84,55.27,1.0,27.71,0.34,31-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-May-2018 - 00:00,36.19,976.25,75.62,282.5,38.75,116.37,141.54,2.77,1.82,0.27,,9.25,20.35,2.98,49.53,1.09,23.48,0.51,01-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Jun-2018 - 00:00,34.76,977.43,68.62,250.04,46.62,116.67,115.91,2.02,1.72,0.49,0.55,11.29,26.86,1.17,46.07,0.91,31.62,1.03,02-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Jun-2018 - 00:00,32.12,978.14,42.96,157.17,45.34,115.58,123.06,1.16,10.85,7.85,0.95,16.81,11.52,1.72,32.83,0.81,34.86,3.17,03-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Jun-2018 - 00:00,33.58,975.82,82.08,146.0,50.84,115.5,102.8,1.08,5.83,2.38,0.79,14.29,14.16,1.4,38.33,0.87,33.9,2.64,04-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Jun-2018 - 00:00,35.99,974.87,57.5,194.75,45.9,105.95,134.0,1.37,1.91,5.73,1.0,34.52,12.63,1.91,18.59,0.94,34.06,7.49,05-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Jun-2018 - 00:00,36.39,977.16,48.0,164.17,44.45,113.46,114.98,1.21,8.88,14.43,1.19,22.94,12.03,1.58,21.11,0.92,31.37,5.45,06-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Jun-2018 - 00:00,33.59,978.81,56.79,181.08,55.34,85.42,85.96,1.28,4.5,13.31,1.62,29.86,15.26,1.98,20.73,0.97,26.87,6.9,07-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Jun-2018 - 00:00,38.61,973.23,69.02,190.04,39.51,160.45,111.41,1.3,19.43,16.54,1.17,35.23,13.76,2.0,52.25,2.15,35.55,5.21,08-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Jun-2018 - 00:00,36.1,971.55,74.94,244.94,51.05,110.0,135.45,1.58,5.69,2.67,0.92,14.27,28.46,3.25,32.32,0.42,15.3,4.47,09-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Jun-2018 - 00:00,32.29,970.67,48.41,135.08,68.16,122.59,142.4,1.22,21.33,15.31,2.17,29.55,15.79,5.26,65.17,1.95,14.04,3.78,10-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Jun-2018 - 00:00,32.89,971.38,59.08,161.5,59.67,113.63,209.82,0.75,3.78,6.45,1.91,32.71,15.01,8.75,36.86,1.0,31.07,4.68,11-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Jun-2018 - 00:00,35.82,969.33,65.58,252.08,47.02,116.14,264.45,0.96,3.01,5.43,2.28,31.0,16.65,8.05,37.61,1.13,19.37,4.78,12-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Jun-2018 - 00:00,37.63,967.05,119.92,521.44,38.97,101.03,252.81,1.02,3.33,4.7,3.1,22.72,14.93,10.13,33.11,0.96,12.59,4.52,13-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Jun-2018 - 00:00,38.68,967.0,207.67,869.75,33.1,99.5,248.23,1.34,2.08,3.26,1.66,16.75,14.95,9.53,24.4,0.82,9.95,2.3,14-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Jun-2018 - 00:00,37.74,969.11,154.12,850.72,31.53,112.68,241.63,1.41,1.96,3.58,2.07,15.28,15.28,10.77,26.95,0.76,13.45,2.16,15-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Jun-2018 - 00:00,37.2,971.41,106.67,563.59,32.53,126.05,217.11,1.25,2.5,3.13,1.99,11.98,15.82,9.47,21.55,0.83,12.63,1.58,16-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Jun-2018 - 00:00,35.63,973.66,95.67,560.92,43.3,111.35,188.43,1.09,3.88,2.5,0.9,12.19,12.18,3.24,31.84,0.86,9.82,2.1,17-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Jun-2018 - 00:00,32.58,974.86,77.04,322.33,53.04,119.05,99.0,1.32,5.06,1.95,0.66,9.76,14.43,1.84,31.31,0.86,27.55,1.48,18-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Jun-2018 - 00:00,33.35,974.85,54.92,197.38,45.56,117.21,228.21,1.01,3.33,6.47,1.27,24.79,13.31,5.53,22.04,0.93,60.32,3.71,19-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Jun-2018 - 00:00,34.31,975.03,48.88,169.29,44.27,126.46,214.94,0.97,1.77,6.98,2.02,23.56,13.17,2.76,17.55,0.9,25.97,3.65,20-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Jun-2018 - 00:00,36.26,975.59,64.49,256.86,43.35,99.06,141.32,1.12,3.64,17.99,2.17,26.45,16.42,7.16,24.08,1.13,35.86,5.46,21-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Jun-2018 - 00:00,36.75,975.41,69.48,299.16,39.38,98.27,145.0,1.04,5.32,12.01,2.31,26.75,17.49,3.12,24.52,1.05,37.96,5.07,22-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Jun-2018 - 00:00,37.61,974.34,85.2,319.09,38.35,94.64,140.59,0.69,4.17,17.87,6.1,32.22,32.2,22.53,43.11,1.33,43.46,6.46,23-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Jun-2018 - 00:00,37.94,973.76,76.19,290.99,36.66,103.03,170.35,1.0,3.31,8.89,1.94,33.95,21.46,13.42,35.45,1.19,40.97,5.76,24-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Jun-2018 - 00:00,38.1,973.14,31.72,213.81,42.37,89.99,196.24,2.12,0.0,0.0,0.0,23.15,24.34,5.31,24.64,1.12,28.39,12.19,25-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Jun-2018 - 00:00,,,0.0,,64.82,37.81,,6.64,,,,23.03,30.99,8.63,23.27,1.08,16.95,10.89,26-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Jun-2018 - 00:00,32.3,972.03,13.96,195.79,47.18,35.59,186.9,11.68,0.0,0.0,,20.1,30.08,8.55,22.98,1.18,11.25,13.16,27-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Jun-2018 - 00:00,31.34,973.93,44.57,130.14,69.09,100.39,130.17,1.13,1.1,49.0,,31.26,21.81,3.85,14.64,1.24,21.02,11.71,28-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Jun-2018 - 00:00,29.89,975.35,15.71,58.55,80.58,96.71,106.59,1.15,2.22,34.15,,34.75,15.64,3.45,11.13,1.07,9.87,7.84,29-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Jun-2018 - 00:00,29.89,975.32,30.52,75.6,81.33,73.1,135.48,1.14,2.72,34.46,,28.97,18.85,7.53,16.23,1.32,8.11,10.54,30-Jun-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Jun-2018 - 00:00,32.04,975.66,32.23,88.58,71.94,116.98,177.98,0.81,3.06,28.69,,30.01,19.78,7.92,16.98,1.26,9.74,7.9,01-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Jul-2018 - 00:00,33.03,974.32,26.06,100.62,68.06,95.57,241.52,0.98,1.59,21.89,,27.17,15.98,7.92,14.96,1.12,10.47,7.98,02-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Jul-2018 - 00:00,32.43,972.08,22.17,92.58,65.56,109.89,219.16,1.26,1.15,20.55,,21.14,15.51,4.88,12.23,1.04,10.78,8.59,03-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Jul-2018 - 00:00,30.98,972.52,38.42,113.23,76.57,99.48,120.99,0.79,2.94,34.26,,25.31,18.36,6.51,15.08,1.18,14.79,10.35,04-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Jul-2018 - 00:00,31.64,972.82,36.0,119.31,71.08,121.13,143.26,0.78,2.57,28.42,,26.92,16.25,4.26,12.11,1.14,16.49,10.76,05-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Jul-2018 - 00:00,31.54,974.14,43.62,153.25,72.78,69.18,176.17,0.77,4.48,47.89,,27.13,20.09,12.47,20.84,1.63,13.58,10.14,06-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Jul-2018 - 00:00,33.43,974.24,45.69,190.85,59.98,126.09,225.22,0.64,4.17,36.88,,32.0,25.48,20.87,30.56,1.5,10.88,8.51,07-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Jul-2018 - 00:00,34.06,973.54,58.83,184.23,56.58,110.91,156.05,0.74,3.04,34.27,,36.49,23.09,11.04,21.29,1.33,27.13,10.07,08-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Jul-2018 - 00:00,35.39,972.53,75.42,223.56,52.22,124.35,127.73,0.65,4.34,38.78,,42.4,20.17,25.97,31.9,1.47,36.68,10.81,09-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Jul-2018 - 00:00,34.72,972.56,59.66,164.81,62.74,96.01,125.22,0.92,2.69,26.71,,37.13,13.84,1.92,8.94,1.2,24.25,10.11,10-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Jul-2018 - 00:00,33.94,973.09,35.9,106.23,68.76,97.36,117.4,0.92,2.14,32.94,,29.22,11.99,2.43,8.36,1.09,15.29,14.39,11-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Jul-2018 - 00:00,31.56,972.59,33.3,106.39,76.79,51.82,141.29,0.91,2.66,30.42,,24.39,15.52,3.82,11.36,1.25,9.01,10.09,12-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Jul-2018 - 00:00,32.13,972.07,37.98,131.54,70.65,82.84,171.87,0.84,2.32,25.57,,23.55,21.65,9.89,19.58,1.21,18.55,10.08,13-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Jul-2018 - 00:00,29.15,973.32,19.54,55.85,86.03,50.31,130.83,0.75,2.22,33.67,,23.95,18.67,6.32,15.07,1.18,6.96,14.21,14-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Jul-2018 - 00:00,29.63,972.99,22.54,58.84,86.44,89.19,98.5,0.79,3.98,40.24,,24.75,15.07,5.44,12.56,1.11,13.97,9.7,15-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Jul-2018 - 00:00,30.49,972.66,25.82,65.58,83.37,69.28,123.59,0.79,2.25,33.38,,21.61,16.13,4.15,11.96,1.11,4.97,12.97,16-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Jul-2018 - 00:00,31.04,973.11,32.7,85.62,84.51,46.15,135.56,0.85,3.28,40.91,,24.86,20.02,7.15,16.48,1.34,5.58,10.64,17-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Jul-2018 - 00:00,33.13,973.41,21.26,75.95,70.9,92.41,108.03,0.78,3.03,82.11,,26.66,16.17,5.35,12.97,1.13,6.87,10.68,18-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Jul-2018 - 00:00,33.12,974.05,26.78,94.57,70.22,84.01,95.08,0.93,2.67,75.77,,28.17,17.1,4.94,13.13,1.11,20.88,11.09,19-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Jul-2018 - 00:00,32.8,973.8,23.42,75.46,72.76,102.32,121.99,0.88,2.42,58.45,,28.4,14.92,4.88,11.93,1.1,13.85,9.02,20-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Jul-2018 - 00:00,29.83,973.28,32.41,77.64,86.99,47.72,187.55,0.67,3.31,38.89,,26.72,23.83,12.05,22.49,1.12,9.07,7.93,21-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Jul-2018 - 00:00,29.35,973.59,42.43,97.08,88.67,39.26,142.26,0.58,3.68,58.02,,30.16,22.17,13.53,22.81,0.88,17.8,8.84,22-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Jul-2018 - 00:00,28.52,974.16,14.56,46.9,93.66,50.46,140.94,0.58,1.84,33.89,,27.74,16.55,8.67,15.88,0.66,2.62,8.01,23-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Jul-2018 - 00:00,31.05,973.99,28.09,72.74,78.95,90.95,118.3,0.85,2.65,38.88,,26.03,16.52,12.36,18.85,0.77,5.16,8.8,24-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Jul-2018 - 00:00,32.42,974.45,19.46,70.65,71.26,98.19,132.59,0.75,2.42,48.43,,25.06,15.34,6.92,13.8,0.62,11.61,7.92,25-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Jul-2018 - 00:00,29.15,973.95,19.99,67.01,90.21,28.63,197.4,0.89,1.89,24.78,,24.88,17.19,14.98,21.32,0.82,2.48,7.16,26-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Jul-2018 - 00:00,27.19,973.84,22.1,59.75,96.6,24.19,239.48,0.79,2.25,28.7,,21.65,17.37,18.5,24.34,0.8,1.63,6.13,27-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Jul-2018 - 00:00,27.04,972.9,14.51,35.93,96.41,32.06,310.65,0.97,2.85,30.57,,16.52,18.7,12.76,20.35,0.88,1.26,6.51,28-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Jul-2018 - 00:00,27.69,973.57,29.23,67.17,93.84,50.26,261.33,0.68,3.07,33.11,,19.05,18.98,15.31,22.61,0.99,1.43,7.68,29-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Jul-2018 - 00:00,30.56,974.21,34.21,126.33,80.89,89.22,257.59,0.54,2.26,28.27,,27.25,17.58,21.7,27.06,0.83,7.66,7.66,30-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Jul-2018 - 00:00,30.55,973.78,29.52,129.58,78.01,84.4,256.98,0.61,2.18,27.78,,22.57,18.46,19.62,25.81,0.86,7.65,7.74,31-Jul-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Jul-2018 - 00:00,30.17,973.03,38.73,177.9,77.27,43.02,231.49,0.72,2.53,29.72,,22.83,21.05,18.09,25.97,0.87,4.89,7.12,01-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Aug-2018 - 00:00,31.2,973.52,43.38,223.94,71.76,92.63,243.28,0.66,2.29,28.03,,23.01,18.7,25.28,30.56,0.87,5.96,8.15,02-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Aug-2018 - 00:00,32.3,974.78,54.77,297.19,61.87,94.72,244.7,0.73,2.28,26.84,,18.95,17.33,23.61,28.46,0.82,5.65,8.05,03-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Aug-2018 - 00:00,31.77,975.26,48.67,273.58,60.43,55.82,241.94,0.75,2.37,26.38,,18.29,17.74,24.65,29.53,0.79,5.06,7.91,04-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Aug-2018 - 00:00,31.83,974.92,52.25,278.92,60.79,75.89,226.02,0.84,1.72,22.18,,18.07,17.99,16.2,22.79,0.59,6.09,7.88,05-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Aug-2018 - 00:00,29.43,975.19,48.12,244.5,76.08,30.99,194.12,0.9,1.49,21.79,,18.7,13.03,11.77,16.54,0.58,4.17,7.95,06-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Aug-2018 - 00:00,27.93,975.5,49.23,140.77,88.8,26.25,114.51,0.69,2.63,41.25,,30.96,14.7,12.78,18.21,0.75,28.28,8.35,07-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Aug-2018 - 00:00,28.1,975.38,36.27,102.69,89.63,45.93,151.42,0.55,2.7,36.94,,24.04,14.73,18.5,22.92,0.95,9.97,8.06,08-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Aug-2018 - 00:00,30.13,975.97,28.04,83.96,82.72,75.47,104.75,0.69,2.97,39.42,,24.1,14.41,18.77,22.96,0.77,8.14,7.9,09-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Aug-2018 - 00:00,31.58,978.48,29.11,83.77,74.3,73.13,116.53,0.68,2.52,34.99,,26.27,15.62,7.03,14.03,0.64,8.87,7.77,10-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Aug-2018 - 00:00,29.93,977.59,51.56,141.12,87.38,31.56,218.92,0.4,4.4,47.31,,45.07,39.0,46.44,58.64,2.04,9.52,10.53,11-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Aug-2018 - 00:00,31.63,973.96,34.67,130.94,77.75,67.02,176.26,1.35,2.48,28.55,,39.84,30.16,38.34,47.31,0.85,7.44,7.09,12-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Aug-2018 - 00:00,,,28.0,127.0,,,,,,,,54.0,,52.1,75.4,0.7,,,13-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Aug-2018 - 00:00,31.77,974.24,30.65,117.0,71.5,82.96,204.37,1.39,2.22,31.3,,31.85,18.89,4.76,13.93,0.71,25.64,8.86,14-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Aug-2018 - 00:00,31.54,974.64,45.31,136.77,75.71,79.91,219.22,1.24,2.12,26.36,,33.51,19.83,12.25,20.54,0.83,18.8,8.93,15-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Aug-2018 - 00:00,30.63,976.38,36.46,109.02,77.8,50.0,235.1,1.7,1.25,17.5,,,11.39,4.25,9.52,0.54,15.99,7.34,16-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Aug-2018 - 00:00,30.17,977.85,29.79,86.85,82.36,45.22,215.59,0.98,2.82,45.99,,,16.26,11.68,18.19,0.87,11.83,10.02,17-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Aug-2018 - 00:00,31.89,975.57,27.56,81.15,77.69,63.49,236.02,1.52,2.55,37.83,,29.82,12.75,8.99,14.12,0.69,9.41,10.07,18-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Aug-2018 - 00:00,31.28,975.15,28.56,79.69,79.63,55.76,246.58,1.61,2.03,27.11,,,13.1,4.51,10.69,0.59,10.69,10.58,19-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Aug-2018 - 00:00,28.74,975.1,35.67,82.54,90.72,26.13,209.03,1.01,2.88,30.68,,,15.56,11.17,17.36,0.99,9.47,9.81,20-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Aug-2018 - 00:00,31.58,976.68,47.26,108.56,79.09,55.43,244.71,1.27,2.29,92.03,,57.59,16.48,7.13,14.58,1.3,17.76,15.88,21-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Aug-2018 - 00:00,31.22,976.44,22.52,74.56,78.43,67.4,246.2,1.27,2.06,29.6,,22.1,13.78,5.28,11.47,1.06,11.3,14.73,22-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Aug-2018 - 00:00,30.9,975.89,27.04,74.92,81.72,45.5,232.55,1.36,2.09,27.09,,29.71,14.0,6.24,12.53,0.99,8.81,10.41,23-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Aug-2018 - 00:00,29.35,976.61,22.73,67.67,88.52,45.88,159.89,1.32,1.72,22.14,,36.29,12.49,10.83,15.48,0.89,5.55,9.31,24-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Aug-2018 - 00:00,30.06,975.96,16.21,81.54,83.11,57.08,121.31,1.04,1.66,23.34,,28.46,11.56,14.61,18.08,0.88,5.64,9.08,25-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Aug-2018 - 00:00,30.12,975.3,12.14,69.69,76.98,64.02,54.7,1.39,1.04,18.58,,29.03,9.98,9.11,12.74,0.94,7.46,9.7,26-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Aug-2018 - 00:00,32.11,974.81,17.52,77.72,69.48,84.9,145.44,1.79,1.26,18.61,,26.96,8.84,2.61,6.83,0.36,17.24,9.59,27-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Aug-2018 - 00:00,28.92,976.62,25.13,60.04,87.26,40.77,195.19,0.75,2.27,34.53,,26.29,11.05,5.92,10.77,0.83,12.37,11.68,28-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Aug-2018 - 00:00,28.5,977.72,27.29,50.48,92.37,42.49,203.93,1.25,2.25,45.76,,28.94,10.07,6.09,10.33,0.41,8.06,10.93,29-Aug-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
