from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,P-Xylene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
04-May-2018 - 00:00,30.74,895.71,142.16,52.17,65.72,230.11,135.02,1.38,0.01,0.53,0.18,0.56,29.55,2.76,16.83,30.33,83.43,5.72,0.5,05-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-May-2018 - 00:00,33.2,859.37,237.92,87.51,60.45,208.22,175.96,0.53,0.01,0.67,0.46,1.71,32.89,11.79,30.88,47.56,61.14,6.98,0.82,06-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-May-2018 - 00:00,32.12,857.1,348.46,125.6,59.19,215.44,132.85,1.54,0.0,0.98,0.62,1.9,28.98,18.3,40.33,46.91,67.22,8.46,0.79,07-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-May-2018 - 00:00,32.97,843.13,357.33,129.9,56.78,207.91,159.47,0.59,0.0,0.78,0.42,1.5,31.66,20.7,28.25,51.35,60.58,10.49,0.83,08-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-May-2018 - 00:00,30.1,858.18,177.01,51.95,59.37,222.11,162.35,1.02,0.0,0.55,0.09,0.3,13.3,2.4,17.62,27.4,69.61,2.3,0.29,09-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-May-2018 - 00:00,27.46,912.2,193.92,86.2,68.55,162.89,139.89,0.81,0.01,0.81,0.55,1.94,38.77,12.63,28.04,41.01,59.38,2.37,0.79,10-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-May-2018 - 00:00,31.03,883.0,260.58,115.56,63.56,227.71,189.83,0.58,0.0,1.44,0.45,1.75,60.59,19.47,41.29,52.61,71.47,5.67,0.99,11-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-May-2018 - 00:00,33.86,854.68,378.74,167.42,58.73,214.91,199.38,0.59,0.0,0.96,0.58,2.49,49.69,18.79,41.43,53.62,71.31,2.31,1.11,12-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-May-2018 - 00:00,34.91,862.64,386.92,159.43,60.07,176.23,149.2,1.0,0.0,0.85,0.47,2.32,61.93,14.54,35.14,44.73,64.89,1.76,1.04,13-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-May-2018 - 00:00,31.99,889.41,268.82,80.64,64.63,181.1,142.52,2.02,0.01,0.41,0.08,0.38,41.68,2.86,14.41,34.03,81.16,1.16,0.44,14-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-May-2018 - 00:00,30.1,882.9,159.17,54.88,63.55,202.84,162.04,0.87,0.0,0.37,0.15,0.95,37.78,3.44,18.66,23.28,84.85,1.78,0.5,15-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-May-2018 - 00:00,32.37,883.82,206.18,78.86,63.72,193.28,145.07,0.99,0.0,0.87,0.18,1.2,38.19,3.65,19.13,31.38,95.07,2.52,0.63,16-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-May-2018 - 00:00,34.1,852.64,234.54,81.3,58.4,237.98,178.36,0.78,0.0,0.53,0.24,1.01,32.78,7.81,26.41,36.92,68.76,5.04,0.54,17-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-May-2018 - 00:00,35.1,825.58,338.48,114.58,53.8,223.98,153.73,0.82,0.0,0.5,0.2,1.23,32.96,8.7,27.55,37.23,75.91,7.87,0.59,18-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-May-2018 - 00:00,33.85,840.8,294.58,111.08,56.39,207.96,129.75,1.05,0.0,0.62,0.25,1.2,34.31,11.11,27.2,41.35,65.81,8.46,0.7,19-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-May-2018 - 00:00,34.07,849.64,340.67,118.54,57.9,255.18,189.65,0.67,0.0,1.03,0.4,2.09,41.32,20.1,44.03,50.78,75.91,7.51,0.9,20-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-May-2018 - 00:00,34.89,819.23,290.46,100.75,52.73,273.62,153.13,0.84,0.0,0.63,0.29,1.41,27.7,11.34,27.53,39.79,63.47,8.25,0.61,21-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-May-2018 - 00:00,36.45,788.75,261.02,71.75,47.54,303.07,100.26,0.86,0.0,0.51,0.2,1.29,25.15,4.24,24.66,30.87,69.06,7.33,0.43,22-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-May-2018 - 00:00,36.47,798.85,312.07,104.23,49.28,272.89,141.04,5.48,0.0,1.98,0.29,1.22,24.21,20.76,62.86,44.03,67.3,9.11,1.07,23-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-May-2018 - 00:00,35.85,823.46,418.82,151.04,53.47,235.83,129.0,7.41,0.0,1.9,0.43,2.07,40.28,25.1,60.03,52.15,57.21,9.68,1.04,24-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-May-2018 - 00:00,35.12,818.33,332.73,118.58,52.58,214.45,129.0,7.41,0.0,0.8,0.31,1.65,32.95,17.85,39.71,52.79,59.72,12.33,0.77,25-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-May-2018 - 00:00,30.42,818.63,326.06,109.97,52.64,63.36,129.0,7.41,0.0,1.22,0.44,3.27,36.48,47.04,59.61,86.88,15.22,13.11,0.98,26-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-May-2018 - 00:00,37.77,794.86,316.1,112.45,48.57,302.85,129.0,7.41,0.0,2.39,0.2,1.3,26.59,48.79,131.17,47.07,76.58,7.38,1.03,27-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-May-2018 - 00:00,37.19,796.83,370.47,93.09,48.87,258.24,129.0,7.41,0.0,0.92,0.35,1.45,32.67,20.12,61.22,57.64,54.54,6.54,0.63,28-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-May-2018 - 00:00,35.59,827.44,360.63,139.94,54.09,226.16,129.0,7.42,0.0,1.1,0.43,1.65,40.3,14.78,49.22,51.14,78.13,10.21,1.05,29-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-May-2018 - 00:00,36.98,836.67,361.7,107.36,55.72,246.81,129.0,7.42,0.0,1.34,0.41,1.69,35.92,21.98,51.86,52.87,61.47,5.56,0.75,30-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-May-2018 - 00:00,34.93,910.07,357.93,60.57,59.9,235.81,128.93,7.43,0.0,2.25,2.1,2.8,20.71,2.02,16.42,49.35,62.73,2.7,0.44,31-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-May-2018 - 00:00,36.19,948.9,270.54,70.71,59.28,244.89,129.0,7.42,0.0,5.44,3.68,9.35,33.33,5.71,22.5,38.8,57.07,6.06,0.59,01-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Jun-2018 - 00:00,34.47,966.37,258.24,88.13,63.54,250.62,129.0,7.42,0.0,5.32,1.66,4.57,16.14,1.99,18.82,44.35,70.01,3.46,0.4,02-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jun-2018 - 00:00,32.1,974.39,157.05,48.09,62.86,240.07,129.0,7.41,0.0,6.47,1.17,6.36,22.64,2.25,15.34,25.09,71.43,6.06,0.4,03-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jun-2018 - 00:00,33.6,965.97,152.82,57.1,64.8,243.22,129.0,7.42,0.0,3.94,1.56,3.52,23.56,2.3,14.63,31.55,75.64,4.73,0.44,04-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jun-2018 - 00:00,35.98,967.06,199.04,57.73,62.61,229.04,129.0,7.43,0.0,7.82,1.05,3.49,14.71,2.0,15.16,38.53,66.21,3.26,0.43,05-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jun-2018 - 00:00,36.23,977.83,162.54,50.08,60.67,226.8,129.0,7.43,0.0,7.49,1.66,3.39,15.02,1.97,16.44,33.37,52.74,2.72,0.47,06-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jun-2018 - 00:00,32.27,995.54,167.78,55.09,68.14,150.72,129.0,7.41,0.0,3.16,1.49,3.68,31.38,2.68,22.75,45.88,30.51,3.54,0.54,07-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jun-2018 - 00:00,35.42,961.51,181.02,74.29,63.32,238.41,129.0,7.43,0.0,4.09,1.8,6.45,37.29,4.64,18.41,31.67,56.02,5.43,0.62,08-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jun-2018 - 00:00,35.76,977.46,217.87,71.92,64.49,215.06,129.0,7.42,0.0,5.83,1.42,3.96,25.78,2.66,17.86,36.67,30.06,3.7,0.57,09-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jun-2018 - 00:00,31.79,981.47,164.32,53.13,73.56,200.67,129.0,7.43,0.02,4.27,4.63,4.44,16.41,4.67,19.98,49.58,22.24,1.91,0.56,10-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jun-2018 - 00:00,32.62,967.65,162.78,66.1,70.78,245.15,129.0,7.42,0.0,3.96,3.17,9.85,44.05,12.83,26.35,48.3,36.09,3.92,0.77,11-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jun-2018 - 00:00,35.76,949.34,252.79,72.37,62.79,254.33,129.0,7.41,0.0,2.53,2.03,8.47,59.68,6.58,26.08,32.83,31.01,6.84,0.56,12-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jun-2018 - 00:00,37.37,951.89,499.67,138.72,58.05,216.17,129.0,7.41,0.0,3.93,1.84,10.79,36.73,5.33,20.93,28.91,19.32,5.54,0.52,13-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jun-2018 - 00:00,38.47,938.33,925.8,252.97,54.33,201.45,129.0,7.41,0.0,3.84,2.01,4.32,16.33,5.23,14.94,31.43,12.75,2.97,0.34,14-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jun-2018 - 00:00,37.56,935.5,934.6,192.13,53.01,202.42,129.0,7.41,0.0,3.36,2.74,4.12,10.5,3.6,17.79,25.52,19.76,1.73,0.36,15-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jun-2018 - 00:00,36.75,941.04,607.1,134.37,53.66,214.96,129.0,7.41,0.0,3.07,4.06,3.09,10.26,3.8,20.53,25.43,21.31,2.59,0.33,16-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jun-2018 - 00:00,35.04,970.05,670.25,126.58,60.53,191.72,129.0,7.42,0.0,3.43,1.41,3.3,16.45,2.91,15.48,25.99,25.53,3.34,0.38,17-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jun-2018 - 00:00,31.47,981.46,299.71,76.83,67.09,234.6,129.0,7.41,0.0,2.56,1.02,1.77,10.27,2.21,16.76,31.74,31.83,2.34,0.31,18-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jun-2018 - 00:00,32.44,972.82,171.92,62.38,62.59,191.02,129.0,7.41,0.0,3.08,1.14,4.33,22.04,5.05,18.91,27.55,33.38,5.62,0.37,19-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jun-2018 - 00:00,33.82,957.29,166.46,50.67,61.6,261.38,129.0,7.43,0.0,3.04,1.28,3.3,18.89,3.33,18.08,26.7,46.17,3.82,0.37,20-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jun-2018 - 00:00,35.85,960.7,216.84,83.51,59.48,214.92,129.0,7.44,0.0,3.57,1.61,3.71,22.95,3.85,18.81,29.88,59.45,4.68,0.47,21-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jun-2018 - 00:00,36.39,962.93,371.04,81.46,57.6,217.45,129.0,7.43,0.0,3.33,2.02,5.18,27.14,2.88,19.34,31.91,66.58,5.11,0.52,22-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jun-2018 - 00:00,37.37,951.07,327.67,97.33,56.9,222.48,129.0,7.43,0.0,6.12,3.28,10.36,38.11,21.07,38.94,52.02,73.57,8.46,0.71,23-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jun-2018 - 00:00,37.71,943.26,312.08,79.0,57.22,200.62,129.0,7.43,0.0,4.14,2.82,8.22,34.91,5.36,26.3,36.9,82.57,6.92,0.54,24-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jun-2018 - 00:00,37.49,935.4,208.57,59.25,55.85,222.65,129.0,7.19,0.0,3.32,1.9,4.48,22.96,3.81,25.97,33.0,66.12,7.51,0.44,25-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jun-2018 - 00:00,38.23,922.61,198.64,40.58,58.37,144.49,129.0,6.49,0.0,2.68,1.85,4.35,22.82,4.64,30.9,22.71,22.31,7.57,0.36,26-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jun-2018 - 00:00,32.08,987.05,65.96,17.21,54.74,46.75,90.16,6.89,,9.53,,50.37,29.52,1.66,24.81,14.43,37.97,13.5,0.45,27-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jun-2018 - 00:00,30.72,,105.14,54.79,76.43,185.51,128.75,7.44,,6.9,,31.89,41.26,2.02,18.02,11.21,66.8,10.53,0.57,28-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jun-2018 - 00:00,30.08,,51.04,27.03,79.52,153.63,128.77,7.44,,4.95,,38.38,40.58,2.42,11.14,7.91,45.93,5.31,0.49,29-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jun-2018 - 00:00,31.03,,79.23,36.57,77.23,123.98,114.3,10.26,,5.2,,23.08,32.15,4.98,19.41,14.4,49.83,7.69,0.6,30-Jun-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jun-2018 - 00:00,31.9,,99.12,34.98,76.64,142.97,90.13,15.04,,3.77,,34.57,33.97,7.24,35.78,24.96,35.7,6.6,0.7,01-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Jul-2018 - 00:00,33.19,995.65,92.19,23.5,74.61,164.06,90.13,15.04,,1.91,,22.34,35.25,6.55,27.32,19.83,33.48,3.97,0.55,02-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jul-2018 - 00:00,32.9,980.88,133.44,21.67,72.14,171.21,90.12,15.04,,2.96,,16.99,27.96,4.6,21.55,15.19,44.75,5.25,0.43,03-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jul-2018 - 00:00,31.36,,109.39,35.6,76.13,166.12,90.12,15.05,,5.52,,28.54,30.3,8.46,37.45,26.83,54.5,5.14,0.67,04-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jul-2018 - 00:00,31.23,,104.8,37.5,77.0,195.36,90.11,15.05,,3.93,,20.21,35.44,4.62,45.05,22.46,68.08,6.81,0.58,05-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jul-2018 - 00:00,32.59,987.5,142.17,43.06,73.29,193.5,90.13,15.04,,5.07,,28.63,37.4,12.53,85.61,49.28,57.83,8.9,0.59,06-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jul-2018 - 00:00,33.94,961.54,181.33,49.33,68.97,205.89,90.14,15.03,,4.7,,32.32,47.28,6.88,66.91,41.17,60.96,7.14,0.56,07-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jul-2018 - 00:00,34.4,954.71,175.5,58.92,67.82,224.66,90.14,15.02,,4.54,,23.0,53.81,2.64,42.1,24.56,80.85,7.07,0.62,08-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jul-2018 - 00:00,35.58,941.36,175.5,61.27,65.6,234.95,90.14,15.03,,4.62,,17.9,57.71,1.6,34.47,19.57,107.83,7.98,0.61,09-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jul-2018 - 00:00,34.76,981.32,167.58,65.62,72.26,175.97,90.14,15.03,,1.94,,16.12,55.67,1.43,27.26,15.66,73.91,10.21,0.63,10-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jul-2018 - 00:00,34.32,993.46,111.5,42.28,74.29,209.23,90.13,15.04,,1.55,,15.0,51.94,1.88,23.65,14.1,62.79,7.66,0.62,11-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jul-2018 - 00:00,32.64,997.67,102.56,37.98,76.01,144.67,90.15,15.03,,3.8,,22.95,40.14,1.98,27.91,16.46,48.81,9.15,0.65,12-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jul-2018 - 00:00,33.15,977.21,150.6,51.46,73.25,157.36,90.14,15.03,,4.67,,29.06,34.03,3.83,31.78,20.03,58.27,6.08,0.59,13-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jul-2018 - 00:00,28.87,,61.15,31.19,84.2,91.64,90.13,15.04,,2.44,,28.36,33.09,6.85,30.43,21.75,28.44,7.06,0.74,14-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jul-2018 - 00:00,29.1,,70.88,34.28,84.61,159.54,90.14,15.03,,2.61,,36.52,31.83,5.45,28.89,19.82,28.26,8.41,0.68,15-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jul-2018 - 00:00,31.42,,86.17,41.58,80.39,210.58,90.11,15.03,,0.77,,17.92,29.35,4.65,32.79,21.25,34.66,19.75,0.77,16-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jul-2018 - 00:00,30.03,,74.31,35.27,85.31,99.59,90.13,15.02,,0.85,,36.62,30.44,9.32,39.18,28.43,19.16,15.71,0.98,17-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jul-2018 - 00:00,32.54,,86.95,28.11,78.49,183.46,90.15,15.02,,0.84,,18.78,35.09,4.54,32.16,20.81,41.12,17.67,0.74,18-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jul-2018 - 00:00,32.3,,93.69,34.65,78.23,182.33,90.13,15.04,,0.98,,16.19,34.28,5.42,25.74,18.1,40.7,19.49,0.67,19-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jul-2018 - 00:00,32.08,,77.67,27.94,78.36,224.65,90.13,15.03,,1.19,,16.7,29.3,3.9,26.91,17.49,39.05,20.6,0.8,20-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jul-2018 - 00:00,29.84,,85.47,35.76,84.37,94.92,90.14,15.03,,0.78,,28.03,29.27,7.61,37.35,26.07,20.92,15.82,0.85,21-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jul-2018 - 00:00,29.1,,88.65,41.43,85.49,104.17,90.12,15.03,,1.09,,38.8,31.48,10.31,40.57,29.99,35.41,20.75,0.98,22-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jul-2018 - 00:00,28.51,,43.73,21.22,86.48,128.55,90.14,15.02,,0.56,,16.63,27.41,4.29,29.4,19.13,26.87,15.02,0.73,23-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jul-2018 - 00:00,30.85,,63.08,24.44,79.71,171.43,90.14,15.03,,1.49,,29.82,26.04,3.24,25.7,16.3,31.5,17.43,0.76,24-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jul-2018 - 00:00,32.05,,104.98,37.81,78.32,169.48,90.13,15.03,,1.08,,23.92,26.66,5.3,25.05,17.65,42.05,18.37,0.88,25-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jul-2018 - 00:00,29.72,,82.21,30.08,83.97,71.99,90.12,15.04,,0.73,,19.86,24.89,3.51,16.43,11.59,17.77,14.14,0.78,26-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jul-2018 - 00:00,27.19,,42.62,20.5,88.48,47.72,90.13,15.03,,0.51,,23.01,26.66,6.9,17.32,14.84,11.88,15.11,0.68,27-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jul-2018 - 00:00,27.04,,27.29,15.19,88.16,57.91,90.15,15.03,,0.57,,19.25,21.78,5.53,12.75,11.27,13.8,15.92,0.69,28-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jul-2018 - 00:00,28.24,,68.62,31.65,84.68,119.41,90.14,15.02,,2.52,,37.98,19.38,7.33,13.76,13.27,21.27,16.29,0.77,29-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jul-2018 - 00:00,31.2,,148.21,58.71,79.18,234.18,90.15,15.02,,1.29,,37.44,22.86,7.15,10.15,11.23,21.99,15.09,0.69,30-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jul-2018 - 00:00,31.6,994.5,151.31,56.6,76.13,220.19,90.14,15.03,,1.71,,21.18,25.99,3.41,6.85,6.43,29.94,15.26,0.62,31-Jul-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Jul-2018 - 00:00,31.29,993.19,194.0,70.83,76.01,120.26,100.92,12.9,,2.22,,26.07,23.55,4.38,8.51,8.1,23.98,16.73,0.75,01-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Aug-2018 - 00:00,31.92,971.64,253.04,87.94,72.65,218.38,128.82,7.4,,5.79,,33.68,23.09,4.77,6.06,7.12,29.99,16.73,0.72,02-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Aug-2018 - 00:00,32.65,959.6,328.29,107.15,70.64,207.68,128.82,7.4,,5.29,,24.54,21.17,3.52,15.71,11.25,25.67,17.53,0.76,03-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Aug-2018 - 00:00,32.31,954.51,308.21,92.65,69.79,181.01,128.8,7.4,,7.99,,28.12,20.8,4.89,20.62,14.96,24.76,15.35,0.81,04-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Aug-2018 - 00:00,32.56,949.44,318.48,93.64,68.95,199.05,128.8,7.4,,4.9,,27.92,19.63,5.82,18.08,14.37,29.34,15.4,0.57,05-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Aug-2018 - 00:00,30.37,991.35,277.61,84.19,75.94,97.15,128.8,7.4,,3.04,,15.69,18.77,3.61,11.45,9.03,20.68,16.13,0.56,06-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Aug-2018 - 00:00,27.94,,129.89,44.05,82.79,72.32,128.81,7.41,,3.74,,16.89,30.09,4.99,11.72,10.31,15.9,15.52,0.62,07-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Aug-2018 - 00:00,29.05,,118.58,43.3,81.64,123.25,108.73,4.99,,3.8,,25.31,22.93,9.81,17.14,17.1,29.74,19.83,0.83,08-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Aug-2018 - 00:00,29.54,,83.4,31.71,83.02,168.63,42.5,1.02,,1.51,,32.79,24.78,12.56,19.43,20.6,29.61,16.93,0.85,09-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Aug-2018 - 00:00,31.94,976.07,84.27,28.06,76.05,227.27,56.98,1.0,,1.86,,27.15,26.53,7.71,17.71,15.71,36.84,18.94,0.8,10-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Aug-2018 - 00:00,31.67,986.66,115.62,36.62,77.83,128.36,121.68,0.58,,3.29,,35.49,24.2,9.17,23.52,19.99,34.73,16.12,0.98,11-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Aug-2018 - 00:00,32.74,965.73,113.58,33.77,74.34,196.56,177.04,1.34,,2.56,,19.91,26.7,5.77,13.36,11.85,25.92,16.26,0.59,12-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Aug-2018 - 00:00,30.61,980.06,92.42,26.5,76.72,80.34,147.44,0.98,,2.95,,20.32,20.08,7.03,12.92,12.6,23.52,15.54,0.67,13-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Aug-2018 - 00:00,30.36,986.81,91.65,28.1,77.84,133.08,108.43,0.95,,2.6,,19.64,20.67,8.15,11.96,13.0,29.4,15.9,0.63,14-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Aug-2018 - 00:00,31.24,988.41,124.85,37.37,78.12,160.47,67.67,0.75,,1.66,,19.15,24.39,10.03,16.68,17.04,33.65,14.99,0.79,15-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Aug-2018 - 00:00,31.5,977.68,120.0,36.62,76.33,182.72,124.81,0.95,,1.75,,12.81,24.37,6.71,11.94,11.81,41.76,17.16,0.65,16-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Aug-2018 - 00:00,30.08,,89.85,35.85,81.64,149.12,49.52,0.87,,1.56,,27.35,23.49,13.5,11.39,17.08,43.45,17.38,0.96,17-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Aug-2018 - 00:00,31.33,,62.64,22.19,80.2,189.37,58.22,0.93,,0.8,,15.19,27.89,7.31,8.13,10.3,24.86,14.78,0.71,18-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Aug-2018 - 00:00,30.71,,72.12,29.17,81.29,141.95,78.88,0.77,,0.94,,19.72,24.27,9.01,8.06,11.63,31.11,18.46,0.83,19-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Aug-2018 - 00:00,29.14,,109.31,52.74,84.72,75.9,94.16,0.63,,1.02,,31.48,25.14,16.03,11.85,19.36,17.62,19.11,1.16,20-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Aug-2018 - 00:00,31.02,,126.76,61.38,80.5,168.76,55.86,0.92,,1.32,,28.5,29.54,18.15,26.46,28.84,37.41,18.92,1.56,21-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Aug-2018 - 00:00,31.82,980.85,87.88,28.79,76.85,187.52,57.75,0.96,,2.0,,25.52,23.06,10.11,43.77,31.48,34.43,22.69,0.62,22-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Aug-2018 - 00:00,30.7,,63.75,23.08,80.91,117.2,75.64,0.72,,1.0,,27.74,23.1,13.93,40.6,32.99,21.8,17.55,0.58,23-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Aug-2018 - 00:00,29.26,,64.78,20.93,84.32,115.64,162.54,0.87,,0.69,,20.24,24.5,11.7,31.86,26.45,10.05,15.37,0.52,24-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Aug-2018 - 00:00,30.52,993.19,93.79,17.96,78.91,136.05,176.83,1.14,,1.26,,21.83,20.13,13.2,27.88,25.59,17.72,15.25,1.41,25-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Aug-2018 - 00:00,30.61,980.92,96.88,18.71,76.87,154.37,179.75,1.41,,3.23,,18.73,18.13,8.26,22.2,18.53,21.4,15.29,0.5,26-Aug-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
