from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
25-Feb-2018 - 00:00,,,,,,,,,,198.27,100.96,17.2,30.69,47.75,1.25,,27.9,0.0,0.0,0.0,,0.0,26-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Feb-2018 - 00:00,,,,,,,,,,152.87,96.31,18.91,28.48,47.39,1.68,,20.84,0.0,0.0,0.0,,0.0,27-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Feb-2018 - 00:00,,,,,,,,,,199.84,115.57,17.97,30.18,47.95,1.47,,22.6,0.0,0.0,0.0,,0.0,28-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Feb-2018 - 00:00,,,,,,,,,,261.69,134.58,16.69,30.69,47.36,1.3,,25.52,0.0,0.0,0.0,,0.0,01-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Mar-2018 - 00:00,,,,,,,,,,244.28,120.36,18.27,29.57,47.66,1.46,,24.54,0.0,0.0,0.0,,0.0,02-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Mar-2018 - 00:00,,,,,,,,,,245.39,149.3,16.69,30.82,47.51,1.27,,31.16,0.0,0.0,0.0,,0.0,03-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Mar-2018 - 00:00,,,,,,,,,,182.95,105.52,17.0,30.1,47.1,1.37,,25.27,0.0,0.0,0.0,,0.0,04-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Mar-2018 - 00:00,,,,,,,,,,187.87,95.79,17.9,29.41,47.29,1.45,,22.71,0.0,0.0,0.0,,0.0,05-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Mar-2018 - 00:00,,,,,,,,,,153.61,86.44,18.19,29.16,47.21,1.48,,22.86,0.0,0.0,0.0,,0.0,06-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Mar-2018 - 00:00,,,,,,,,,,159.67,93.25,17.87,29.52,47.33,1.43,,22.65,0.0,0.0,0.0,,0.0,07-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Mar-2018 - 00:00,,,,,,,,,,191.06,102.69,16.62,30.69,47.31,1.3,,26.45,0.0,0.0,0.0,,0.0,08-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Mar-2018 - 00:00,,,,,,,,,,303.78,158.53,15.11,34.54,49.65,1.03,,48.82,0.0,0.0,0.0,,0.0,09-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Mar-2018 - 00:00,,,,,,,,,,322.06,166.09,15.46,32.61,48.07,1.1,,49.03,0.0,0.0,0.0,,0.0,10-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Mar-2018 - 00:00,,,,,,,,,,170.49,82.74,19.08,29.1,47.49,1.45,,22.0,0.0,0.0,0.0,,0.0,11-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Mar-2018 - 00:00,,,,,,,,,,194.88,103.32,16.98,30.16,47.14,1.37,,25.36,0.0,0.0,0.0,,0.0,12-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Mar-2018 - 00:00,,,,,,,,,,230.73,118.84,16.39,31.09,47.43,1.27,,29.02,0.0,0.0,0.0,,0.0,13-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Mar-2018 - 00:00,,,,,,,,,,260.91,149.77,17.17,30.52,47.69,1.39,,23.41,0.0,0.0,0.0,,0.0,14-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
