from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
11-Apr-2018 - 00:00,,,,,,,,,,76.43,31.4,36.75,54.74,63.42,1.23,0.18,42.62,0.03,0.0,0.0,0.0,12-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
12-Apr-2018 - 00:00,,,,,,,,,,67.15,25.29,11.6,47.65,27.42,0.34,,18.22,1.26,0.0,0.0,0.0,13-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
13-Apr-2018 - 00:00,,,,,,,,,,101.64,37.6,14.95,38.02,52.98,0.82,,28.14,3.59,0.0,0.0,0.0,14-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
14-Apr-2018 - 00:00,,,,,,,,,,127.65,46.64,16.96,40.75,57.71,0.86,,26.6,2.96,0.0,0.0,0.0,15-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
15-Apr-2018 - 00:00,,,,,,,,,,148.22,59.28,17.0,40.09,57.1,1.04,,29.59,2.07,0.0,0.0,0.0,16-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
16-Apr-2018 - 00:00,,,,,,,,,,189.84,70.0,17.8,40.72,58.52,1.16,,36.6,1.88,0.0,0.0,0.0,17-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
17-Apr-2018 - 00:00,,,,,,,,,,133.59,45.87,10.66,35.27,45.93,0.69,,21.99,0.41,0.0,0.0,0.0,18-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
18-Apr-2018 - 00:00,,,,,,,,,,139.42,47.86,7.55,35.19,42.74,0.39,,23.81,1.67,0.0,0.0,0.0,19-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
19-Apr-2018 - 00:00,,,,,,,,,,161.42,56.34,8.31,35.62,43.94,0.55,,26.43,2.16,0.0,0.0,0.0,20-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
20-Apr-2018 - 00:00,,,,,,,,,,273.23,72.72,7.59,32.81,40.4,0.41,,32.13,2.04,0.0,0.0,0.0,21-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
21-Apr-2018 - 00:00,,,,,,,,,,327.1,89.58,7.96,32.2,40.06,0.36,,27.14,1.22,0.0,0.0,0.0,22-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
22-Apr-2018 - 00:00,,,,,,,,,,119.68,33.27,6.22,32.43,38.65,0.34,,31.52,0.0,0.0,0.0,0.0,23-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
23-Apr-2018 - 00:00,,,,,,,,,,114.53,35.92,7.1,33.24,40.34,0.55,,33.86,0.0,0.0,0.0,0.0,24-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
24-Apr-2018 - 00:00,,,,,,,,,,,62.37,13.88,37.94,51.82,0.81,,33.72,0.0,0.0,0.0,0.0,25-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
25-Apr-2018 - 00:00,,,,,,,,,,,61.95,29.61,46.76,76.3,1.18,,28.02,0.0,0.0,0.0,0.0,26-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
26-Apr-2018 - 00:00,,,,,,,,,,,90.04,35.56,52.64,88.2,1.32,,40.42,0.0,0.0,0.0,0.0,27-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
27-Apr-2018 - 00:00,,,,,,,,,,219.55,66.12,22.11,45.0,67.15,0.76,,38.9,0.0,0.0,0.0,0.0,28-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
28-Apr-2018 - 00:00,,,,,,,,,,208.02,63.59,24.5,40.43,64.93,0.54,,45.94,0.0,0.0,0.0,0.0,29-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
29-Apr-2018 - 00:00,,,,,,,,,,159.33,67.73,27.56,41.85,69.42,0.62,,35.99,0.0,0.0,0.0,0.0,30-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
30-Apr-2018 - 00:00,,,,,,,,,,126.76,58.78,29.63,43.26,72.89,0.61,,36.5,0.0,0.0,0.0,0.0,01-May-2018 - 00:00,"Pusa, Delhi - IMD"
01-May-2018 - 00:00,,,,,,,,,,93.62,64.04,28.13,36.0,64.13,0.38,,45.8,0.0,0.0,0.0,0.0,02-May-2018 - 00:00,"Pusa, Delhi - IMD"
02-May-2018 - 00:00,,,,,,,,,,145.16,90.19,38.87,41.49,80.35,0.36,,43.17,0.0,0.0,0.0,0.0,03-May-2018 - 00:00,"Pusa, Delhi - IMD"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Pusa, Delhi - IMD"
04-May-2018 - 00:00,,,,,,,,,,88.34,50.54,16.06,39.84,55.91,0.64,,40.69,6.62,0.0,0.0,0.0,05-May-2018 - 00:00,"Pusa, Delhi - IMD"
05-May-2018 - 00:00,,,,,,,,,,116.15,58.13,23.12,42.38,65.5,0.89,,35.25,3.73,0.0,0.0,0.0,06-May-2018 - 00:00,"Pusa, Delhi - IMD"
06-May-2018 - 00:00,,,,,,,,,,141.77,75.56,24.35,39.6,63.95,1.08,,34.75,3.33,0.0,0.0,0.0,07-May-2018 - 00:00,"Pusa, Delhi - IMD"
07-May-2018 - 00:00,,,,,,,,,,195.03,82.4,23.33,39.06,62.35,0.96,,33.35,3.97,0.0,0.0,0.0,08-May-2018 - 00:00,"Pusa, Delhi - IMD"
08-May-2018 - 00:00,,,,,,,,,,89.7,46.11,15.29,31.21,46.49,0.43,,35.24,3.1,0.0,0.0,0.0,09-May-2018 - 00:00,"Pusa, Delhi - IMD"
09-May-2018 - 00:00,,,,,,,,,,91.64,52.28,19.6,40.8,60.43,0.8,,31.04,3.37,0.0,0.0,0.0,10-May-2018 - 00:00,"Pusa, Delhi - IMD"
10-May-2018 - 00:00,,,,,,,,,,135.33,69.87,21.74,39.84,61.58,0.95,,36.63,2.28,0.0,0.0,0.0,11-May-2018 - 00:00,"Pusa, Delhi - IMD"
11-May-2018 - 00:00,,,,,,,,,,185.58,83.69,22.97,38.52,61.49,1.28,,40.65,0.0,0.0,0.0,0.0,12-May-2018 - 00:00,"Pusa, Delhi - IMD"
12-May-2018 - 00:00,,,,,,,,,,204.71,91.74,21.59,33.8,55.39,1.18,,49.14,0.0,0.0,0.0,0.0,13-May-2018 - 00:00,"Pusa, Delhi - IMD"
