from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,THC,station
24-May-2018 - 00:00,49.25,42.18,82.05,,0.23,141.86,1.66,0.98,61.82,18.97,8.94,26.63,8.57,25-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-May-2018 - 00:00,394.27,27.84,80.15,,0.22,130.51,1.58,0.98,73.96,17.14,8.46,23.66,7.78,26-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-May-2018 - 00:00,570.27,37.65,78.56,,0.22,147.12,1.01,1.07,58.79,16.59,8.26,22.84,8.0,27-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-May-2018 - 00:00,0.0,50.83,81.71,,0.23,161.37,2.12,0.92,82.11,16.18,8.24,22.07,5.69,28-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-May-2018 - 00:00,10.9,42.28,83.01,,0.22,166.19,2.38,0.93,86.63,15.96,8.12,21.8,5.62,29-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-May-2018 - 00:00,282.3,32.68,73.11,,0.23,172.55,1.84,0.92,62.73,16.95,8.34,23.45,6.93,30-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-May-2018 - 00:00,291.0,36.16,62.72,,0.23,173.01,1.33,0.96,31.14,17.17,8.18,24.13,6.76,31-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-May-2018 - 00:00,238.16,47.19,80.7,,0.23,167.66,1.48,0.93,44.64,17.64,8.36,24.81,5.97,01-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Jun-2018 - 00:00,0.0,45.58,76.8,,0.23,156.63,1.75,0.94,32.06,18.88,8.44,27.19,5.22,02-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Jun-2018 - 00:00,241.06,53.35,66.44,,0.22,195.15,2.16,0.91,23.78,17.69,8.22,25.12,5.39,03-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Jun-2018 - 00:00,237.94,40.09,61.13,,0.23,207.54,2.56,0.98,26.67,17.54,8.24,24.79,8.32,04-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Jun-2018 - 00:00,242.61,45.98,54.7,,0.23,196.43,1.53,0.92,23.84,17.94,8.26,25.56,8.61,05-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Jun-2018 - 00:00,376.23,32.44,63.24,,0.23,185.54,1.39,0.92,27.75,17.8,8.1,25.55,7.8,06-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Jun-2018 - 00:00,131.87,24.12,77.53,,0.23,186.78,1.52,1.07,17.19,19.73,9.1,27.92,6.25,07-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Jun-2018 - 00:00,437.75,27.31,53.78,,0.23,196.98,1.71,0.97,13.08,18.24,8.39,25.97,5.68,08-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Jun-2018 - 00:00,189.31,34.94,50.28,,0.23,212.24,2.11,0.94,11.04,17.55,8.36,25.07,7.88,09-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Jun-2018 - 00:00,811.19,30.64,36.88,,0.23,206.67,2.03,0.94,20.61,17.21,8.28,24.07,7.36,10-Jun-2018 - 00:00,990.09,,"Manali, Chennai - CPCB"
10-Jun-2018 - 00:00,823.44,19.59,38.83,,0.23,214.06,2.12,0.94,31.58,16.84,8.32,23.27,8.6,11-Jun-2018 - 00:00,993.21,,"Manali, Chennai - CPCB"
11-Jun-2018 - 00:00,580.35,23.97,43.79,,0.23,210.97,2.0,0.85,35.77,19.33,8.37,28.19,6.85,12-Jun-2018 - 00:00,998.28,,"Manali, Chennai - CPCB"
12-Jun-2018 - 00:00,570.33,21.11,36.29,,0.23,198.87,2.19,1.0,30.22,20.12,8.64,29.38,7.87,13-Jun-2018 - 00:00,994.42,,"Manali, Chennai - CPCB"
13-Jun-2018 - 00:00,291.57,27.29,52.62,,0.23,204.3,1.74,0.98,30.58,26.47,9.84,40.34,5.76,14-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Jun-2018 - 00:00,875.14,34.37,41.26,,0.23,208.41,1.79,0.93,29.31,19.32,8.42,28.09,7.14,15-Jun-2018 - 00:00,995.25,,"Manali, Chennai - CPCB"
15-Jun-2018 - 00:00,805.78,48.85,41.62,,0.23,193.13,1.64,1.02,21.53,17.71,8.55,24.66,6.55,16-Jun-2018 - 00:00,996.94,,"Manali, Chennai - CPCB"
16-Jun-2018 - 00:00,555.35,33.37,50.02,,0.23,177.49,1.48,0.97,36.39,16.94,8.24,23.59,5.02,17-Jun-2018 - 00:00,995.05,,"Manali, Chennai - CPCB"
17-Jun-2018 - 00:00,257.0,63.55,54.22,,0.23,201.7,1.48,0.95,16.91,17.79,8.35,25.14,6.06,18-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Jun-2018 - 00:00,837.75,35.6,37.74,,0.23,199.38,1.89,0.94,19.82,17.62,8.26,24.93,7.25,19-Jun-2018 - 00:00,992.26,,"Manali, Chennai - CPCB"
19-Jun-2018 - 00:00,839.67,31.06,38.3,,0.23,194.24,1.8,1.0,39.36,17.08,8.31,23.76,6.69,20-Jun-2018 - 00:00,992.39,,"Manali, Chennai - CPCB"
20-Jun-2018 - 00:00,825.5,42.94,38.35,,0.23,184.38,1.63,0.96,29.26,18.24,8.42,25.93,7.11,21-Jun-2018 - 00:00,991.17,,"Manali, Chennai - CPCB"
21-Jun-2018 - 00:00,840.52,57.05,38.95,,0.23,185.43,1.59,0.93,32.79,17.38,8.35,24.31,6.53,22-Jun-2018 - 00:00,992.47,,"Manali, Chennai - CPCB"
22-Jun-2018 - 00:00,902.83,48.54,42.98,,0.23,194.44,1.67,0.95,41.27,17.1,8.21,23.95,6.72,23-Jun-2018 - 00:00,997.57,,"Manali, Chennai - CPCB"
23-Jun-2018 - 00:00,956.67,49.94,55.38,,0.23,186.78,1.46,0.98,47.14,17.61,8.37,24.74,5.23,24-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Jun-2018 - 00:00,772.28,41.22,76.06,,0.23,199.29,1.56,1.01,51.21,18.23,8.77,25.38,6.77,25-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Jun-2018 - 00:00,811.49,58.57,37.45,,0.23,195.32,1.79,0.97,25.21,19.32,8.62,27.81,7.63,26-Jun-2018 - 00:00,989.99,,"Manali, Chennai - CPCB"
26-Jun-2018 - 00:00,736.18,63.48,40.06,,0.23,192.84,1.73,0.96,28.6,19.13,8.47,27.64,5.54,27-Jun-2018 - 00:00,994.39,,"Manali, Chennai - CPCB"
27-Jun-2018 - 00:00,788.68,92.49,51.22,,0.23,201.85,1.76,0.98,40.4,18.53,8.56,26.32,7.62,28-Jun-2018 - 00:00,998.63,,"Manali, Chennai - CPCB"
28-Jun-2018 - 00:00,975.86,42.92,73.31,,0.23,198.11,1.57,0.97,19.8,18.73,8.49,26.81,6.93,29-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Jun-2018 - 00:00,804.51,57.5,69.21,,0.22,179.44,1.51,0.95,40.35,20.32,9.15,29.03,5.67,30-Jun-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Jun-2018 - 00:00,807.36,75.42,71.51,,0.23,187.92,1.84,0.95,14.15,18.39,8.29,26.43,7.93,01-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Jul-2018 - 00:00,526.5,78.29,81.74,,0.22,161.05,1.58,0.93,34.88,17.83,8.32,25.26,6.42,02-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Jul-2018 - 00:00,,106.78,72.71,,0.23,191.57,1.42,1.02,29.74,17.71,8.38,24.93,8.27,03-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Jul-2018 - 00:00,879.34,56.47,44.63,,0.23,204.15,1.79,1.14,46.22,16.92,8.45,23.25,7.3,04-Jul-2018 - 00:00,996.3,,"Manali, Chennai - CPCB"
04-Jul-2018 - 00:00,924.53,47.28,47.28,,0.23,218.44,2.11,1.07,52.82,17.23,8.29,24.1,6.92,05-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Jul-2018 - 00:00,983.55,50.49,54.88,,0.23,229.21,1.96,1.11,22.99,17.42,8.39,24.34,5.53,06-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Jul-2018 - 00:00,787.78,90.03,52.54,,0.23,240.35,2.22,1.11,51.67,17.66,8.31,24.94,7.8,07-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Jul-2018 - 00:00,991.45,47.94,52.48,,0.23,235.96,2.51,1.02,19.5,17.38,8.32,24.34,4.96,08-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Jul-2018 - 00:00,680.65,68.65,54.28,,0.23,232.64,2.84,1.0,61.73,17.49,8.35,24.52,8.04,09-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Jul-2018 - 00:00,937.22,59.26,63.14,,0.23,235.41,3.61,0.92,68.43,17.15,8.3,23.93,6.42,10-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Jul-2018 - 00:00,931.63,51.84,69.09,,0.23,216.3,2.31,1.0,63.95,17.83,8.61,24.83,6.27,11-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Jul-2018 - 00:00,532.2,39.04,44.13,,0.23,228.84,2.36,0.92,65.31,17.33,8.3,24.27,8.23,12-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Jul-2018 - 00:00,871.79,40.78,40.39,,0.23,229.52,2.14,0.98,53.22,17.71,8.74,24.38,8.01,13-Jul-2018 - 00:00,995.04,,"Manali, Chennai - CPCB"
13-Jul-2018 - 00:00,861.12,35.82,46.88,,0.23,230.6,2.76,0.94,53.32,18.46,8.62,26.09,7.41,14-Jul-2018 - 00:00,999.58,,"Manali, Chennai - CPCB"
14-Jul-2018 - 00:00,969.94,60.62,47.45,,0.23,241.09,4.43,0.9,68.8,17.85,8.43,25.14,6.61,15-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Jul-2018 - 00:00,,62.95,47.24,,0.23,230.95,4.12,0.93,61.5,17.75,8.46,24.9,7.84,16-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Jul-2018 - 00:00,722.43,49.75,49.28,,0.23,236.92,3.36,0.92,69.03,16.94,8.38,23.38,7.48,17-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Jul-2018 - 00:00,,45.57,47.91,,0.23,245.57,2.1,1.04,58.29,17.29,8.45,23.98,10.61,18-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Jul-2018 - 00:00,982.92,49.3,50.09,,0.23,220.8,1.75,1.03,53.01,19.06,8.72,27.12,19.25,19-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Jul-2018 - 00:00,953.59,61.38,47.14,,0.23,243.46,2.1,0.95,62.01,17.13,8.33,23.85,10.2,20-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Jul-2018 - 00:00,951.2,49.28,48.48,,0.23,240.14,2.3,0.91,70.5,16.88,8.23,23.49,8.05,21-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Jul-2018 - 00:00,,56.91,48.79,,0.23,231.19,2.55,0.95,66.41,17.18,8.26,24.05,9.57,22-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Jul-2018 - 00:00,986.6,73.81,46.36,,0.23,239.76,2.58,0.98,71.18,16.59,8.18,22.97,12.51,23-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Jul-2018 - 00:00,,53.86,55.06,,0.22,222.14,2.2,0.92,67.63,17.39,8.4,24.26,9.38,24-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Jul-2018 - 00:00,652.97,59.12,68.55,,0.23,196.73,1.93,0.98,82.54,17.92,8.48,25.18,7.99,25-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Jul-2018 - 00:00,916.5,41.18,63.08,,0.23,200.15,1.54,0.92,62.54,17.47,8.42,24.39,12.46,26-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Jul-2018 - 00:00,,46.49,74.29,,0.23,194.34,1.56,1.04,67.24,17.39,8.38,24.29,19.43,27-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Jul-2018 - 00:00,,55.62,73.67,,0.23,213.87,1.72,1.03,58.34,21.59,8.68,32.28,6.78,28-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Jul-2018 - 00:00,,62.65,61.36,,0.22,209.52,1.57,1.02,42.4,21.63,8.8,32.17,8.47,29-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Jul-2018 - 00:00,,69.96,68.43,,0.22,193.16,1.48,1.05,32.44,20.02,8.68,29.12,15.12,30-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Jul-2018 - 00:00,967.06,53.51,63.81,,0.23,217.37,1.66,0.9,23.56,20.09,8.48,29.55,9.76,31-Jul-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-Jul-2018 - 00:00,909.07,66.98,45.12,,0.23,219.85,1.88,1.0,17.27,22.17,8.87,33.16,7.52,01-Aug-2018 - 00:00,997.94,,"Manali, Chennai - CPCB"
01-Aug-2018 - 00:00,896.25,59.24,41.7,,0.23,207.88,1.88,0.95,18.34,20.28,8.94,29.29,6.68,02-Aug-2018 - 00:00,995.42,,"Manali, Chennai - CPCB"
02-Aug-2018 - 00:00,0.0,42.97,36.41,,0.23,196.26,1.96,0.89,13.13,20.2,8.88,29.19,7.31,03-Aug-2018 - 00:00,990.32,,"Manali, Chennai - CPCB"
03-Aug-2018 - 00:00,374.8,54.63,41.19,,0.23,213.82,1.8,0.97,16.32,20.44,8.84,29.73,10.71,04-Aug-2018 - 00:00,995.49,,"Manali, Chennai - CPCB"
04-Aug-2018 - 00:00,781.81,67.71,36.29,,0.23,206.63,1.78,0.97,15.77,20.56,9.2,29.43,6.75,05-Aug-2018 - 00:00,987.53,,"Manali, Chennai - CPCB"
05-Aug-2018 - 00:00,787.8,87.72,36.06,,0.23,213.99,1.92,0.89,13.3,19.98,9.22,28.22,7.53,06-Aug-2018 - 00:00,988.0,,"Manali, Chennai - CPCB"
06-Aug-2018 - 00:00,769.78,78.08,35.08,,0.23,222.3,2.04,0.99,17.07,20.52,9.64,28.68,6.39,07-Aug-2018 - 00:00,986.55,,"Manali, Chennai - CPCB"
07-Aug-2018 - 00:00,436.29,45.26,33.54,,0.23,218.55,2.23,0.88,15.38,18.83,8.79,26.56,7.07,08-Aug-2018 - 00:00,959.41,,"Manali, Chennai - CPCB"
08-Aug-2018 - 00:00,51.33,34.74,,,0.23,227.45,2.21,0.91,18.82,20.57,8.41,30.62,7.44,09-Aug-2018 - 00:00,928.17,,"Manali, Chennai - CPCB"
09-Aug-2018 - 00:00,252.67,37.13,97.72,,0.22,219.22,3.36,0.93,15.54,18.79,8.74,26.56,9.09,10-Aug-2018 - 00:00,943.34,,"Manali, Chennai - CPCB"
10-Aug-2018 - 00:00,597.25,66.28,78.34,,0.22,234.56,1.83,0.95,18.18,21.58,9.41,31.16,8.25,11-Aug-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Aug-2018 - 00:00,551.52,30.11,66.47,,0.23,229.79,3.2,1.01,16.61,22.56,10.51,31.49,7.76,12-Aug-2018 - 00:00,974.97,,"Manali, Chennai - CPCB"
12-Aug-2018 - 00:00,352.11,28.2,,,0.23,204.72,3.43,0.98,13.34,19.58,9.08,27.64,5.02,13-Aug-2018 - 00:00,928.17,,"Manali, Chennai - CPCB"
13-Aug-2018 - 00:00,575.99,52.89,,,0.23,194.01,1.92,1.0,16.42,24.82,9.36,22.14,7.66,14-Aug-2018 - 00:00,928.18,,"Manali, Chennai - CPCB"
14-Aug-2018 - 00:00,570.21,39.06,,,0.23,190.69,1.94,0.98,14.66,27.24,9.6,17.65,7.43,15-Aug-2018 - 00:00,928.17,,"Manali, Chennai - CPCB"
15-Aug-2018 - 00:00,568.53,12.36,,,0.22,179.77,1.79,1.05,15.75,28.52,9.48,19.04,6.75,16-Aug-2018 - 00:00,928.14,,"Manali, Chennai - CPCB"
16-Aug-2018 - 00:00,579.45,31.83,,,0.23,187.26,1.87,1.1,41.81,26.07,9.09,16.99,29.0,17-Aug-2018 - 00:00,928.15,,"Manali, Chennai - CPCB"
17-Aug-2018 - 00:00,563.75,92.82,,,0.2,181.14,2.49,1.07,74.1,30.63,10.26,20.36,25.89,18-Aug-2018 - 00:00,930.46,,"Manali, Chennai - CPCB"
18-Aug-2018 - 00:00,475.07,82.68,,,0.23,186.53,2.79,0.98,67.38,32.38,9.03,23.35,25.95,19-Aug-2018 - 00:00,962.88,,"Manali, Chennai - CPCB"
19-Aug-2018 - 00:00,810.81,89.61,,,0.23,196.43,2.05,0.96,71.36,28.77,9.26,19.51,25.76,20-Aug-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Aug-2018 - 00:00,805.25,93.14,,,0.23,193.97,2.03,1.01,74.69,32.36,9.83,22.53,24.94,21-Aug-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Aug-2018 - 00:00,810.62,138.1,,,0.23,185.16,2.16,0.91,68.53,26.99,8.7,18.48,25.75,22-Aug-2018 - 00:00,987.02,,"Manali, Chennai - CPCB"
22-Aug-2018 - 00:00,,73.03,,,0.23,173.12,3.27,0.99,64.97,26.44,8.51,17.93,25.38,23-Aug-2018 - 00:00,928.16,,"Manali, Chennai - CPCB"
23-Aug-2018 - 00:00,,49.55,,,0.23,167.37,3.12,0.91,68.29,28.84,8.84,20.0,25.7,24-Aug-2018 - 00:00,928.16,,"Manali, Chennai - CPCB"
24-Aug-2018 - 00:00,492.35,64.76,,,0.22,172.68,3.51,1.13,68.2,28.28,9.29,18.99,22.1,25-Aug-2018 - 00:00,928.14,,"Manali, Chennai - CPCB"
25-Aug-2018 - 00:00,,84.25,,,0.23,159.68,3.04,0.88,63.49,26.68,8.82,17.86,23.17,26-Aug-2018 - 00:00,928.15,,"Manali, Chennai - CPCB"
26-Aug-2018 - 00:00,,45.51,,,0.23,158.91,3.11,1.01,65.2,26.94,8.54,18.4,23.7,27-Aug-2018 - 00:00,928.13,,"Manali, Chennai - CPCB"
27-Aug-2018 - 00:00,0.0,49.64,,,0.23,155.87,3.12,1.02,74.11,31.45,8.55,22.9,21.67,28-Aug-2018 - 00:00,928.15,,"Manali, Chennai - CPCB"
28-Aug-2018 - 00:00,,37.52,,,0.22,147.29,3.03,0.88,74.74,27.22,8.74,18.48,24.19,29-Aug-2018 - 00:00,941.81,,"Manali, Chennai - CPCB"
29-Aug-2018 - 00:00,47.04,39.25,77.51,,0.21,142.4,2.75,0.94,65.15,36.07,11.87,24.54,22.18,30-Aug-2018 - 00:00,953.8,,"Manali, Chennai - CPCB"
30-Aug-2018 - 00:00,509.56,33.34,66.53,,0.22,148.95,1.8,0.97,15.49,25.09,9.14,15.98,20.83,31-Aug-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-Aug-2018 - 00:00,610.38,30.77,87.24,,0.23,151.13,1.97,0.91,9.51,26.1,9.31,16.79,24.09,01-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Sep-2018 - 00:00,0.0,41.75,74.52,,0.23,149.29,3.05,0.92,20.67,34.03,9.81,24.22,22.12,02-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Sep-2018 - 00:00,0.0,72.16,74.33,,0.22,135.77,2.57,1.0,18.18,27.69,8.98,18.7,26.28,03-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Sep-2018 - 00:00,139.73,41.06,69.04,,0.22,123.93,2.18,0.94,14.67,24.92,8.91,16.03,27.79,04-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Sep-2018 - 00:00,862.6,70.03,71.84,,0.22,168.88,2.58,0.92,19.08,23.96,8.66,15.31,24.17,05-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Sep-2018 - 00:00,,59.4,70.4,,0.23,128.93,2.45,0.92,18.36,23.3,8.82,14.48,13.62,06-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Sep-2018 - 00:00,996.55,71.37,70.45,,0.22,112.42,2.22,0.94,20.0,22.61,8.58,14.03,3.64,07-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Sep-2018 - 00:00,996.4,52.68,62.09,,0.23,118.33,2.22,0.89,28.44,24.98,9.14,15.84,12.0,08-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Sep-2018 - 00:00,,53.66,64.97,,0.22,112.76,2.0,0.89,30.28,27.18,9.41,17.77,23.58,09-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Sep-2018 - 00:00,303.12,32.99,64.75,,0.23,116.96,2.19,0.93,23.51,23.35,8.82,14.56,4.9,10-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Sep-2018 - 00:00,19.31,66.88,65.84,,0.22,112.88,2.22,0.97,22.81,25.84,9.26,16.57,4.41,11-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Sep-2018 - 00:00,881.63,33.8,71.37,,0.23,116.17,2.17,0.93,16.96,23.52,8.92,14.62,5.79,12-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Sep-2018 - 00:00,,56.93,73.93,,0.23,109.49,2.08,0.79,27.25,23.19,9.12,14.07,4.2,13-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Sep-2018 - 00:00,,66.48,64.37,,0.23,113.51,2.24,1.0,20.22,23.58,8.78,14.8,5.26,14-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Sep-2018 - 00:00,,79.86,70.14,,0.22,106.89,2.11,0.91,20.22,24.23,8.94,15.28,4.65,15-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Sep-2018 - 00:00,969.02,65.58,66.91,,0.23,103.62,1.95,0.92,24.34,24.98,8.85,16.15,9.67,16-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Sep-2018 - 00:00,110.37,86.71,71.73,,0.23,105.94,2.07,0.96,27.57,26.7,9.16,17.54,4.32,17-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Sep-2018 - 00:00,14.25,42.76,80.04,,0.22,104.9,2.14,1.03,37.37,36.92,13.23,23.69,5.28,18-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Sep-2018 - 00:00,,74.91,87.26,,0.23,93.6,1.9,0.96,35.87,31.2,10.34,20.86,2.86,19-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Sep-2018 - 00:00,0.0,36.41,86.34,,0.23,92.31,1.95,1.08,28.77,28.25,10.21,18.05,4.12,20-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Sep-2018 - 00:00,,95.32,75.54,,0.23,101.74,2.13,1.03,49.46,32.56,11.53,21.06,5.62,21-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Sep-2018 - 00:00,0.0,74.95,72.8,,0.22,147.33,2.65,0.91,29.74,26.32,9.07,17.25,3.64,22-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Sep-2018 - 00:00,870.47,85.59,80.97,,0.21,130.96,1.84,0.93,38.15,32.23,9.06,23.17,4.59,23-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Sep-2018 - 00:00,965.34,112.4,78.98,,0.21,162.15,2.14,0.95,47.22,22.75,8.66,14.09,5.09,24-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Sep-2018 - 00:00,,56.11,80.03,,0.21,149.0,1.65,0.91,53.11,23.9,9.03,14.87,4.5,25-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Sep-2018 - 00:00,978.14,81.47,78.56,,0.22,103.01,1.89,0.98,41.98,24.95,9.15,15.81,5.14,26-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Sep-2018 - 00:00,981.5,46.2,77.55,,0.22,101.29,1.78,0.86,40.92,23.5,8.99,14.52,5.98,27-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Sep-2018 - 00:00,,52.17,77.35,,0.11,144.81,1.67,0.95,53.07,19.62,8.45,11.18,4.62,28-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Sep-2018 - 00:00,987.2,33.95,77.96,,0.17,152.92,1.65,0.99,54.85,21.47,8.78,12.69,6.79,29-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Sep-2018 - 00:00,,33.17,79.84,,0.21,119.93,1.82,0.92,46.8,21.2,9.02,12.19,7.75,30-Sep-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Sep-2018 - 00:00,164.24,33.21,80.39,,0.22,138.33,1.88,0.97,46.66,20.83,8.98,11.85,7.92,01-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Oct-2018 - 00:00,228.01,44.67,80.41,,0.22,88.6,1.39,0.95,58.35,20.02,8.78,11.23,5.01,02-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Oct-2018 - 00:00,496.1,47.29,83.38,,0.23,65.28,0.79,1.03,49.77,19.88,8.85,11.03,8.71,03-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Oct-2018 - 00:00,516.98,40.54,87.88,,0.21,59.62,0.79,0.88,73.58,18.38,8.25,10.13,6.07,04-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Oct-2018 - 00:00,402.49,35.06,98.0,,0.22,59.62,0.8,0.87,49.02,22.15,8.9,13.25,4.62,05-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Oct-2018 - 00:00,437.34,33.37,98.94,,0.21,52.35,0.76,0.88,43.37,21.96,8.92,13.05,4.62,06-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Oct-2018 - 00:00,485.48,25.47,96.98,,0.22,58.79,0.79,1.12,57.97,20.89,8.85,12.04,8.17,07-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Oct-2018 - 00:00,529.46,49.21,95.13,,0.22,55.46,0.77,0.99,56.57,20.32,8.45,11.87,4.76,08-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Oct-2018 - 00:00,500.54,54.62,98.38,,0.22,64.31,0.76,0.92,68.7,21.19,8.3,13.2,9.1,09-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Oct-2018 - 00:00,502.26,98.07,84.78,,0.22,78.12,0.85,0.94,59.21,24.31,8.78,15.55,4.15,10-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Oct-2018 - 00:00,505.34,113.12,66.98,,0.22,73.25,0.86,0.94,50.48,27.24,9.77,17.47,5.09,11-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Oct-2018 - 00:00,516.58,96.15,70.0,,0.22,81.96,0.95,0.97,56.65,23.71,8.74,14.97,3.5,12-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Oct-2018 - 00:00,512.37,49.07,86.45,,0.22,81.8,0.91,0.96,71.65,19.62,8.18,11.59,5.54,13-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Oct-2018 - 00:00,538.62,43.22,83.24,,0.23,81.16,0.91,0.97,76.42,19.08,8.32,10.82,5.21,14-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
